1|5186|Public
5000|$|... 115 to 118 - International Routing <b>Network</b> <b>Identification</b> <b>Number</b> ...|$|E
5000|$|The Danish Personal <b>Identification</b> <b>number</b> (CPR-nummer or [...] ) is a {{national}} <b>identification</b> <b>number,</b> {{which is part of}} the personal information stored in the Civil Registration System (Danish: Det Centrale Personregister).|$|R
5000|$|All albums {{released}} on Peerless Records are marked with an <b>identification</b> <b>number</b> beginning with [...] "LPPU_...".:Record pressings {{released in the}} U.S.A. are marked with an <b>identification</b> <b>numbers</b> beginning with [...] "ECO-...".|$|R
5|$|The {{third digit}} and fourth digit are the train <b>identification</b> <b>numbers.</b> A full length train of 6 cars have 2 {{different}} <b>identification</b> <b>numbers.</b> For example 059/060 (normal coupling) or 032/060 (cross coupling).|$|R
50|$|The Personal <b>identification</b> <b>number</b> (Osobni identifikacijski broj or OIB) is a {{permanent}} national <b>identification</b> <b>number</b> of every Croatian citizen and legal persons domiciled in the Republic of Croatia. OIB is determined and assigned by the Tax Administration (Porezna uprava) of the Croatian Ministry of Finance. Personal <b>identification</b> <b>number</b> gradually replaced the Unique Master Citizen Number (JMBG), which {{had been set up}} and used in former Yugoslavia.|$|R
30|$|Those new establishments that replace closed {{plants are}} {{characterized}} by an <b>identification</b> <b>number</b> which didn’t {{show up in the}} BA Establishment File the previous year. This does not necessarily mean the actual formation of a new establishment. An <b>identification</b> <b>number</b> can also turn up and disappear in firms that have employees liable to social security in some years and don’t in others. Furthermore there might be structural changes in the establishment that lead to an allocation of a new <b>identification</b> <b>number</b> (for further information on the allocation of Establishment <b>Identification</b> <b>Numbers</b> see Fischer et al. 2009 : 135).|$|R
50|$|The Employer <b>Identification</b> <b>Number</b> (EIN), {{also known}} as the Federal Employer <b>Identification</b> <b>Number</b> (FEIN) or the Federal Tax <b>Identification</b> <b>Number,</b> is a unique nine-digit number {{assigned}} by the Internal Revenue Service (IRS) to business entities operating in the United States for the purposes of <b>identification.</b> When the <b>number</b> is used for identification rather than employment tax reporting, it is usually referred to as a Taxpayer <b>Identification</b> <b>Number</b> (TIN), and when used for the purposes of reporting employment taxes, it is usually referred to as an EIN. These numbers are used for tax administration and must be not used for any other purpose. For example, the EIN should not be used in tax lien auction or sales, lotteries, etc.|$|R
50|$|The Internal Revenue Service (IRS) offers {{alternatives}} to SSNs {{in some places}} where providing untrusted parties with <b>identification</b> <b>numbers</b> is essential. Tax return preparers must obtain and use a Preparer Tax <b>Identification</b> <b>Number</b> (PTIN) to include on their client's tax returns (as part of signature requirements). Day care services have tax benefits, and even a sole proprietor should give parents an EIN (employer <b>identification</b> <b>number)</b> to use on their tax return.|$|R
40|$|Emergency {{vehicles}} worldwide have unique aerial <b>identification</b> <b>numbering</b> on the rooves {{for ease}} of identification for aerial support, particularly if the individuals crewing the vehicle need exigent assistance. Drawing on an actual event from the 2013 Blue Mountains Wildfire, this paper highlights how aerial support from a water bombing aircraft was unable to read the existing black aerial <b>identification</b> <b>numbering</b> of a fire appliance because the black <b>identification</b> <b>number</b> coalesced with the black plumes of smoke emitted by the wildfire. Given the extensive technological development {{in the application of}} high visibility markings over the past twenty-one years, the current black and aerial <b>identification</b> <b>numbering</b> used by the New South Wales Rural Fire Service on their fire appliances is far from adequate, doing little to provide optimum safety for fire ground crews in a wildfire. This paper concludes that the current black aerial <b>identification</b> <b>numbering</b> should be replaced with high visibility aerial <b>identification</b> <b>numbering</b> markings because these have greater visibility for aerial support in a wildfire particularly in the colours of red, lime, yellow, orange or blue. 15 page(s...|$|R
50|$|Arbuzov {{does not}} have an <b>Identification</b> <b>Number</b> of Physical Person (similar to a Taxpayer <b>Identification</b> <b>Number</b> in the United States), having refused one for {{religious}} reasons. Instead, Arbuzov uses his passport number as the legal alternative.|$|R
50|$|Since 2008 new Taxpayer <b>Identification</b> <b>Numbers</b> (German:Steuerliche Identifikationsnummer or Steuer-IdNr) {{replace the}} former Tax File Number. Persons {{who are both}} {{employees}} and self-employed {{at the same time}} may receive two taxpayer <b>identification</b> <b>numbers.</b> The corresponding number for organizations, also issued by the tax administration, is named economy <b>identification</b> <b>number</b> (Wirtschafts-Identifikationsnummer). These numbering concepts are national systems, organized by the Federal Central Tax Office. For special purpose further value-added tax <b>identification</b> <b>numbers</b> are issued for persons and organizations that are subject to paying VAT as a deduct from their revenues. This is a Europe-wide unified concept. Additionally for all persons joining the military service, a Service Number is issued.|$|R
50|$|The Craft <b>Identification</b> <b>Number</b> (CIN) or Hull <b>Identification</b> <b>Number</b> (HIN), {{standardised}} as EN ISO 10087:2006, is {{a permanent}} unique fourteen-digit alphanumeric identifier issued to all marine vessels in Europe. The numbering system is mandated by the European Recreational Craft Directive and descended from the American Ship Hull number system. Larger vessels over 300 gross tonnes also receive a permanent international IMO ship <b>identification</b> <b>number,</b> and European vessels over 20 metres receive a permanent ENI number.|$|R
50|$|Excluding {{federal tax}} {{withholding}}, a 6 percent state withholding tax {{is required for}} 1099 employees who fail to do the following: provide a taxpayer <b>identification</b> <b>number,</b> provide a correct taxpayer <b>identification</b> <b>number,</b> or provide a nonresident taxpayer identification.|$|R
5000|$|From 2009 onward, every German {{resident}} {{receives a}} personal tax <b>identification</b> <b>number.</b> In the coming years, businesses will be receiving a business <b>identification</b> <b>number.</b> The competent authority is the [...] "Federal Central Tax Office" [...] (Bundeszentralamt für Steuern).|$|R
50|$|Engine number may {{refer to}} an <b>identification</b> <b>number</b> {{marked on the}} engine of a vehicle or, {{in the case of}} locomotives, to the road number of the locomotive. The engine number is {{separate}} from the Vehicle <b>Identification</b> <b>Number</b> (VIN).|$|R
50|$|The {{next step}} is animal identification. Each {{individual}} animal, whether horse, cow, sheep, chicken, pigeon, etc., is given a unique, 15-character animal <b>identification</b> <b>number,</b> or, {{in the case of}} animals that remain together in groups, a unique, 13-character group <b>identification</b> <b>number.</b>|$|R
50|$|In Europe, {{ships are}} given a Craft <b>Identification</b> <b>Number</b> (CIN) or Hull <b>Identification</b> <b>Number</b> (HIN), {{standardised}} as EN ISO 10087:2006. The numbers are a permanent, unique, fourteen-digit alphanumeric identifier issued to all marine vessels in Europe. The numbering system is mandated by the European Recreational Craft Directive and descended from the American system. Larger vessels over 300 gross tons also receive a permanent international IMO ship <b>identification</b> <b>number,</b> and European vessels over 20 metres receive a permanent ENI number.|$|R
50|$|A similar {{system of}} <b>identification</b> <b>numbers</b> exists for {{business}}es, called REGON (from Rejestr Gospodarki Narodowej - Register of the National Economy). Also all business taxpayers (prior to September 2011 - all taxpayers) {{have a tax}} <b>identification</b> <b>number</b> called NIP (Numer Identyfikacji Podatkowej).|$|R
