1|10000|Public
40|$|Coincidence cross {{sections}} {{and the structure}} functions R{sub L+TT},# 2; R{sub T} and R{sub LT} have been obtained for the quasielastic # 2;# 3;{sup 16 }O(# 7;e,# 2; e'p) # 8; reaction with the proton knocked out from the # 2; 1 p{sub 1 / 2 }# 2;# 2;# 4; and # 2; 1 p{sub 3 / 2 }# 5;# 2;# 4; states in perpendicular kinematics. The <b>nominal</b> <b>energy</b> <b>transfer</b> # 3;{omega} was 439 # 11; MeV# 4; the nominal Q{sup 2 }# 4; was 0. 8 (# 7;GeV/# 14;c) {sup 2 }# 8;# 4; and the kinetic energy of knocked-# 15;out proton was 427 # 3;# 16; MeV. The data was taken in Hall A# 4; Je# 17;erson Laboratory# 4; using two high resolution spectrometers to detect electrons and protons respectively. Nominal beam energies 845 # 18; MeV# 4;, # 2;# 19; 1645 # 18; MeV# 4; and # 3; 2445 # 18; MeV were employed. For each beam energy,# 4; the momentum and angle of electron arm were # 6;fixed,# 4; while the angle between the proton momentum and the momentum transfer {vector # 4;q} was varied to map out the missing momentum. R{sub LT} was separated out to ~ 350 MeV# 14;/c in missing momentum. R{sub L+TT} and R{sub T} were separated out to # 2;# 3;~ 280 MeV/# 14;c in missing momentum. R{sub L} and R{sub T} were separated at a missing momentum of # 18;# 3; 52. 5 # 18; MeV/# 14;c for the data taken with hadron arm along # 4;{vector q}. The measured {{cross sections}} and response functions agree with both relativistic and non# 15;relativistic DWIA calculations employing spectroscopic factors between # 19; 60 - 75 % for 1 # 2;p{sub 1 / 2 }# 2;# 2;# 4; and 1 # 2;p{sub 3 / 2 }# 5;# 2;# 4; states. The left-# 15;right asymmetry {{does not support the}} non# 15;-relativistic DWIA calculation using the Weyl gauge. Also# 4; the left-# 15;right asymmetry measurement favors the relativistic calculation. This thesis describes the details of the experimental setup# 4;, the calibration of the spectrometers,# 4; the techniques used in the data analysis to derive the fi# 6;nal cross sec# 15;tions as well as the response functions# 4; and the comparison of the results with the theoretical calculations...|$|E
5000|$|<b>Energy</b> <b>Transfer</b> Equity (...) is a Fortune 500 {{company based}} in Dallas, Texas, a sister {{partnership}} to <b>Energy</b> <b>Transfer</b> Partners. It specializes in the storage and transportation of natural gas. The CEO of <b>Energy</b> <b>Transfer</b> Equity is John W. McReynolds ...|$|R
50|$|Surface <b>energy</b> <b>transfer</b> (SET) is a dipole-surface <b>energy</b> <b>transfer</b> process {{involving}} metallic {{surface and}} molecular dipole.|$|R
40|$|Multichromophoric {{boron-dipyrromethene}} (Bodipy) dyes synthesized on phenylene-ethynylene platforms {{have been}} {{be converted to}} <b>energy</b> <b>transfer</b> cassettes in a one-step chemical transformation. Excitation <b>energy</b> <b>transfer</b> processes in these highly symmetrical derivatives were studied in detail, including time-re-solved fluorescence spectroscopy techniques. Excitation spectra and the emission lifetimes suggest efficient <b>energy</b> <b>transfer</b> between the donor and acceptor chromophore. These novel <b>energy</b> <b>transfer</b> cassettes, while highlighting a short-cut approach to similar <b>energy</b> <b>transfer</b> systems, could be useful as large pseudo-Stokes shift multichromophoric dyes with potential applications in diverse applications. © 2010 Wiley-VCH Verlag GmbH & Cu. KGaA. Weinheim...|$|R
40|$|<b>Energy</b> <b>transfer</b> {{dynamics}} of coumarin, DCM, and TPP doped poly(9, 9 -dioctylfluorene) (PFO) are studied using time resolved photoluminescence (PL). The overlap {{of the guest}} molecule absorption peak and the PFO emission peak is strongly correlated with the <b>energy</b> <b>transfer</b> efficiency. The strong overlap of the TPP absorption peak with the PFO emission peak results in efficient <b>energy</b> <b>transfer,</b> consequently, the PL decay also indicates ultrafast <b>energy</b> <b>transfer</b> in TPP doped PFO. The <b>energy</b> <b>transfer</b> is much less effective in other cases and thus the PFO PL decays were not greatly affected...|$|R
40|$|The {{radiation}} and radioactivity levels, induced by a 3 GeV <b>nominal</b> <b>energy,</b> 350 mA circulating current electron beam in the CANDLE storage ring, are studied. The radiation safety {{requirements for the}} facility, {{as well as the}} main features of the Machine and Personnel Protection Systems are discussed. Monte-Carlo simulation based on EGSnrc code is performed to determine the concentrated dose of {{radiation and}} the shielding requirements. 1 GENERAL CONSIDERATIONS As a consequence of the interaction between radiation and matter, <b>energy</b> is <b>transferred</b> from the radiation field to the matter. The <b>energy</b> <b>transferred</b> to electrons may be sufficient to make the charge separation [1]. Ionising radiation-the radiation that causes the ionisation of the interacting matter- by interacting with the matter <b>transfers</b> the <b>energy</b> with small but finite portions. 1. 1 Radiation and Radioactivity Levels The annual occupational dose limit of 50 mSv·y- 1 was considered as an upper limit for the exposure of radiation workers as recommended by the International Commission on Radiological Protection (ICRP) and is based on a mortality risk factor due to radiation induced cancers of 10 - 2 per Sv [2, 3]. Occupational dose limit for the general public and non-radiation workers should be at the average natural background level [4] of 1 mSv·y- 1...|$|R
40|$|We {{present results}} on the rates of {{interlayer}} <b>energy</b> <b>transfer</b> between excitons in two-dimensional transition metal dichalcogenides (TMDs). We consider both radiative (mediated by real photons) and non-radiative (mediated by virtual photons) mechanisms of <b>energy</b> <b>transfer</b> using a unified Green's function approach {{that takes into account}} modification of the exciton energy dispersions as a result of interactions. The large optical oscillator strengths associated with excitons in TMDs result in very fast <b>energy</b> <b>transfer</b> rates. The <b>energy</b> <b>transfer</b> times depend on the exciton momentum, exciton linewidth, and the interlayer separation and can range from values less than 100 femtoseconds to more than tens of picoseconds. Whereas inside the light cone the <b>energy</b> <b>transfer</b> rates of longitudinal and transverse excitons are comparable, outside the light cone the <b>energy</b> <b>transfer</b> rates of longitudinal excitons far exceed those of transverse excitons. Average <b>energy</b> <b>transfer</b> times for a thermal ensemble of longitudinal and transverse excitons is temperature dependent and can be smaller than a picosecond at room temperature for interlayer separations smaller than 10 nm. <b>Energy</b> <b>transfer</b> times of localized excitons range from values less than a picosecond to several tens of picoseconds. When the exciton scattering and dephasing rates are small, <b>energy</b> <b>transfer</b> dynamics exhibit coherent oscillations. Our results show that electromagnetic interlayer <b>energy</b> <b>transfer</b> can be an efficient mechanism for energy exchange between TMD monolayers. Comment: 13 pages, 7 figure...|$|R
25|$|<b>Energy</b> <b>Transfer</b> Partners and Sunoco Logistic Partners, both {{subsidiaries}} of <b>Energy</b> <b>Transfer</b> Equity LP, {{has announced}} their merger.|$|R
40|$|We {{report on}} a study of a {{physically}} formed host-guest system, {{which was designed to}} be investigated by fluorescence <b>energy</b> <b>transfer.</b> All donor and acceptor molecules used were cyanine dyes. Investigation was performed at the ensemble level {{as well as at the}} single-molecule level. The ensemble measurements revealed a distribution of binding sites as well for the donor as for the acceptor. Accordingly, we found a distribution of the <b>energy</b> <b>transfer</b> efficiency. At the single-molecule level, these distributions are still present. We could discriminate entities that show very efficient <b>energy</b> <b>transfer,</b> some that do not show any <b>energy</b> <b>transfer</b> and systems whose <b>energy</b> <b>transfer</b> efficiency is only about 50 %. The latter allowed the time resolved detection of <b>energy</b> <b>transfer</b> of single entities through the acceptor decay. Finally we discuss the observation that the <b>energy</b> <b>transfer</b> efficiency fluctuates as a function of time. status: publishe...|$|R
40|$|Abstract. In {{the present}} article the {{relation}} between the <b>energy</b> <b>transfer</b> rate from the primary to the secondary and the evolutionary degree of W UMa-type binaries is given and the <b>energy</b> <b>transfer</b> rates and the evolution degrees of three W UMa-type contact binaries (TV Mus, SS Ari and RZ Com) are calculated. The analyzed results show that the maximum value of the <b>energy</b> <b>transfer</b> rate is basically determined by the mass ratio. The greater the mass ratio, the greater the maximum possible value of the <b>energy</b> <b>transfer</b> rate. The <b>energy</b> <b>transfer</b> rate is related to the evolutionary degree of the primary, and the greater the evolutionary degree of the primary, the smaller the <b>energy</b> <b>transfer</b> rate. The <b>energy</b> <b>transfer</b> from the primary to the secondary could stop when the evolutionary degree of the primary reaches a specific value which is determined by a property of the system...|$|R
40|$|Abstract: Rate {{constants}} {{have been}} determined for the solution-phase quenching of singlet and triplet excited states of a vari-ety of sensitizers (aromatic hydrocarbons, aryl and alkyl ketones, a-diketones) {{by a series}} of azo compounds with varying steric properties. Both singlet and triplet quenching are attributed to electronic <b>energy</b> <b>transfer</b> by the collisional, electron-exchange mechanism. Steric hindrance to exothermic triplet <b>energy</b> <b>transfer</b> is significant, with azo-n-butane a better accep-tor than azo-tert-butane by a factor of 3. 6 - 10. 7. Steric hindrance to singlet <b>energy</b> <b>transfer</b> is less pronounced (comparable steric factors are 1. 7 - 2. 9), apparently because diffusion rather than <b>energy</b> <b>transfer</b> is rate limiting in solution. For a given donor-acceptor pair, singlet <b>energy</b> <b>transfer</b> is two to three times faster than triplet <b>energy</b> <b>transfer.</b> The triplet <b>energy</b> level of the azobutanes is estimated to be 53 f 1 kcal/mol. Bimolecular electronic <b>energy</b> <b>transfer</b> reactions may D * + A- D + A * proceed by a t least three different r n e ~ h a n i s m s: ~. ~ (1) long-range resonance <b>energy</b> <b>transfer,</b> which acts over distances up to about 50 8, by dipole-dipole interactions; (2) short-range collisional <b>energy</b> <b>transfer,</b> which requires electron-exchange interactions between the donor and acceptor mo...|$|R
40|$|<b>Energy</b> <b>transfer</b> {{properties}} of novel coumarin-perylene bisimide dendrimer are studied {{by means of}} steady state and time-resolved UV/vis spectroscopy. At low donor excitation density fast (transfer rate ~ 10 ps- 1) and efficient (quantum yield ~ 99. 5 %) donor-acceptor <b>energy</b> <b>transfer</b> is observed. The random distributions of donor-acceptor orientations and distances result in nonexponential <b>energy</b> <b>transfer</b> kinetics. The <b>energy</b> <b>transfer</b> remains independent of excitation density up to densities corresponding to one absorbed photon per 10 dendrimer molecules. At higher excitation densities the transfer rate is found to increase due to excitation of multiple donors per dendrimer. Control of the donor-acceptor <b>energy</b> <b>transfer</b> rate is achieved by pre-excitation of the acceptor and monitored by prepump-pump-probe experiments, which show that the <b>energy</b> <b>transfer</b> rate can be decreased {{by a factor of}} 2. The relative orientations of transition dipole moments in the donor and acceptor molecules are found {{to be one of the}} key factors determining the <b>energy</b> <b>transfer</b> dynamics at high excitation densities. ...|$|R
3000|$|Figure  13 {{shows the}} <b>energy</b> <b>transfer</b> {{performance}} in TRCM-EH-ET. The <b>energy</b> <b>transfer</b> rate becomes {{high as the}} gap between y [...]...|$|R
50|$|WiTricity is an American {{engineering}} company that manufactures devices for wireless <b>energy</b> <b>transfer</b> using resonant <b>energy</b> <b>transfer</b> based on oscillating magnetic fields.|$|R
5000|$|R. Reisfeld, <b>Energy</b> <b>transfer</b> between {{inorganic}} ions in glasses. <b>Energy</b> <b>Transfer</b> Processes in Condensed Matter, Ed. B. DiBartolo, Plenum, 114 (1984) 521-535.|$|R
40|$|Downconversion of one visible photon {{into two}} {{infrared}} photons {{has been reported}} for the lanthanide ion couple (Pr 3 +, Yb 3 +) {{in a variety of}} host lattices. The mechanism responsible for downconversion is controversial and has been reported to be either a two-step <b>energy</b> <b>transfer</b> process (via two first-order transfer steps, the first being cross relaxation) or cooperative <b>energy</b> <b>transfer</b> from Pr 3 + to two Yb 3 + ions (a second-order process). Here we report experiments on downconversion for the (Pr 3 +, Yb 3 +) in LiYF 4. Luminescence decay curves of the Pr 3 + emission are recorded {{as a function of the}} Yb 3 + concentration and analyzed using Monte Carlo simulations for both cooperative <b>energy</b> <b>transfer</b> and <b>energy</b> <b>transfer</b> through cross relaxation. We obtain a good agreement between experiment and simulations for <b>energy</b> <b>transfer</b> by cross relaxation but not for cooperative <b>energy</b> <b>transfer.</b> The observation that cross relaxation is more efficient than cooperative <b>energy</b> <b>transfer</b> is consistent with Judd-Ofelt calculations for the transition probabilities involved in the two <b>energy</b> <b>transfer</b> processes and the lower probability for the second-order cooperative transfe...|$|R
40|$|The use of <b>energy</b> <b>transfer</b> {{data and}} models in {{describing}} nonequilibrium polyatomic reaction systems is discussed with {{particular emphasis on}} the information needed for modeling vibrational <b>energy</b> <b>transfer.</b> In the discussion, it is pointed out that key areas of <b>energy</b> <b>transfer</b> knowledge are still lacking and the available experimental data are limited in scope and are of uneven quality. Despite these limitations, {{it is still possible}} to carry out meaningful simulations of chemical systems in which vibrational <b>energy</b> <b>transfer</b> is important. The vibrational energy master equation, which is the basis for modeling, and various experiments and calculations that provide the basis for practical <b>energy</b> <b>transfer</b> models and parametrizations are described. Two examples of gas phase reaction systems are presented in which vibrational <b>energy</b> <b>transfer</b> is important. The decomposition of norbornene shows how <b>energy</b> <b>transfer</b> parameters can be obtained from measurements of shock-induced chemical reactions, but even the best such experiments provide only limited information about <b>energy</b> <b>transfer.</b> Chemically activated 2 -methylhexyl radicals illustrate the complex reactions of multiple isomers connected by multiple isomerization pathways and reacting according to multiple decomposition pathways. John R. Barker, Laurie M. Yoder and Keith D. Kin...|$|R
30|$|When the {{pigments}} {{reach the}} excitation state by absorption, the excited <b>energy</b> is immediately <b>transferred</b> to other adjacent pigments and ultimately {{collected in the}} reaction center. To retain the optimal energy pathway, the pigment molecules are positioned to keep a proper arrangement with nearby molecules. The classical mechanism for excited <b>energy</b> <b>transfer</b> is based on Forster resonance <b>energy</b> <b>transfer</b> (FRET), which is derived from electric dipole–dipole interactions between molecules. Herein, an exciton from a donor molecule hops to an adjacent acceptor at a speed proportional to R 6 (R, distance between two pigments). However, recent studies have repeatedly raised the objection that the extremely fast <b>energy</b> <b>transfer</b> cannot rely solely on FRET. Additionally, Engel et al. observed crucial evidence of quantum coherence for the <b>energy</b> <b>transfer</b> in the antenna of green sulfur bacteria in 2007 [5]. Since then, quantum coherence has been suggested as a rational strategy for efficient <b>energy</b> <b>transfer</b> in the photosynthetic antenna. Coherently oscillating excitons can travel over molecules as a huge wave and provide very fast <b>energy</b> <b>transfer</b> in less than 1  ps [6]. There is still a need to clarify the <b>energy</b> <b>transfer</b> mechanism in the photosynthetic antenna, but the distinct lesson is that three-dimensional arrangement of the pigments regulates the intermolecular force that controls the net <b>energy</b> <b>transfer.</b>|$|R
5000|$|The FRET {{efficiency}} (...) is {{the quantum}} yield of the <b>energy</b> <b>transfer</b> transition, i.e. {{the fraction of}} <b>energy</b> <b>transfer</b> event occurring per donor excitation event: ...|$|R
40|$|<b>Energy</b> <b>transfer</b> {{cassettes}} composed {{entirely of}} boradiazaindacene (Bodipy) units were {{designed and synthesized}} to capture photonic energy and convert it to longer wavelength fluorescence emission. The new <b>energy</b> <b>transfer</b> systems obtained by simple condensation reactions are capable of elaborating efficient <b>energy</b> <b>transfer</b> from donor Bodipy units to the distyryl-Bodipy acceptor. © 2009...|$|R
40|$|Efficient nonradiative <b>energy</b> <b>transfer</b> is {{reported}} in an inorganic/organic thin film {{that consists of}} a CdSe/ZnS core/shell colloidal quantum dot (QD) layer interfaced with a phosphorescent small organic molecule (FIrpic) codoped fluorescent host (TCTA) layer. The nonradiative <b>energy</b> <b>transfer</b> in these thin films is revealed to have a cascaded <b>energy</b> <b>transfer</b> nature: first from the fluorescent host TCTA to phosphorescent FIrpic and then to QDs. The nonradiative <b>energy</b> <b>transfer</b> in these films enables very efficient singlet and triplet state harvesting by the QDs with a concomitant fluorescence enhancement factor up to 2. 5 -fold, while overall nonradiative <b>energy</b> <b>transfer</b> efficiency {{is as high as}} 95 %. The experimental results are successfully supported by the theoretical <b>energy</b> <b>transfer</b> model developed here, which considers exciton diffusion assisted Förster-type near-field dipole-dipole coupling within the hybrid films. © 2014 American Chemical Society...|$|R
40|$|The intralayer and {{interlayer}} excitation <b>energy</b> <b>transfer</b> between dioctadecylpyronine (PYR 18) and dioctadecyl {{crystal violet}} (CV 18) in alternating multilayer Langmuir-Blodgett (LB) films has been examined with picosecond time-resolved fluorescence decay measurements. The PYR 18 fluorescence is efficiently quenched by <b>energy</b> <b>transfer</b> to CV 18. The critical transfer distances of 65 and 67 Angstrom for intralayer and interlayer <b>energy</b> <b>transfer,</b> respectively, were calculated from spectral overlap. For the intralayer <b>energy</b> <b>transfer</b> system the fluorescence decay can be {{fitted with a}} two-dimensional Forster <b>energy</b> <b>transfer</b> equation, whereas for the interlayer <b>energy</b> <b>transfer</b> system {{it was necessary to}} allow the dimension to float in the Forster equation. By use of global analysis, a ''fractal dimension'' equal to 2. 6 was obtained. With single-curve analysis the two-dimensional system is seen to approach the three-dimensional one with increasing CV 18 concentration. status: publishe...|$|R
40|$|ABSTRACT: The {{amount of}} <b>energy</b> <b>transfer</b> from the hammer to the casing is a {{critical}} consideration for assessing of the constructability of the required length and diameter of pipe with a given hammer. Due to various contractor-selected pipe-hammer connections and natural sources of energy loss (e. g., thermal, frictional, etc.), the <b>energy</b> <b>transfer</b> efficiency of pipe ramming hammers must be less than 100 percent; however, actual hammer- pipe <b>energy</b> <b>transfer</b> efficiencies, defined as the ratio of actual <b>energy</b> <b>transferred</b> to the rated hammer energy, have not been reported to-date. Overestimates of hammer- pipe <b>energy</b> <b>transfer</b> could result in corresponding overestimates of driving stresses and penetration rates; likewise, over-estimates of driving stress could lead to excessive and uneconomical wall thickness. This study focuses on the characterization of hammer- pipe <b>energy</b> <b>transfer</b> efficiencies for commonly used pneumatic and hydraulic hammers observed during production and test pipe ramming installations. The observed <b>energy</b> <b>transfer</b> was found {{to depend on the}} type of hammer, the hammer-pipe connection (e. g., collets vs. ram cones), the hammer alignment, and the degree of tension on restraining chains. Observations of <b>energy</b> <b>transfer</b> indicate that hammer efficiency can vary widely; average observed efficiencies ranged from 20 to 50 percent. Additionally, a parametric study on pipe drivability is presented, and confirmed the importance of <b>energy</b> <b>transfer</b> on the rate of pipe penetration. The characterization of pipe-hammer <b>energy</b> <b>transfer</b> provided herein can form the basis for a rational evaluation of pipe drivability for a given hammer and pipe geometry, and can help owners, engineers, consultants, and contractors determine the likelihood of a successful casing installation...|$|R
40|$|We {{introduce}} a probability current analysis of excitation <b>energy</b> <b>transfer</b> between states {{of an open}} quantum system. Expressing the <b>energy</b> <b>transfer</b> through currents of excitation probability between the states in a site representation enables us to gain key insights into the <b>energy</b> <b>transfer</b> dynamics. It allows to, i) identify the pathways of energy transport in large networks of sites and to quantify their relative weights, ii) quantify the respective contributions of unitary dynamics, dephasing, and relaxation/dissipation processes to the <b>energy</b> <b>transfer,</b> and iii) quantify the contribution of coherence to the <b>energy</b> <b>transfer.</b> Our analysis is general and {{can be applied to}} a broad range of open quantum system descriptions (with coupling to non-Markovian environments) in a straightforward manner...|$|R
40|$|In this paper, {{we review}} the {{generalized}} Forster-Dexter theory to treat photoinduced electronic <b>energy</b> <b>transfer</b> {{for a system}} in dense media and for an isolated system (i. e., a system in the collision-free condition). Instead of expressing the rate of <b>energy</b> <b>transfer</b> in terms of spectral overlap, {{the expression of the}} energy-transfer rate constant is obtained by evaluating a Fourier integral involved in the <b>energy</b> <b>transfer</b> rate constant using the saddle-point method. In this way, the energy-yap dependence, and the effect of temperature and the isotope effect on the <b>energy</b> <b>transfer</b> can be easily studied. The effect of bridge groups connecting between donor and acceptor chromophores on the intramolecular <b>energy</b> <b>transfer</b> is also studied...|$|R
50|$|Adiabatic : No <b>energy</b> <b>transfer</b> as heat (Q) {{during that}} part of the cycle would amount to δQ=0. This does not exclude <b>energy</b> <b>transfer</b> as work.|$|R
