1|2764|Public
5000|$|Receivers have a <b>nominal</b> <b>input</b> <b>impedance</b> of 100±20 kΩ (i.e., maximum 1.0±0.2 mW at 10 V) ...|$|E
40|$|Graduation date: 1964 Conventional bi-polar {{transistors}} {{are inherently}} low <b>input</b> <b>impedance</b> devices. Transistor amplifiers {{have been designed}} which will present high <b>input</b> <b>impedance,</b> but the frequency response is limited to low frequencies, hundreds of kilocycles. This thesis investigates both field effect transistors and positive feedback as applied to high <b>input</b> <b>impedance</b> wide band amplifier design. The field effect transistor, in the source-follower configuration, is shown to offer high <b>input</b> <b>impedance,</b> wide-band amplification, and low output impedance. Positive feedback is shown to increase considerably the <b>input</b> <b>impedance</b> without any danger of self-oscillations. The generalized theory is presented using a model amplifier consisting of an input stage containing the field effect transistor, followed by two transistor stages. All the necessary criteria are derived from this model. An experimental amplifier was built and tested in the laboratory to check {{the validity of the}} theoretical analysis. The <b>input</b> <b>impedance</b> of this amplifier rneasured 20. 7 MΩ of resistance shunted by 1. 7 pf. of capacitance; the band-width extended from about 30 cps to about 10 Mc...|$|R
2500|$|Finite <b>input</b> <b>impedances</b> : The {{differential}} <b>input</b> <b>impedance</b> of {{the operational}} amplifier {{is defined as}} the impedance between its two inputs; the common-mode <b>input</b> <b>impedance</b> is the <b>impedance</b> from each <b>input</b> to ground. [...] MOSFET-input operational amplifiers often have protection circuits that effectively short circuit any input differences greater than a small threshold, so the <b>input</b> <b>impedance</b> can appear to be very low in some tests. However, as long as these operational amplifiers are used in a typical high-gain negative feedback application, these protection circuits will be inactive. [...] The input bias and leakage currents described below are a more important design parameter for typical operational amplifier applications.|$|R
5000|$|The {{values of}} the <b>input</b> and output <b>impedance</b> are often used to {{evaluate}} the electrical efficiency of networks by breaking them up into multiple stages and evaluating the efficiency of the interaction between each stage interdependently. To minimize electrical losses, the output impedance of the signal should be insignificant in comparison to the <b>input</b> <b>impedance</b> of the network being connected as the gain is equivalent to the ratio of the <b>input</b> <b>impedance</b> to the total <b>impedance</b> (<b>input</b> <b>impedance</b> + output impedance). In this case, ...|$|R
40|$|Matching {{networks}} {{are often used}} at the input of low noise amplifiers to match the <b>input</b> <b>impedance</b> to the source. Generally this matching results in a non-optimal noise behavior. In addition the matching network itself often generates {{a significant amount of}} noise. This paper proposes a wide-band LNA, based on double-loop negative feedback, that has an inherent matched <b>input</b> <b>impedance.</b> It offers the possibility to design and bias the input transisitor for maximum noise performance, and has the potential to increase linearity, without affecting the <b>input</b> <b>impedance.</b> An integrated HF transformer is used in one of the feedback loops and the effects of transformer non-idealities on noise behavior, <b>input</b> <b>impedance</b> and bandwidth are investigated...|$|R
50|$|In modern signal processing, devices, such as {{operational}} amplifiers, {{are designed}} to have an <b>input</b> <b>impedance</b> several orders of magnitude higher than the output impedance of the source device connected to that input. This is called impedance bridging. The losses due to <b>input</b> <b>impedance</b> (loading) in these circuits will be minimised and the voltage at the input of the amplifier will be close to voltage as if the amplifier circuit was not connected. When a device whose <b>input</b> <b>impedance</b> could cause significant degradation of the signal is used, oftentimes a device with a high <b>input</b> <b>impedance</b> and a low output impedance is used minimise its effects. Voltage follower or impedance-matching transformers are often used for these effects.|$|R
40|$|Pulmonary {{vascular}} <b>input</b> <b>impedance</b> {{was measured}} in adults with artial septal defect (ASD) to examine their pulmonary vessel lesions. Pulmonary vascular <b>input</b> <b>impedance</b> {{is a measure of}} the resistance of the pulmonary artery detected in the form of pulse wave. This test is more physiological than the conventional test of total pulmonary vascular resistance. The following results were obtained. 1. The pattern of pulmonary vascular <b>input</b> <b>impedance</b> did not differ between the ASD group and the normal control group. 2. An increase in pulmonary artery blood folw volume (a major sign of ASD) resulted in a decrease in Z 0 (the average of the pulsatile fraction of the pulmonary vascular <b>input</b> <b>impedance),</b> leading to suppressed elevation in the pulmonary artery pressure. 3. These features of pulmonary vascular <b>input</b> <b>impedance</b> remained unchanged when age advanced. Therefore, if Z 0 is higher than its expected from the pulmonary blood flow volume, some accompanying lesions other than ASD may be responsible for such a change...|$|R
5000|$|AUDIO IN 2 LINE: <b>Input</b> <b>{{impedance}}</b> 39 KΩ; Maximum input level: -3.5 dBu (AUDIO IN 2/VOICE knob: Max); Source impedance 600 ΩAUDIO IN 2 MIC: <b>Input</b> <b>impedance</b> 22 KΩ; Maximum input level: -33 dBu (AUDIO IN 2/VOICE knob: Max); Source impedance 600 Ω ...|$|R
50|$|A {{characteristic}} {{feature of}} most tube amplifier designs {{is the high}} <b>input</b> <b>impedance</b> (typically 100 k&Omega; or more) in modern designs {{and as much as}} 1 MΩ in classic designs. The <b>input</b> <b>impedance</b> of the amplifier is a load for the source device. Even for some modern music reproduction devices the recommended load impedance is over 50 kΩ. This implies that the input of an average tube amplifier is a problem-free load for music signal sources. By contrast, some transistor amplifiers for home use have lower <b>input</b> <b>impedances,</b> as low as 15 kΩ. Since it is possible to use high output impedance devices due to the high <b>input</b> <b>impedance,</b> other factors may need to be accounted for, such as cable capacitance and microphonics.|$|R
50|$|Z0 probes are a {{specialized}} type of low-capacitance passive probe used in low-impedance, very-high-frequency circuits. They {{are similar in}} design to 10× passive probes but at much lower impedance levels. The probe cables usually have a characteristic impedance of 50 ohms and connect to oscilloscopes with a matched 50 ohm (rather than a 1 megohm) <b>input</b> <b>impedance).</b> High-impedance scope probes are designed for the conventional 1 megohm oscilloscope, but the 1 megohm <b>input</b> <b>impedance</b> is only at low frequency; the <b>input</b> <b>impedance</b> is not a constant 1 megohm across the probe's bandwidth but rather decreases with frequency. For example, a Tektronix P6139A <b>input</b> <b>impedance</b> starts falling above 10 kHz and is about 100 ohms at 100 MHz. A different probe technique is needed for high frequency signals.|$|R
40|$|This thesis {{presents}} {{material that}} aims to further {{the understanding of the}} variation of the <b>input</b> <b>impedance</b> of induction machines with frequency. The <b>input</b> <b>impedance</b> is shown to be of importance when predicting or mitigating the effects of harmonics in machines that are driven by an inverter. The main body of this thesis consists of experimental results from a study that characterises the <b>input</b> <b>impedance</b> of thirteen different induction machines of various sizes and with different numbers of poles. EThOS - Electronic Theses Online ServiceGBUnited Kingdo...|$|R
25|$|The <b>input</b> <b>impedance</b> of the {{simplified}} non-inverting amplifier is high, {{of order}} Rdif × AOL times the closed-loop gain, where Rdif is the op amp's <b>input</b> <b>impedance</b> to differential signals, and AOL is the open-loop voltage gain of the op amp; {{in the case}} of the ideal op amp, with AOL infinite and Rdif infinite, the <b>input</b> <b>impedance</b> is infinite. In this case, though, the circuit will be susceptible to input bias current drift because of the mismatch between the impedances driving the V+ and V− op amp inputs.|$|R
40|$|An active R {{bandpass}} filter network is formed by four operational amplifier stages interconnected by discrete resistances. One pair of stages synthesize an equivalent <b>input</b> <b>impedance</b> of an inductance (L sub eq) {{in parallel with}} a discrete resistance (R sub o) while the second pair of stages synthesizes an equivalent <b>input</b> <b>impedance</b> of a capacitance (C sub eq) serially coupled to another discrete resistance (R sub i) coupled in parallel with the first two stages. The equivalent <b>input</b> <b>impedances</b> aggregately define a tuned resonant {{bandpass filter}} in the roll-off regions of the operational amplifiers...|$|R
40|$|The authors {{study the}} <b>input</b> <b>impedance</b> of a {{cylindrical}} cavity-backed slot antenna based on mode matching and the complex Poynting theorem. Two cavity-backed slot antennas were fabricated {{to verify the}} theory. The numerical results agree very well with measurements. Two resonant frequencies were found from the <b>input</b> <b>impedance.</b> One resonant frequency is attributed to the rectangular slot {{and the other is}} due to the cavity. The slot length controls the first resonant frequency and has a much stronger effect on the <b>input</b> <b>impedance</b> at the antenna operating frequency as compared with the cavity length...|$|R
50|$|The <b>input</b> <b>impedance</b> of the {{simplified}} non-inverting amplifier is high, {{of order}} Rdif × AOL times the closed-loop gain, where Rdif is the op amp's <b>input</b> <b>impedance</b> to differential signals, and AOL is the open-loop voltage gain of the op amp; {{in the case}} of the ideal op amp, with AOL infinite and Rdif infinite, the <b>input</b> <b>impedance</b> is infinite. In this case, though, the circuit will be susceptible to input bias current drift because of the mismatch between the impedances driving the V+ and V− op amp inputs.|$|R
5000|$|... #Subtitle level 3: <b>Input</b> <b>impedance</b> of {{lossless}} {{transmission line}} ...|$|R
3000|$|The <b>input</b> <b>{{impedance}}</b> {{with the}} impedance regulator introduced is adjusted {{from the left}} half plane of the complex plane to the right half plane [27]. The real part (Re) of <b>input</b> <b>impedance</b> Z_id,vi,c^ (s) with the impedance regulator introduced in the cross section [f 1, f 2] should satisfy: [...]...|$|R
40|$|Introduction. Double barrier {{structures}} (DBSs) {{are widely}} used in different technical areas. In the paper the features of <b>input</b> <b>impedance</b> characteristics of DBS are investigated and conditions of resonant passing, including resonant tunneling, of waves are set. Delta-model of double barrier structure. A model of DBS {{in the form of}} two impedance ?-barriers in quantum-mechanical, electromagnetic and acoustic media is considered. Analytical expressions for the <b>input</b> <b>impedance</b> characteristics are received. Impedance conditions of resonance passing of waves through DBS are obtained. New condition of resonance passing through DBS is set. Electromagnetic and acoustic double barrier structures. Dependences of <b>input</b> <b>impedance</b> active and reactive components and transfer coefficient of DBS are given. Accordance of DBS characteristics with finite size barriers and its ? -model is analysed. The analogy of DBS and parallel oscillatory circuit is set. Quantum-mechanical double barrier structure. Dependences of <b>input</b> <b>impedance</b> and transfer coefficient of quantum-mechanical DBS are given. Character of active component dependence is similar to transfer coefficient characteristic. Resonance transfer characteristics have very high quality factor. Conclusions. <b>Input</b> <b>impedance</b> characteristics of DBS allow to analyse wave properties of such structures, set the conditions of resonant passing, including resonant tunneling, waves. By analysing the <b>input</b> <b>impedance</b> characteristics conditions of resonant passing for DBS, located between media with different wave impedances, were determined. ? ?????? ??????????? ??????????? ??????? ??????????? ????????????? ????????????? ????????. ??????????? ?????? ????????????? ????????? ? ???? ???? ??????????? ?-???????? ? ????????-????????????, ???????????????? ? ???????????? ??????. ???????? ????????????? ????????? ??? ???????? ?????????. ??????????? ? ???????????????? ??????????? ??????? ???????????? ???????????, ? ??? ????? ???????????? ??????????????, ????...|$|R
50|$|Circuit {{topology}} covers {{issues such}} as gain and <b>input</b> <b>impedance.</b>|$|R
5000|$|... {{the virtual}} {{impedance}} may be thought {{as an element}} connected in parallel to the amplifier <b>input</b> (the virtual <b>impedance</b> modifies the amplifier <b>input</b> <b>impedance).</b>|$|R
30|$|Due to {{the variety}} of {{internal}} configurations there are dissimilarities on the measured <b>input</b> <b>impedance</b> among the several installations. However, a similar overall behavior of the curves is observed: {{in the range of}} lower frequencies the <b>input</b> <b>impedance</b> has predominantly a capacitive characteristic and for higher frequencies the impedance presents an inductive behavior.|$|R
40|$|Abstract- This paper {{addresses}} {{the comparison of}} the <b>input</b> <b>impedance</b> measurement between the resonance method and the insertion loss method. The result of the <b>input</b> <b>impedance</b> from the measurement {{can be used to}} effectively design the EMI filter or to analyze the stability problem of the system when EMI filter is connected. I...|$|R
40|$|Abstract—Finite-Difference Time Domain (FDTD) {{is used to}} {{calculate}} the <b>input</b> <b>impedance</b> of the cylindrical dielectric resonator (DRA) antenna with different dimensions. A lumped- element circuit model for the <b>input</b> <b>impedance</b> calculation is proposed. The genetic algorithm is used {{to calculate}} the elements of the equivalent circuit. The Model-Based Parameter Estimation (MBPE) technique is used to find the variation of each element in the equivalent circuit with varying the physical dimensions of the antenna. The use of this method reduces the time required for calculating the <b>input</b> <b>impedance</b> of the cylindrical DRA in each variation of the antenna dimension. 1...|$|R
40|$|The {{numerical}} {{calculation of the}} singular electric field from a magnetic current frill is reexamined with respect to two types of coaxially fed wire antennas. It is shown that the moment method with the Galerkin matching procedure allows direct and efficient numerical integrations to yield accurate results on the <b>input</b> <b>impedance</b> without any special singularity extraction methods. This demonstrates a simple but efficient and accurate method for the calculation of the <b>input</b> <b>impedance</b> of wire antennas by using the magnetic current frill excitation model. Numerical results on the fast convergence of the <b>input</b> <b>impedance</b> are presented...|$|R
25|$|Can {{increase}} or decrease <b>input</b> <b>impedance</b> (depending on type of feedback).|$|R
5000|$|From the diagram, the <b>input</b> <b>impedance</b> of the op-amp circuit is: ...|$|R
