1|1276|Public
50|$|The <b>Load</b> <b>Indicating</b> <b>Washer</b> {{was invented}} in England in 1962.|$|E
3000|$|... where Pa,s,l is {{the demand}} of source s equal to level l for {{appliance}} a, T is {{the set of}} time steps, and S is the set of energy carriers (electricity-only e, heat h, electricity in hybrid mode eh). Given the demand profile of a device during its operation, the required power or heat in each quarter of hour corresponds to a level l. We define A as the set of all appliances, which {{does not include the}} thermal <b>load</b> <b>indicated</b> as SW.|$|R
50|$|Earthquake {{rotational}} <b>loading</b> <b>indicates</b> the excitation {{of structures}} {{due to the}} torsional and rocking components of seismic actions. Nathan M. Newmark was the first researcher who showed {{that this type of}} loading may result in unexpected failure of structures, and its influence should be considered in design codes. There are different phenomena that may lead to the earthquake rotational loading of structures, such as propagation of body wave, surface wave, special rotational wave, block rotation, topographic effect, and soil structure interaction.|$|R
50|$|As {{with many}} {{recently}} discovered human polyomaviruses, the clinical significance of HPyV6 is poorly characterized. Attempts to detect polyomaviruses {{in a variety}} of tumor types have consistently found that HPyV6 is either absent or present at very low viral <b>loads,</b> <b>indicating</b> that it is unlikely to be causally related to the tumor. HPyV6, and the closely related HPyV7, have been linked to a skin rashes in immunocompromised patients in case reports, though a causal association has not yet been established.|$|R
40|$|The stress {{problem of}} Prithvi missile wing is investigated. The {{analysis}} {{is carried out}} by the finite element method by using the ASKA software package. Finite element analysis is carried out for pressure loading, and thermal loading arising from aerodynamic heating. The,analysis for pressure <b>loading</b> <b>indicates</b> that there is stress concentration at the wing root region results obtained for various cases of this loading are presented and discussed. The distortion of the wing produced by aerodynamic heating has also been displayed...|$|R
40|$|The Bureau of Mines {{conducted}} field {{investigations in}} two underground mines {{to determine the}} actual loads to which bearing plates were subjected when installed in conjunction with full-column resin-grouted bolts and the roof movements generated by the applied <b>loads.</b> Measured <b>loads</b> <b>indicate</b> that the bearing plate {{is an integral part}} of the support system. Vertical displacement gauges installed to monitor roof displacements in the test sites show that the highest degrees of loading occur in conjunction with the largest amounts of movement...|$|R
50|$|In {{the figure}} {{it can be}} seen that the {{compressive}} <b>loading</b> (<b>indicated</b> by the arrow) has caused deformation in the cylinder so that the original shape (dashed lines) has changed (deformed) into one with bulging sides. The sides bulge because the material, although strong enough to not crack or otherwise fail, is not strong enough to support the load without change, thus the material is forced out laterally. Internal forces (in this case at right angles to the deformation) resist the applied load.|$|R
40|$|Full list {{of author}} {{information}} {{is available at the}} end of the articleenzyme preparations. The hydrolysis yields were proportional to the enzyme β-glucosidase <b>load,</b> <b>indicating</b> that the endoglucanase load was not rate-limiting. Conclusions: High rates of enzymatic hydrolysis were achieved for untreated C. homosphaera biomass with enzymes containing endoglucanase and β-glucosidase activities and devoid of cellobiohydrolase activity. These findings simplify the complexity of the enzyme pools required for the enzymatic hydrolysis of microalgal biomass decreasing the enzyme cost for the production of microalgae-derived glucose syrups...|$|R
40|$|Grain {{boundary}} sliding {{during high}} temperature deformation {{can lead to}} stress concentrations and an enhancement of diffusion in mobile boundaries. Experiments were conducted on a fine grained 3 mol% yttria stabilized tetragonal zirconia, under conditions associated with superplastic flow involving grain boundary sliding. Tracer diffusion studies under creep conditions and without <b>load</b> <b>indicate</b> {{that there is no}} enhancement in either the lattice or grain boundary diffusivities. The experimental creep data are consistent with an interface controlled diffusion creep mechanism. (C) 2011 Elsevier Ltd. All rights reserved...|$|R
40|$|This paper {{presents}} acoustic emission {{data for}} graphite- and glass-epoxy, and glass-chopped matt composites. This micro-earthquake-like wave phenomenon resulting from microstructural failure is noted to possess dif-ferent characteristics {{depending upon the}} composite material being tested. Results of three point bending of specimens and cantilevered specimens with transverse saw cuts under monotonically increasing <b>load</b> <b>indicate</b> that matrix crazing and combined delamination and fiber breakage occur at lower and higher amplitude, respectively. Differences in behavior were also noted be-tween these materials as the type of loading was varied...|$|R
40|$|The aim of {{the study}} is to prove complex {{approach}} to visual impairment diagnosis in the condition of prolonged visual loads. Materials and Methods. 187 students have been examined over 2. 5 years. There has been determined refraction, visual acuity, sphero-equivalent of correction and autorefractometry and accommodation reserve. Conclusion. The revealed functional changes of visual analyzer in prolonged intensive visual <b>loads</b> <b>indicate</b> the necessity of complex assessment of such parameters as noncorrected visual acuity, sphero-equivalent of correction and autorefractometry and the reserve of relative accommodation...|$|R
40|$|Static {{structural}} {{analyses of}} the ITER vacuum vessel were performed with toroidally asymmetric disruption loads. Asymmetric halo current conditions were assumed to modify symmetric disruption loads which resulted in net lateral loading on the vacuum vessel torus. Structural analyses with the asymmetric <b>loading</b> <b>indicated</b> significantly higher vessel stress and blanket support forces than with symmetric disruption loads. A recent change in the vessel support design which provided toroidal constraints at each mid port {{was found to be}} effective in reducing torus lateral movement and vessel stress...|$|R
40|$|We {{write in}} {{response}} to the letter by Liu et al. [1] commenting on our article, ‘‘Mesenchymal Stem Cells Regulate Angiogenesis According to Their Mechanical Environment’’ [2]. The study by Liu et al. demonstrates that the commonly used endogeneous reference gene (ERG), b-actin, is upregulated by mechanical <b>loading,</b> <b>indicating</b> a potential bias in the determined target gene expression when normalizing to b-actin, such as in our report on unchanged vascular endothelial growth factor (VEGF) and hypoxia-inducible factors (HIF) - 1 a mRNA levels in mechanically loaded mesenchymal stem cells (MSCs) ...|$|R
40|$|This paper {{describes}} wood-concrete {{structural members}} {{in which the}} interlayer connection is achieved with adhesives, by overlaying the fresh concrete {{over the top of}} a wood layer to which moisture tolerant adhesive coating was applied a short time before the casting. Laminated wood-concrete structural members could be built as beams or slabs. Experimental results presented on eight laminated wood-concrete beam specimens subject to static <b>loading</b> <b>indicate</b> that the <b>load</b> capacity of the laminated wood-concrete beams exceed the performance of the classical wood-concrete beams which use shear notches cut into the wood for the interlayer connection...|$|R
40|$|The {{mainshaft}} {{support bearings}} of long life turbopumps {{for use on}} the space shuttle were evaluated to determine possible causes of failure. Specific aspects examined include the sensitivity of 15 degree versus 25 degree contact angle bearings with regard to heat damage and thermal runaway, the L/D aspects of the turbine end bearing pair with regard to hang-up due to cocking, the hang-up required to support a 44. 5 KN axial load without cartridge slipping, the outer race growth {{as a result of}} a 44. 5 KN axial load, and bearing torque as a function of axial <b>load.</b> Results <b>indicate</b> that hang-up of the cartridge due to bearing heating is a serious problem especially if poor lubrication of the bearing occurs and that race growth due to axial load can contribute to cartridge lock-up. The experimental evaluation of bearing performance under axial <b>loads</b> <b>indicates</b> that the bearing torque is a strong function of surface lubrication...|$|R
40|$|A {{combined}} theoretical-experimental {{investigation of}} failure in notched, graphite-epoxy, angle-ply laminates subjected to far-field compression <b>loading</b> <b>indicates</b> that failure generally initiates on the hole boundary and propagates along a line {{parallel to the}} fiber orientation of the laminate. The strength of notched laminates with specimen width-to-hole diameter ratios of 5 and 10 are compared {{to the strength of}} unnotched laminates. The experimental results are complemented by a three-dimensional finite element stress analysis that includes interlaminar stresses around holes in (+/- theta) s laminates. The finite element predictions indicate that failure is initiated by shear stresses at the hole boundary...|$|R
50|$|Compared {{with the}} Eurasian scops owl, the wings were smaller (two thirds {{the size of}} those of the Eurasian species), the legs longer (by 11.6%), and the pelvis both broader and shorter. It was also {{generally}} smaller than the Madeira Scops Owl. The proportions of its limbs and wing <b>loading</b> <b>indicate</b> that it lived mainly {{on the ground and}} had only weak powers of flight. The distinctive anatomical features shown by this species has led the scientists to conclude that it was an insectivore which probably lived on the forest floor of the laurisilva, where it would have hunted and sheltered.|$|R
40|$|The {{stability}} of myosin subfragment 2 was analyzed using gravitational force spectroscopy. The region {{was found to}} destabilize under physiological force <b>loads,</b> <b>indicating</b> the possibility that subfragment 2 may uncoil to facilitate actin binding during muscle contraction. As a control, synthetic cofilaments were produced to discover if the observations in the single molecule assay were {{due to the lack}} of the stability provided by the thick filament. Statistically, there was no difference between the single molecule assay data and the synthetic cofilament assay data. Thus, the in{{stability of}} the region is due to intrinsic properties within subfragment 2...|$|R
5000|$|... #Caption: C20: No {{access for}} {{vehicles}} with an axle <b>load</b> greater than <b>indicated</b> ...|$|R
40|$|Abstract. Inhibition {{of return}} (IOR) {{refers to a}} slower {{response}} to a target which appears at a previously attended location. We investigated whether perceptual load effects onset time of IOR in detection tasks. The {{results showed that the}} onset time of IOR was complex in different level of perceptual load. IOR effect was significant when perceptual load was low at 350 ms, but the facilitation effect was significant at 850 ms and 1350 ms when perceptual load was high. The results indicated the onset time of IOR was influenced by perceptual <b>load,</b> <b>indicating</b> that perceptual <b>load</b> hinder the spatiotemporal correspondence between the cue and target integration...|$|R
40|$|Heterodyne {{measurements}} {{have been}} made at 533 GHz using a novel superconducting hot-electron bolometer in a waveguide mixer. The bolometer is a 0. 3 micrometer long niobium microbridge with a superconducting transition temperature of 5 K. The short length ensures that electron diffusion dominates over electron-phonon interactions as the electron cooling mechanism, which should allow heterodyne detection with intermediate frequencies (if) of several GHz. A Y-factor response of 1. 15 dB has been obtained at an if of 1. 4 GHz with 77 and 295 K <b>loads,</b> <b>indicating</b> a receiver noise temperature of 650 K DSB. The - 3 dB rolloff in the if response occurs at 1. 7 GHz...|$|R
40|$|In this study, the {{large-scale}} apparatus {{used to examine}} vacuum preloading in conjunction with conventional surcharge loading. Several tests were performed to {{examine the effect of}} a vacuum and determine parameters such as the extent of smear zone and the soil permeability characteristics. The settlement and excess pore pressure associated with a combined vacuum and surcharge <b>load</b> <b>indicates</b> that applying a vacuum has specific benefits. The analytical modeling of one-dimensional consolidation by vertical drains with vacuum preloading considering both variation of soil compressibility and permeability is used to predict the soil consolidation behavior. It is shown that the analytical model can reasonably predict the laboratory behavior...|$|R
40|$|The {{field of}} {{ecological}} immunology strongly relies on indicators of immunocompetence. Two major indicators in invertebrates, {{the activity of}} phenoloxidase (PO) and lytic activity have recently been questioned in studies showing that, across a natural range of baseline levels, these indicators did not predict resistance against a manipulated challenge with natural parasites. We confirmed this finding by showing that baseline levels of PO and lytic activity in the host Daphnia magna were not related to spore load of the parasite Pasteuria ramosa. Yet, PO levels in infected hosts did predict spore <b>load,</b> <b>indicating</b> PO activity can be useful {{as an indicator of}} immunocompetence in this model parasite–host system. status: publishe...|$|R
5000|$|... #Caption: <b>Loaded</b> chamber {{indicator}} <b>indicating</b> a cartridge {{present in}} the chamber of a SR9c.|$|R
5000|$|... #Caption: C18: No {{access for}} {{vehicles}} with a width, including the <b>load,</b> greater than <b>indicated</b> ...|$|R
40|$|Charge-discharge {{controller}} contains punched-tape programmer {{capable of}} programming 305 discrete {{steps in the}} battery <b>load.</b> The <b>indicating</b> instrumentation includes meters for ampere-hours, watt-hours, voltage, current, and internal temperature and pressure. It also generates analog signals for recording the displayed data...|$|R
