1|4178|Public
30|$|Shake the {{contents}} 20 times and <b>let</b> <b>stand</b> <b>until</b> phase separation.|$|E
5000|$|World record rugby league attendance, <b>stood</b> <b>until</b> 6 March 1999 ...|$|R
5000|$|Microwave four {{ounces of}} solid {{food in a}} dish for about 15 seconds on high power. Always stir, <b>let</b> <b>stand</b> 30 seconds, and taste-test before feeding. Food that's [...] "baby-ready" [...] should taste or feel lukewarm.|$|R
5000|$|Mertens function(221) = 5 {{a record}} high that <b>stands</b> <b>until</b> 554 ...|$|R
5000|$|Mertens function(586) = 7 {{a record}} high that <b>stands</b> <b>until</b> 1357.|$|R
500|$|Vaughn {{was both}} {{born and raised}} in Florissant, Missouri, and {{attended}} McCluer North High School in Florissant. [...] Vaughn's 1988 Missouri State High School 200 meter dash record time of 21.28seconds <b>stood</b> <b>until</b> 2002. [...] His state meet time of 10.44seconds in the 100 metre event <b>stood</b> <b>until</b> 2007 as the Missouri High School record.|$|R
50|$|December 5, 2005: Judge Priest {{dismissed}} one count, {{conspiracy to}} violate election law, but <b>let</b> <b>stand</b> two counts alleging money laundering and {{conspiracy to commit}} money laundering, of which DeLay was later convicted on November 24, 2010.|$|R
50|$|In 1716, {{a chapel}} {{was built in}} Schönbach. It <b>stood</b> <b>until</b> 1968.|$|R
5000|$|... 1. Record <b>stood</b> <b>until</b> 26 June 1955 when Voorwaarts {{defeated}} Bintang Merah ...|$|R
5000|$|Vaughn {{was both}} {{born and raised}} in Florissant, Missouri, and {{attended}} McCluer North High School in Florissant. Vaughn's 1988 Missouri State High School 200 meter dash record time of 21.28 seconds <b>stood</b> <b>until</b> 2002. [...] His state meet time of 10.44 seconds in the 100 metre event <b>stood</b> <b>until</b> 2007 as the Missouri High School record.|$|R
50|$|Also in 1985, the Supreme Court {{refused to}} hear an appeal of Gay Student Services v. Texas A&M University, <b>letting</b> <b>stand</b> an appellate ruling {{ordering}} the university to provide official recognition of a student organization for homosexual students.|$|R
2500|$|Great Mosque of al-Nuri (Mosul), {{an ancient}} leaning tower that <b>stood</b> <b>until</b> 2017 ...|$|R
50|$|The MacArthur line <b>stands</b> <b>until</b> the {{conclusion}} of the Treaty of San Francisco.|$|R
5000|$|Great Mosque of al-Nuri (Mosul), {{an ancient}} leaning tower that <b>stood</b> <b>until</b> 2017 ...|$|R
5000|$|... 100 {{yards in}} 9.375 seconds (set at Johannesburg, 1910), which <b>stood</b> <b>until</b> 1948.|$|R
50|$|The {{hotel is}} built on the land where Concorde Motors <b>stood</b> <b>until</b> 2007.|$|R
