1|80|Public
5000|$|... #Subtitle level 3: <b>Launching</b> <b>fiber</b> optic {{technology}} in France ...|$|E
50|$|Note that a polarization-maintaining fiber {{does not}} {{polarize}} {{light as a}} polarizer does. Rather, PM fiber maintains the linear polarization of linearly polarized light provided that it is <b>launched</b> into the <b>fiber</b> aligned {{with one of the}} <b>fiber's</b> polarization modes. <b>Launching</b> linearly polarized light into the fiber at a different angle will excite both polarization modes, conducting the same wave at slightly different phase velocities. At most points along the fiber the net polarization will be an elliptically polarized state, with a return to the original polarization state after an integer number of beat lengths. Consequently, if visible laser light is <b>launched</b> into the <b>fiber</b> exciting both polarization modes, scattering of propagating light viewed from the side, is observed with a light and dark pattern periodic over each beat length, since scattering is preferentially perpendicular to the polarization direction.|$|R
5000|$|When first <b>launched,</b> Google <b>Fiber's</b> {{terms of}} service stated that its {{subscribers}} {{were not allowed to}} create any type of server:"Your Google Fiber account is for your use and the reasonable use of your guests. Unless you have a written agreement with Google Fiber permitting you do so, you should not host any type of server using your Google Fiber connection, use your Google Fiber account to provide {{a large number of people}} with Internet access, or use your Google Fiber account to provide commercial services to third parties (including, but not limited to, selling Internet access to third parties)." ...|$|R
25|$|In {{an optical}} link, if a known amount of optical power, in dBm (referenced to 1mW), is <b>launched</b> into a <b>fiber,</b> and the losses, in dB (decibels), of each {{component}} (e.g., connectors, splices, and lengths of fiber) are known, the overall link loss may be quickly calculated by addition and subtraction of decibel quantities.|$|R
50|$|In 2013, {{the company}} built and <b>launched</b> a new <b>fiber</b> optic network along the Florida East Coast Railway ROW between Miami and Jacksonville. This fiber optic network was made {{available}} to telephone and wireless companies, utility companies, cable companies, data centers, municipalities, and other healthcare and educational businesses that transmit large amounts of data.|$|R
50|$|In {{an optical}} link, if a known amount of optical power, in dBm (referenced to 1 mW), is <b>launched</b> into a <b>fiber,</b> and the losses, in dB (decibels), of each {{component}} (e.g., connectors, splices, and lengths of fiber) are known, the overall link loss may be quickly calculated by addition and subtraction of decibel quantities.|$|R
30|$|A {{prototype}} multibeam transmitter {{suitable for}} producing uniform, near hemisphere or 180 degree, high speed, and long distance infrared radiation is proposed, and the simulation results is shown. The method presented here {{can also be}} applied for the design and simulation of <b>fiber</b> <b>launch</b> system to achieve high bit rate and low noise performance in fiber optical communications.|$|R
40|$|Abstract—Stimulated Raman {{scattering}} (SRS) in ultrahigh-(UHQ) surface-tension-induced spherical and chip-based toroid microcavities {{is considered}} both theoretically and experimentally. These microcavities are fabricated from silica, exhibit small mode volume (typically 1000 m 3) and possess whispering-gallery type modes with long photon storage times (in {{the range of}} 100 ns), significantly reducing the threshold for stimulated nonlinear optical phenomena. Oscillation threshold levels of less than 100 W of <b>launched</b> <b>fiber</b> pump power, in microcavities with quality factors of 100 million are observed. Using a steady-state analysis of the coupled-mode equations for the pump and Raman whis-pering-gallery modes, the threshold, efficiencies and cascading properties of SRS in UHQ devices are derived. The results are experimentally confirmed in the telecommunication band (1550 nm) using tapered optical fibers as highly efficient waveguide cou-pling elements for both pumping and signal extraction. The device performance dependence on coupling, quality factor and modal volume are measured and found {{to be in good}} agreement with theory. This includes analysis of the threshold and efficiency for cascaded Raman scattering. The side-by-side study of nonlinear oscillation in both spherical microcavities and toroid microcavities on-a-chip also allows for comparison of their properties. In addi-tion to the benefits of a wafer-scale geometry, including integration with optical, electrical, or mechanical functionality, microtoroids on-a-chip exhibit single mode Raman oscillation over a wide range of pump powers. Index Terms—Cascaded Raman scattering, fiber-coupling, microcavities, stimulated Raman scattering (SRS), tapered optica...|$|R
40|$|Abstract 1 — In {{this work}} {{the effect of}} high power <b>launching</b> in bent <b>fibers</b> has been {{experimentally}} tested. The bending losses and the coating heating imposed by the high power propagation were measured. It was achieved coating temperatures surpassing 150 ºC, it was also observed a correlation between the losses and the coating heating as functions of the bending diameter. I...|$|R
40|$|We {{demonstrate}} polarization-resolved {{frequency domain}} cross-correlated (C 2) imaging to characterize a 5 m length of hollow-core photonic bandgap fiber. We produce a spectrogram of the fiber response {{to investigate the}} spatial, polarization, spectral, and temporal behavior. We then show how this temporally-resolved technique {{can be used to}} characterize multiple <b>fiber</b> <b>launch</b> conditions simultaneously by assigning each a unique time delay...|$|R
50|$|In fiber optics, polarization-maintaining {{optical fiber}} (PMF or PM fiber) is a {{single-mode}} optical fiber in which linearly polarized light, if properly <b>launched</b> into the <b>fiber,</b> maintains a linear polarization during propagation, exiting the fiber {{in a specific}} linear polarization state; {{there is little or}} no cross-coupling of optical power between the two polarization modes. Such fiber is used in special applications where preserving polarization is essential.|$|R
5000|$|The optical {{power budget}} in a fiber-optic {{communication}} link is {{the allocation of}} available optical power (launched into a given fiber by a given source) among various loss-producing mechanisms such as <b>launch</b> coupling loss, <b>fiber</b> attenuation, splice losses, and connector losses, {{in order to ensure}} that adequate signal strength (optical power) is available at the receiver. In optical power budget attenuation is specified in decibels (dB) and optical power in dBms.|$|R
40|$|For {{over thirty}} years NASA has had success with space flight {{missions}} that utilize optical fiber component technology. One of the early environmental characterization experiments that included optical <b>fiber</b> was <b>launched</b> as the Long Duration Exposure Facility in 1978. Since then, multiple missions have <b>launched</b> with optical <b>fiber</b> components that functioned as expected, without failure throughout the mission life. The use of optical fiber in NASA space flight communications links and exploration and science instrumentation is reviewed...|$|R
40|$|The {{crosstalk}} degradation due to four-wave mixing (FWM) {{in fiber}} is studied in a 155 Mb/s, 16 channel coherent {{system with the}} signal powers amplified by an erbium-doped fiber amplifier. When a total power of + 8. 4 dBm (0. 46 mW/channel) is <b>launched</b> into the <b>fiber,</b> the crosstalk degradation is 0. 4 dB. A theoretical study indicates the EWM dependence on fiber chromatic dispersion, {{the total number of}} channels, and the signal power levels and polarization states...|$|R
40|$|A {{modulator}} {{is reported}} {{in which an}} extensional acoustic wave is <b>launched</b> along a <b>fiber</b> Bragg grating. The acousto-optic superlattice effect causes an enhancement in reflectivity within a narrow spectral region {{on both sides of}} the Bragg wavelength. For a fixed acoustic propagation direction, the Doppler shift can be either positive or negative, depending on whether the wavelength of the incident light lies above or below the Bragg condition. The device can function as a Bragg cell and a tunable filter...|$|R
40|$|In this paper, we show {{experimentally}} {{that large}} photosensitivity in dye-doped polymer optical fibers {{can be obtained}} with small pump power (about 1 mW) at visible wavelength. The fiber has two identical cores each doped with fluorescein, and the pump beam is launched axially {{into one of the}} cores. However, when the pump beam at UV wavelength is <b>launched</b> into the <b>fiber</b> transversely, large photosensitivity is also observed. We also show that gratings can be written in polymer fiber and preform...|$|R
50|$|Since <b>launching</b> its <b>fiber</b> to {{the home}} service FiOS, {{industry}} insiders and experts have noted that Verizon has neglected its copper local loop infrastructure footprint-wide, including in areas yet to receive FiOS. Verizon's copper network maintenance and upgrade budget (which includes DSL and POTS services) {{was estimated to be}} roughly $3.50 per access line by the Communications Workers of America. The CWA filed a letter of concern with 11 public utility regulators regarding Verizon's lack of concern for the copper local loop and associated infrastructure. Rural communities in New Jersey filed a joint petition of complaint with the NJ Board of Public Utilities in order to investigate Verizon's apparent discontinuation of copper local loop maintenance; issues reported by the towns residents include loss of service during poor weather, static on the line, lack of audible voice transmission, and interruption or loss of DSL service.|$|R
40|$|We report supercontinuum {{generation}} by <b>launching</b> femtosecond Yb <b>fiber</b> laser pulses into a tapered {{single-mode fiber}} of 3 um core diameter. A spectrum {{of more than}} one octave, from 550 to 1400 nm, has been obtained with an output power of 1. 3 W at a repetition rate of 250 MHz, corresponding to a coupling efficiency of up to 60 %. By using a typical f- 2 f interferometer, the carrier envelope offset frequency was measured and found to have a signal-to-noise ratio of nearly 30 dB. Comment: 10 pages, accepted by Appl Phys...|$|R
40|$|International audienceWe {{experimentally}} {{investigate a}} new generation of multiple-quantum-well semiconductor saturable absorber for all-optical phase-shift-keying signal regeneration. The device under study exhibits a reflectivity which decreases when the input signal power increases. This characteristic {{can be seen as a}} power limiting function which could be used for phase-preserving amplitude noise reduction, hence preventing from nonlinear phase noise accumulation along a transmission link. The device efficiency is demonstrated at 42. 7 Gb/s; a <b>fiber</b> <b>launched</b> power margin of 2 dB and receiver sensitivity improvement up to 5. 5 dB are obtained...|$|R
40|$|By using a {{gas-filled}} kagome-style {{photonic crystal}} fiber, nonlinear fiber optics is {{studied in the}} regime of optically induced ionization. The fiber offers low anomalous dispersion over a broad bandwidth and low loss. Sequences of blueshifted pulses are emitted when 65 fs, few-microjoule pulses, corresponding to high-order solitons, are <b>launched</b> into the <b>fiber</b> and undergo self-compression. The experimental results are confirmed by numerical simulations which suggest that free-electron densities of similar to 10 (17) cm(- 3) are achieved at peak intensities of 10 (14) W/cm(2) over length scales of several centimeters...|$|R
40|$|Graded-index (GRIN) fiber lens arrays are {{fabricated}} {{from commercial}} GRIN fibers to collimate a high-power laser diode array. The beam divergence angles {{are reduced to}} 4. 2 and 14. 7 mrad in the fast and slow axes, respectively. The influences of smile and fluctuation in fiber length are discussed. Using an aspherical focal lens system, about 74 % power can be <b>launched</b> into a <b>fiber</b> with a numerical aperture (NA) of 0. 22 and a core diameter of 400 mu m. (c) 2008 Society of Photo-Optical Instrumentation Engineers...|$|R
40|$|Experimental results {{obtained}} on 10 Gb/s RZ-DPSK transmission in a recirculating fiber-loop setup {{have shown that}} nonlinear amplifying loop mirrors (NALM) can efficiently enhance system performance: cascaded phase-preserving amplitude regeneration can efficiently prevent the accumulation of amplitude and nonlinear phase noise components in such systems. It was possible to significantly augment the transmitted signal quality; alternatively a considerable increase of <b>fiber</b> <b>launch</b> power could be achieved. Amplified Rayleigh backscattering in the highly nonlinear fiber in the NALM {{has been identified as}} main limiting effect when the regenerator is passed multiple times...|$|R
40|$|The 92 % pump {{depletion}} {{in continuous}} wave (CW) fibers with a 200 mW pump at 1560 nm in an 11 km long dispersion shifted fiber (DSF) was demonstrated. A high signal power was <b>launched</b> into the <b>fiber</b> {{to observe a}} high level of pump depletion. The pump power at the input of the DSF was maintained at 23 dBm to provide significant optical parametric amplifiers (OPA) gain control for the signal. It was found that when the input signal power was about 9 dBm the maximum pump depletion was 11 dB. link_to_subscribed_fulltex...|$|R
40|$|In this work, the {{sensitivity}} of Fiber Specklegram Sensors to high temperatures (up to 800 ºC) have been studied. Two multimode silica fibers have been introduced into a tubular furnace while a HeNe laser source was <b>launched</b> into a <b>fiber</b> edge, projecting speckle patterns to a commercial webcam. A computer generated different heating and cooling sweeps while the specklegram evolution was recorded. The achieved results exhibit a remarkably linearity in FSS’s sensitivity for temperatures under 800 ºC, following the thermal expansion of fused silica. This work has been supported by the project TEC 2013 - 47264 -C 2 - 1 -R...|$|R
40|$|The {{performance}} of a nonlinear amplifying loop mirror as a phase-preserving amplitude 2 R regenerator in a differential phase-shift-keying transmission system with nonlinear phase noise as dominant limiting effect has been investigated in a recirculating fiber-loop setup. The experimental results show that cascaded regenerators can efficiently prevent the accumulation of nonlinear phase noise in such systems. It was possible to significantly increase the transmission quality; alternatively, a considerable increase of <b>fiber</b> <b>launch</b> power could be achieved for the same bit-error ratio. As a limiting effect, the amplified Rayleigh backscattering in the highly nonlinear fiber is identified when the regenerator is passed multiple times...|$|R
