2|10000|Public
5000|$|Mutual <b>right</b> <b>to</b> <b>inspection</b> of a ship's cargo to only happen once ...|$|E
5000|$|In January 2011, the BBMP Standing Committee (Markets) {{decided to}} carry out a {{surprise}} inspection of the mall. According to the Committee chairman and Basaveshwaranagar Ward S corporator SH Padmaraj, they had received complaints of [...] "building deviation by the mall-owner". Padmaraj alleged that the mall was cheating BBMP while housing more than 80 shops on a single floor, while paying a monthly rent of [...] 3.5 million to the BBMP for only 80 shops. He also alleged that the mall had encroached upon a stormwater drain and had converted a parking lot into a food court, violating the agreement. The mall's majority owner Uday Garudachar claimed that the committee members had no <b>right</b> <b>to</b> conduct an <b>inspection</b> without his permission. He also alleged that the inspection was carried out because he had refused the corporators' demand for a bribe.|$|R
40|$|There {{conducted}} {{an analysis of}} the number of inspections of business entities that were carried out by controlling bodies in Ukraine in 2015. As a result, it is justified that the issue of reducing the number of inspections of business entities is of primary importance for improving the business climate in Ukraine. The control functions of some central bodies of executive power that are similar or identical are singled out, the cases of dividing one sphere of control between several bodies are considered. By analyzing the organization of the functioning of the state control system in Ukraine, there revealed its main problems and directions for their solution, among which: the depriving of the State Forest Resource Agency of Ukraine and the State Agency of Fisheries of Ukraine of the duplicating control functions; the depriving of the State Service of Ukraine for Labor of functions of control over business entities delegating these functions to the above bodies. As a result, the State Service of Ukraine for Labor will only perform functions of control over activities of the Funds. These changes will make it possible not only to simplify the system of central bodies of executive power that have the <b>right</b> <b>to</b> conduct <b>inspections</b> of business entities by reducing the number of such bodies but also ensure the conducting of the inspections by special bodies...|$|R
5000|$|Fernandez v. California {{is governed}} by two cases: The 1974 case United States v. Matlock and the 2005 case Georgia v. Randolph. In Matlock the U.S. Supreme Court laid out the {{so-called}} [...] "co-occupant consent rule". This rule means that anyone who has “common authority” over the home can consent to {{a search of the}} home. The Supreme Court defined [...] "common authority" [...] as “mutual use of the property by persons generally having joint access or control for most purposes, so that it is reasonable to recognize that any of the co-inhabitants has the <b>right</b> <b>to</b> permit the <b>inspection</b> in his own right and that the others have assumed the risk that one of their number might permit the common area to be searched.” In essence the court decided that any one person who is a “joint occupant” can consent to a police search of the shared residence, without a search warrant. In Georgia v. Randolph the Court limited the holding of Matlock. In Randolph the court decided that when co-occupants who are disagreeing whether to let the police search their dwelling the police can't conduct a search, if a “physically present” co-occupant objects that search.|$|R
50|$|In Magajane v Chairperson, North West Gambling Board, an {{important}} case in South African criminal procedure, Magajane sought {{leave to appeal}} against the dismissal of his constitutional challenge to the provisions of section 65 of the North West Gambling Act. This challenge {{was on the ground}} that the provision violated his <b>right</b> <b>to</b> privacy by authorising inspectors to search his commercial premises and to seize items without a warrant. While the section authorised inspections of both licensed and unlicensed premises, he confined his challenge <b>to</b> <b>inspections</b> of unlicensed premises.|$|R
50|$|All goods {{imported}} into the United States are subject <b>to</b> <b>inspection</b> by CBP.|$|R
5000|$|DMV-specific {{missions}} relating <b>to</b> <b>inspections,</b> licenses, pupil transportation, registrations, auto dealers, {{and more}} ...|$|R
50|$|Direct the Secretary {{to collect}} {{non-refundable}} fees from the operators of facilities subject <b>to</b> <b>inspection.</b>|$|R
60|$|The butter was {{submitted}} <b>to</b> <b>inspection.</b> In the very centre of it {{there was a}} footprint.|$|R
50|$|In 1972, US {{president}} Richard Nixon and Soviet General Secretary Leonid Brezhnev {{reached a}} compromise agreement to hold separate {{political and military}} negotiations. The Conference on Security and Cooperation in Europe (CSCE) would deal with political issues, and Mutual and Balanced Force Reductions (MBFR) with military issues. The CSCE resulted in 1975 in 35 nations signing the concluding document: the Helsinki Final Act. Negotiations for MBFR were stalled by the USSR in 1979 because of NATO's decision to deploy new intermediate-range nuclear weapons in Europe. In 1986, Soviet General Secretary Mikhail Gorbachev proposed {{in the context of}} MBFR negotiations to reduce ground and air forces, and to include conventional and nuclear weapons from the Atlantic to the Urals. This proposal was later that year formalized during a Warsaw Treaty meeting. NATO's North Atlantic Council of foreign ministers issued the Brussels Declaration on Conventional Arms Control, which called for two distinct sets of negotiations: one to build on the Confidence and Security-Building Measures (CSBM) results of the Stockholm Conference and the other to establish conventional stability in Europe through negotiations on conventional arms control from the Atlantic to the Urals (ATTU). In 1987, the Stockholm Document entered into force and provided for the first time for a negotiated <b>right</b> <b>to</b> conduct on-site <b>inspections</b> of military forces in the field.|$|R
50|$|Bumper - Implement with broomstick handle aircraftsmen {{must use}} to make waxed floors glisten prior <b>to</b> <b>inspection.</b>|$|R
5000|$|Herrero had {{finished}} in 29, {{but he was}} disqualified, {{because he did not}} present his carburetor <b>to</b> <b>inspection.</b>|$|R
5000|$|... {{subject to}} certain conditions, if it {{attaches}} <b>to</b> <b>inspections</b> carried out <b>to</b> fulfil obligations imposed by Union law.|$|R
5000|$|HM Inspectorate {{of prisons}} reports on Dovegate, {{including}} those relating <b>to</b> <b>inspections</b> made in 2011, {{can be found}} at: ...|$|R
50|$|The {{company is}} subject <b>to</b> <b>inspection</b> by the US Food and Drug Administration (FDA) and the European Medicines Agency (EMA).|$|R
50|$|The RAFP {{is subject}} <b>to</b> <b>inspection</b> by HM Inspectorate of Constabulary, {{in the same}} way as the UK's {{civilian}} police forces.|$|R
5000|$|Inspections {{are done}} either under Flag State {{responsibility}} or Port State responsibility. The four basic categories of vessels subject <b>to</b> <b>inspection</b> are: ...|$|R
50|$|Establishes in the Treasury the Ocean Energy Enforcement Fund as {{depository}} for non-refundable fees {{collected from}} the operators of facilities subject <b>to</b> <b>inspection.</b>|$|R
6000|$|Of this Supper-Party, I know by face {{four of the}} guests: Maupertuis, Voltaire, Algarotti, Keyserling;--Rasfeld, Rambonet can sit as simulacra or mute accompaniment. Voltaire {{arrived on}} Sunday evening; stayed till Wednesday. Wednesday morning, 14th of the month, the Party broke up: Voltaire rolling off to left hand, towards Brussels, or the Hague; King <b>to</b> <b>right,</b> on <b>inspection</b> business, and circuitously homewards. Three Suppers there had been, two busy Days intervening; discussions about Fate and the Androgynoi of Plato {{by no means the}} one thing done by Voltaire and the rest, on this occasion. We shall find elsewhere, [...] "he declaimed his MAHOMET" [...] (sublime new Tragedy, not yet come out), in the course of these three evenings, to the [...] "speechless admiration" [...] of his Royal Host, for one; and, in the daytime, that he even drew his pen about the Herstal Business, which is now getting to its crisis, and wrote one of the Manifestoes, still discoverable. And we need not doubt, in spite of his now sneering tone, that things ran high and grand here, in this paltry little Schloss of Moyland; and that those three were {{actually}} Suppers of the Gods, for the time being.|$|R
50|$|All {{colleges and}} FE {{providers}} are subject <b>to</b> <b>inspection</b> by Ofsted which monitors {{the quality of}} provision in publicly funded institutions in England and Wales.|$|R
50|$|A {{presentation}} at BlackHat USA 2010 {{revealed that a}} number of large public websites had left Memcached open <b>to</b> <b>inspection,</b> analysis, retrieval, and modification of data.|$|R
50|$|Following {{the passage}} of the Registration of Maternity Homes Act, 1934, Bethany House became subject <b>to</b> <b>inspection</b> by the Department of Local Government and Public Health.|$|R
30|$|Aim: We {{propose a}} novel {{approach}} additional <b>to</b> <b>inspection</b> and parametric subtraction analysis aiming to avoid thyroid gland and thyroid nodule artifact in parathyroid lesions scintigraphy.|$|R
50|$|Only {{material}} {{intended to}} be accessible to minors (those under 18 years of age) was subject <b>to</b> mandatory <b>inspection</b> before being released to the public. A proper notification was usually sufficient for adult material, but the board has the <b>right</b> <b>to</b> inspect any material suspected of violating laws or material. Until 2001, VET also inspected material intended for adult audiences and could prevent releasing it in Finland if the board deemed it exceedingly violent.|$|R
50|$|Upperclass cadets remain subject <b>to</b> <b>inspections</b> and {{participate}} in military drill, and attend additional leadership training through the Krause Center for Leadership and Ethics throughout their cadet careers.|$|R
40|$|Within {{this paper}} the {{application}} of an ant colony optimization (ACO) algorithm <b>to</b> <b>inspection</b> planning is presented. Since inspection planning is a time consuming task, optimizing these activities {{plays a major role}} in the quality inspection field. In this paper the extraction procedures of local inspection path planning (LIPP) and measurement device selection (MDS) to travelling salesman problem (TSP) and subset problem are presented respectively. An ACO algorithm based on Max-Min Ant System (MMAS) is presented for solving the problems. Experiment on industrial workpiece shows the applicability of ACO <b>to</b> <b>inspection</b> planning...|$|R
