1|93|Public
5000|$|... #Caption: <b>Rose</b> <b>stem</b> <b>sawfly</b> (Hartigia trimaculata) larva in a rose stem ...|$|E
40|$|Abstract: Plants {{that were}} infested by the wheat <b>stem</b> <b>sawfly</b> emitted {{significantly}} increased {{amounts of the}} secondary metabolites linalool, linalool oxide, ß-farnesene, ß-caryophyllene, and 4 -heptanone in comparison to uninfested plants. Wheat plants parasitized by Fusarium species also have emitted volatiles. The amount of volatiles released varied by infective species of Fusarium and volatile patterns varied over time for both sawfly infestation and pathogen infection. Plants that were stressed by both herbivory and patho-gens emitted even greater amounts of certain volatiles. Surprisingly, larval sawfly mortality was much greater in plants infected by Fusarium species, and both mortality {{and the rate of}} volatile release varied by Fusarium. The role of these plant volatiles are further discussed in the context of defensive plant responses to Fusarium and sawfly infestation. Key words: wheat, Triticum aestivum, volatiles, semiochemicals, odors, Fusarium spp., wheat stem sawfl...|$|R
50|$|The municipality’s arms {{might in}} English heraldic {{language}} be described thus: Or in base a mount of three vert {{charged with a}} neck ring argent, issuant from the mount a <b>rose</b> <b>stem</b> embowed to dexter of the second with a rose gules barbed of the second and seeded azure.|$|R
5000|$|Adults feed of nectar and pollen on Tanacetum vulgare, Angelica sylvestris and Heracleum sphondylium. This {{species has}} two generations a year. The females lay about 16-18 eggs on the <b>rose</b> <b>stems.</b> [...] Larvae {{feed on the}} leaves of some species of the genus Rosa, for example Rosa canina, Rosa majalis and Rosa pimpinellifolia.|$|R
40|$|Worldwide, the {{landscape}} homogeneity of extensive monocultures that characterizes con-ventional agriculture {{has resulted in}} the development of specialized and interacting multi-trophic pest complexes. While integrated pest management emphasizes the need to consider the ecological context where multiple species coexist, management recommenda-tions are often based on single-species tactics. This approach may not provide satisfactory solutions when confronted with the complex interactions occurring between organisms at the same or different trophic levels. Replacement of the single-species management model with more sophisticated, multi-species programs requires an understanding of the direct and indirect interactions occurring between the crop and all categories of pests. We evaluat-ed a modeling framework to make multi-pest management decisions taking into account di-rect and indirect interactions among species belonging to different trophic levels. We adopted a Bayesian decision theory approach in combination with path analysis to evaluate interactions between Bromus tectorum (downy brome, cheatgrass) and Cephus cinctus (wheat <b>stem</b> <b>sawfly)</b> in wheat (Triticum aestivum) systems. We assessed their joint re...|$|R
6000|$|... "That's it," [...] {{agreed the}} Gardener. [...] "They're pretty, and sweet, and alive; but still they are <b>Roses.</b> Their <b>stems</b> have thorns, but no hearts." ...|$|R
5000|$|... ==The Golden Rose== The Golden Rose is a {{gift from}} the Pope to nations, cities, basilicas, sanctuaries, or images. It is blessed by him on the fourth Sunday of Lent, anointed with the Holy Chrism, and dusted with incense. This Rose {{consists}} of a golden <b>rose</b> <b>stem</b> with flowers, buds and leaves, placed in a silver vase lined on the inside with a bronze case bearing the Papal shield. Pope Leo IX is considered as the originator of this tradition in the year 1049.|$|R
40|$|Resistance {{is not an}} {{unalterable}} factor, but {{is influenced}} by environment;Wheat stems which are solid or partially solid are more resistant than hollow stems;Golden Ball, a durum wheat, retains its solid characteristic under all conditions thus far investigated. The consistency of the pithy tissue is variable depending on environment;The solid and semi-solid vulgare varieties, S 615, S 632, S 633 and S 493, are variable in {{the expression of the}} pith tissue in the lumen. If a completely solid stem which would be stable under a wide range of conditions could be obtained by selection it would be of great value in a breeding program;Agropyron elongatum is highly resistant. Since it can be readily crossed with wheat it may be very valuable as parental breeding stock;There is evidence to indicate that timothy (Phleum pratense) is highly resistant to wheat <b>stem</b> <b>sawfly.</b> If this is definitely established this grass will undoubtedly be used in many areas as a permanent trap crop;Oats with its many varieties appears to lack nutritional requirements for the development of C. cinctus;Resistance can be determined to some extent by observing the development of the larvae and the size and oviposition potential of the females;The most reliable measure of resistance is the resultant larval mortality in infested stems...|$|R
5000|$|Rose Park is a {{neighborhood}} {{located in the}} northwest area of Salt Lake City, Utah and {{is among the most}} ethnically diverse areas in Utah. Its name comes from the area's original developer, who arranged part of the area's streets in the shape of several roses, with one of its main streets, American Beauty Drive, acting as a long <b>rose</b> <b>stem.</b> [...] This area's original roof shingles were red or green and its street names all feature rose varieties. Rose Park residents enjoy a very short commute (less than 5 minutes) to downtown and many recreational amenities.|$|R
5000|$|American Beauty was {{released}} just over {{four months after}} Workingman's Dead. The title of the album has a double meaning, referring both to the musical focus on Americana and to the rose cultivar, depicted on the front cover. Around the rose, the album title is scripted as a text ambigram that can also be read [...] "American Reality". The back cover is a George Conger photograph of a diorama containing ferns, roses, a bust, shadowboxes and other curios. To {{each side of the}} photo are illustrated panels with a vaguely-shaped guitar, whose strings are also <b>rose</b> <b>stems.</b> The cover artwork was produced by Kelley-Mouse Studios.|$|R
40|$|Biotic and abiotic {{stresses}} {{are major}} limiting factors for high crop productivity worldwide. A landrace collection consisting of 380 durum wheat (Triticum turgidum L. var. durum) entries originating {{in several countries}} along with four check varieties were evaluated for biotic stresses: yellow rust (Puccinia striiformis Westendorf f. sp. tritici) and wheat <b>stem</b> <b>sawfly</b> (WSS) Cephus cinctus Norton (Hymenoptera: Cephidae), and abiotic stresses: cold and drought. The main objectives were to (i) quantify phenotypic diversity and identify variation in the durum wheat landraces for the different stresses and (ii) characterize the agronomic profiles of landraces {{in reaction to the}} stresses. Significant changes in reactions of landraces to stresses were observed. Landraces resistant to each stress were identified and agronomically characterized. Percentage reduction due to the stresses varied from 11. 4 % (yellow rust) to 21. 6 % (cold stress) for 1000 -kernel weight (TKW) and from 19. 9 (yellow rust) to 91. 9 % (cold stress) for grain yield. Landraces from Asia and Europe showed enhanced genetic potential for both grain yield and cold tolerance under highland rainfed conditions of Iran. The findings showed that TKW and yield productivity could be used to assess the response of durum wheat landraces to different stresses. In conclusion, landraces showed high levels of resistance to both biotic and abiotic stresses, and selected landraces can serve in durum wheat breeding for adaptation to cold and drought-prone environments...|$|R
40|$|Breeding for solid-stemmed durum (Triticum turgidum L. var durum) {{and common}} wheat (Triticum aestivum L.) cultivars is one {{strategy}} to minimize yield losses {{caused by the}} wheat <b>stem</b> <b>sawfly</b> (Cephus cinctus Norton). Major stem-solidness QTL have been localized to the long arm of chromosome 3 B in both wheat species, but it is unclear if these QTL span a common genetic interval. In this study, we have improved {{the resolution of the}} QTL on chromosome 3 B in a durum (Kofa/W 9262 - 260 D 3) and common wheat (Lillian/Vesper) mapping population. Coincident QTL (LOD = 94 - 127, R 2 = 78 - 92 %) were localized near the telomere of chromosome 3 BL in both mapping populations, which we designate SSt 1. We further examined the SSt 1 interval by using available consensus maps for durum and common wheat and compared genetic to physical intervals by anchoring markers to the current version of the wild emmer wheat (WEW) reference sequence. These results suggest that the SSt 1 interval spans a physical distance of 1. 6 Mb in WEW (positions 833. 4 - 835. 0 Mb). In addition, minor QTL were identified on chromosomes 2 A, 2 D, 4 A, and 5 A that were found to synergistically enhance expression of SSt 1 to increase stem-solidness. These results suggest that developing new wheat cultivars with improved stem-solidness is possible by combining SSt 1 with favorable alleles at minor loci within both wheat species...|$|R
40|$|AbstractBiotic and abiotic {{stresses}} {{are major}} limiting factors for high crop productivity worldwide. A landrace collection consisting of 380 durum wheat (Triticum turgidum L. var. durum) entries originating {{in several countries}} along with four check varieties were evaluated for biotic stresses: yellow rust (Puccinia striiformis Westendorf f. sp. tritici) and wheat <b>stem</b> <b>sawfly</b> (WSS) Cephus cinctus Norton (Hymenoptera: Cephidae), and abiotic stresses: cold and drought. The main objectives were to (i) quantify phenotypic diversity and identify variation in the durum wheat landraces for the different stresses and (ii) characterize the agronomic profiles of landraces {{in reaction to the}} stresses. Significant changes in reactions of landraces to stresses were observed. Landraces resistant to each stress were identified and agronomically characterized. Percentage reduction due to the stresses varied from 11. 4 % (yellow rust) to 21. 6 % (cold stress) for 1000 -kernel weight (TKW) and from 19. 9 (yellow rust) to 91. 9 % (cold stress) for grain yield. Landraces from Asia and Europe showed enhanced genetic potential for both grain yield and cold tolerance under highland rainfed conditions of Iran. The findings showed that TKW and yield productivity could be used to assess the response of durum wheat landraces to different stresses. In conclusion, landraces showed high levels of resistance to both biotic and abiotic stresses, and selected landraces can serve in durum wheat breeding for adaptation to cold and drought-prone environments...|$|R
50|$|Nuckols lore {{indicates}} that the family's emblem is the white <b>rose,</b> <b>stemming</b> from the family's support {{of the house of}} York during the War of the Roses a.k.a. the English Civil War. The story states that in 1455 Civil War broke out in England, with the house of York leading one faction and the house of Lancaster leading the other. The emblem of York was the white rose, that of Lancaster, the red rose. One family that sided with York in that long struggle was named Nuckolls. After many years, some of this family emigrated to America and settled in Virginia, bringing with them a rose started from a cutting of the original white rose of York.|$|R
40|$|Wheat <b>Stem</b> <b>Sawfly</b> (WSS), Cephus Cinctus Norton (Hymenoptera: Cephidae), {{is one of}} {{the most}} {{important}} pests, causing yield and economic losses in wheat and barley. The lack of information about molecular mechanisms of WSS for defeating plant’s resistance prevents application of effective pest control strategies therefore, it is essential to identify the genes and their regulators behind WSS infestations. Long non-coding RNAs (lncRNAs) and microRNAs (miRNAs) are recognized with their regulatory functions on gene expression, tuning protein production by controlling transcriptional and post-transcriptional activities. A transcriptome-guided approach was followed in order to identify miRNAs, lncRNAs, and mRNA of WSS, and their interaction networks. A total of 1, 893 were presented here as differentially expressed between larva and adult WSS insects. There were 11 miRNA families detected in WSS transcriptome. Together with the annotation of 1, 251 novel mRNAs, the amount of genetic information available for WSS was expanded. The network between WSS miRNAs, lncRNAs, and mRNAs suggested miRNA-mediated regulatory roles of lncRNAs as competing endogenous RNAs. In the light of the previous evidence that small RNA molecules of a pathogen could suppress the immune response of host plant, we analyzed the putative interactions between larvae and wheat at the miRNA level. Overall, this study provides a profile of larva and adult WSS life stages in terms of coding and non-coding elements. These findings also emphasize the potential roles of wheat and larval miRNAs in wheat resistance to infestation and in the suppression of resistance which is critical for the development of effective pest control strategies...|$|R
40|$|Host plant {{resistance}} {{in the form of}} wheat with the stem lumen filled with pith has been the main strategy to manage the wheat <b>stem</b> <b>sawfly,</b> Cephus cinctus Norton (Hymenoptera: Cephidae) - a major pest of wheat in the northern Great Plains of North America. Recently a new source of resistance has been made available combining a single dominant solid pith gene from durum wheat (Triticum turgidum L. var. durum) with spring bread wheat cultivars. Our study had two objectives: (i) assess levels of C. cinctus damage and larval C. cinctus mortality in wheat with the novel solid germplasm, conventional solid-stems and susceptible cultivars; and (ii) determine plant genotype effects on populations of C. cinctus parasitoid Bracon cephi (Gahan) (Hymenoptera: Braconidae). The study was conducted in plots near Lethbridge, Alberta, Canada from 2003 – 2005. The novel solid-stemmed hexaploid G 9608 B 1 -L 12 J 11 BF 02, solid-stemmed AC Eatonia and hollow-stemmed durum AC Navigator reduced the infestation level and girdling damage by C. cinctus. Another synthetic hexaploid B 9973 B 03 &AC 4 AW, hollow-stemmed AC Cadillac, McKenzie and AC Barrie were more susceptible to C. cinctus damage. Larval parasitism by B. cephi increased along with C. cinctus infestation levels. Stem solidness itself, regardless of source, had no direct negative effect on B. cephi but due to lower infestation and survival of C. cinctus in solid stem genotypes, the overall population of parasitoids was reduced. When planting monocultures of effective solid stem wheat, strategies to conserve populations of parasitoids should be considered for long term sustainable management of C. cinctus...|$|R
5|$|The {{premise of}} a repentant murderer seeking {{to atone for}} their actions {{appears to have been}} based on the real-life case of Albert Fish, who practised severe self-harm after killing twelve-year-old Grace Budd. Fish would insert needles into his {{perineum}} and force <b>rose</b> <b>stems</b> along his urethra to be forcibly pulled out. However, the actual murders may have been inspired by the case of Susan Smith, a mother of two who drowned her children by sinking her car in a lake. Mention is also made in the episode of Arthur Shawcross, whose recidivism is cited by Garry's prosecutors as an example of why murder should warrant a death penalty. Shawcross was released from prison after serving a sentence for killing two children, only to kill eleven women while on parole.|$|R
40|$|Grazing versus feeding green chop in dry lot, by G. Q. Bateman, G. E. Stoddard, and C. H. Mickelsen 2 Radioisotopes—an aid {{in plant}} studies, by R. L. Smith 4 Safe uses of {{agricultural}} chemicals established through research, by J. C. Street 6 Competition for forage by game and livestock, by A. D. Smith 8 Control western x-disease in sweet cherries by top-working on mahaleb rootstocks, by B. N. Wadley 10 Economic uses of Utah’s rangeland resources, by N. K. Roberts 12 Advantage in directing seeding of tomatoes, by A. R. Hamson 15 Flowers tolerant to salinity, by R. Monk and H. B. Peterson 17 The <b>rose</b> <b>stem</b> girdler on raspberries, by N. N. Raghuvir and D. W. Davis 18 Tenderness of beef, by D. J. Mathews and J. A. Bennett 2...|$|R
40|$|We {{consider}} {{the question of}} how rose production in a greenhouse can be optimised. Based on realistic assumptions, a rose growth model is derived {{that can be used to}} predict the rose harvest. The model is made up of two constituent parts: (i) a local model that calculates the photosynthetic rate per area of leaf and (ii) a global model of the greenhouse that transforms the photosynthesis of the leaves into an increase in mass of the rose crop. The growth rate of the <b>rose</b> <b>stems</b> depends not only on the time-dependent ambient conditions within the greenhouse, which include temperature, relative humidity, CO$_ 2 $ concentration and light intensity, but also on the location and age distribution of the leaves and the form of the underlying rose bush supporting the crop...|$|R
50|$|The {{premise of}} a repentant murderer seeking {{to atone for}} their actions {{appears to have been}} based on the real-life case of Albert Fish, who practised severe self-harm after killing twelve-year-old Grace Budd. Fish would insert needles into his {{perineum}} and force <b>rose</b> <b>stems</b> along his urethra to be forcibly pulled out. However, the actual murders may have been inspired by the case of Susan Smith, a mother of two who drowned her children by sinking her car in a lake. Mention is also made in the episode of Arthur Shawcross, whose recidivism is cited by Garry's prosecutors as an example of why murder should warrant a death penalty. Shawcross was released from prison after serving a sentence for killing two children, only to kill eleven women while on parole.|$|R
5000|$|Exhibition-form roses were {{exhibited}} as cut specimens grouped in a box, and {{the entire}} collection was judged {{on the quality of}} the individual specimens and on the composition of the whole. Duplicate cultivars were not allowed. Collections were to be in multiples of 6, up to 72 for nurserymen. Most exhibitors put their <b>rose</b> <b>stems</b> in vases or bottles nestled in moss inside a box of some kind, but some exhibitors inserted their cut stems into potatoes in straw to keep the roses hydrated. Wiring of stems and flowers was allowed - Tea roses were popular at that time, and the flowers of many Tea roses do not stand upright on their own. Garden roses, those not possessing exhibition form, were exhibited in bouquets. [...] Judges worked in teams of three.|$|R
40|$|Landscape {{simplification}} {{associated with}} agricultural intensification has important effects on economically important arthropods. The declining cover {{of natural and}} semi-natural habitats, in particular, {{has been shown to}} reduce natural-enemy attack of crop pests, but also in some cases reduced crop colonization by such pests. In this study, we examined the influence of changes in two elements of landscape composition, natural grassland cover and cover of a highly suitable crop host, on infestation by a generalist insect pest in wheat, and parasitism of this pest by its dominant natural enemies. Surprisingly, we found no significant influences of increasing natural grassland habitat, at either local or landscape scales, on infestation by the wheat <b>stem</b> <b>sawfly,</b> Cephus cinctus, or parasitism of this pest by the native parasitoid wasps, Bracon cephiand Bracon lissogaster. In contrast, we found significant increases in levels of C. cinctus infestation with increasing wheat cover at the landscape scale. This pattern was consistent across six study regions spanning three states in the northern Great Plains of North America, despite large differences in cropping systems and pest population densities across regions. Regional variation in pest infestation was best explained by long-term averages in precipitation, with higher C. cinctus infestation rates found in drier regions. Results suggest that landscape-mediated variation in pest pressure in this system is better explained by a direct response of pest insects to increasing cover of a highly suitable crop rather than an indirect response via reductions in natural enemies as natural habitat declines. The implication is that habitat diversification at the landscape scale could play a role in suppressing agricultural pest populations via reductions in area of suitable crop hosts...|$|R
5000|$|Majolica was {{influenced}} by the design of the old [...] "Cauliflower" [...] and [...] "Pineapple" [...] teapots that had been made by Thomas Whieldon, Wedgwood and other 18th-century Staffordshire potters. Both English and American majolica potters reproduced the [...] "Cauliflower" [...] pattern and other raised fruit, vegetable, leaf, and berry patterns, with green, yellow, pink, brown, light blue and purple-blue glazes. There is also a teapot of yellow corn and green leaves, similar to the old Whieldon [...] "Pineapple" [...] teapots, and a teapot, jug and sugar bowl of pink coral and green seaweed with accents of brown and blue, marked [...] "Etruscan Majolica". Many late 19th-century majolica designs had rustic motifs with backgrounds of basketry and wooden-bound buckets decorated with moulded flowers, birds, fish and animals. Handles were made to resemble tree branches, <b>rose</b> <b>stems</b> and twined flowers and leaves.|$|R
6000|$|... "You are a laggard this morning, Monsieur de Lesperon." [...] And, {{with a half}} laugh, {{she turned}} aside to break a <b>rose</b> from its <b>stem.</b>|$|R
5000|$|Each {{year the}} Governor and other dignitaries present the winning jockey with {{a bouquet of}} 60 long <b>stemmed</b> <b>roses</b> wrapped in ten yards of ribbon.|$|R
40|$|Worldwide, the {{landscape}} homogeneity of extensive monocultures that characterizes conventional agriculture {{has resulted in}} the development of specialized and interacting multitrophic pest complexes. While integrated pest management emphasizes the need to consider the ecological context where multiple species coexist, management recommendations are often based on single-species tactics. This approach may not provide satisfactory solutions when confronted with the complex interactions occurring between organisms at the same or different trophic levels. Replacement of the single-species management model with more sophisticated, multi-species programs requires an understanding of the direct and indirect interactions occurring between the crop and all categories of pests. We evaluated a modeling framework to make multi-pest management decisions taking into account direct and indirect interactions among species belonging to different trophic levels. We adopted a Bayesian decision theory approach in combination with path analysis to evaluate interactions between Bromus tectorum (downy brome, cheatgrass) and Cephus cinctus (wheat <b>stem</b> <b>sawfly)</b> in wheat (Triticum aestivum) systems. We assessed their joint responses to weed management tactics, seeding rates, and cultivar tolerance to insect stem boring or competition. Our results indicated that C. cinctus oviposition behavior varied as a function of B. tectorum pressure. Crop responses were more readily explained by the joint effects of management tactics on both categories of pests and their interactions than just by the direct impact of any particular management scheme on yield. In accordance, a C. cinctus tolerant variety should be planted at a low seeding rate under high insect pressure. However as B. tectorum levels increase, the C. cinctus tolerant variety should be replaced by a competitive and drought tolerant cultivar at high seeding rates despite C. cinctus infestation. This study exemplifies the necessity of accounting for direct and indirect biological interactions occurring within agroecosystems and propagating this information from the statistical analysis stage to the management stage...|$|R
