1|70|Public
50|$|All {{information}} {{adapted from}} 1984 <b>release</b> <b>sleeve</b> except where noted.|$|E
5000|$|The {{album was}} <b>released</b> in {{gatefold}} <b>sleeve</b> at first, containing two records. When [...] "Moviestar" [...] was {{included on the}} album the gatefold sleeve contained three records.|$|R
5000|$|A vocal mix {{has been}} made {{featuring}} Wizard <b>Sleeve,</b> <b>released</b> in the UK on 4 January 2010. The song name has been changed to [...] "Riverside (Let's Go!)".|$|R
5000|$|... "Lovelace" [...] / [...] "Red Door": {{this was}} a 7" [...] vinyl-only double A-sided single with picture <b>sleeve,</b> <b>released</b> in 1994 through Ruy Records under {{catalogue}} number RUY1.|$|R
5000|$|In March 2017, Shadbolt {{released}} [...] "My Break Up Anthem" [...] as {{the lead}} single from her debut studio album Songs on My <b>Sleeve</b> <b>released</b> in May 2017.|$|R
5000|$|Coté {{released}} an album ("Amateur Soul Surgery", 2000) and 2 twelve inch singles as The Jazz Cannon with vocalist Don Greene, which also feature vocal contributions from Lorson. Coté subsequently {{released an}} album with vocalist/songwriter Uniit Carruyo {{under the name}} [...] "Glen The Owl" [...] (also featuring vocal contributions from Lorson) which, like the early Madder Rose <b>releases,</b> featured <b>sleeve</b> art by Coté.|$|R
5000|$|The 12" [...] {{release was}} also {{released}} {{in both the}} UK and Germany. The German release featured {{a new version of}} [...] "Sebastian" [...] as the B-Side, which was originally released as Cockney Rebel's debut single in 1973, from the album The Human Menagerie. This new version was produced by Batt, who had suggested re-recording the song, which Harley agreed to go along with. In the UK, the 12" [...] vinyl actually swapped both tracks around so that [...] "Sebastian" [...] became the A-Side and [...] "Ballerina" [...] became the B-Side. The 12" [...] vinyl's artwork featured a drawing of a ballerina sat on a chair, holding a teddy bear to the ground. On the 7" [...] vinyl <b>release's</b> <b>sleeve,</b> the 12" [...] vinyl edition was described: [...] "An extended 12-inch version of [...] "Ballerina" [...] - c/w a new, previously unreleased version of [...] "Sebastian", is available in a different picture bag on Stiletto Records." ...|$|R
50|$|The album's cover (like all em:t {{releases}} of the 1990s, a digipak), shows a keel-billed toucan. Unusually for an em:t <b>release,</b> however, the <b>sleeve</b> folded out, to reveal two cartoon-like illustrations.|$|R
5000|$|The Best of Japan [...] 2002 (Japan) BMG Japan BVCM 37343 - {{compilation}} of Hansa-Ariola era tracks using the 24 bit remastered tracks {{used on the}} 2001 Japanese paper <b>sleeve</b> <b>releases.</b>|$|R
5000|$|... #Caption: The four soldier statues {{reproduced}} on {{the album}} <b>sleeve</b> <b>released</b> in 1979 were cut out from this photo session of the group at the Guards Memorial in London (Join Hands tour program pictured).|$|R
6000|$|Another {{mental note}} to be {{preserved}} for the diary: [...] "Cowboy. Now what might a cowboy be? Perhaps--" [...] But the viscount perceived that some more questions {{were about to be}} asked; so he worked {{his way out of the}} crowd, <b>released</b> the <b>sleeve,</b> put on the coat and wandered away to seek a humble and obscure lodging. He found it and went to bed and was soon asleep.|$|R
50|$|For a long time, {{the members}} of TWOLOUD {{remained}} anonymous. In their live performances they appeared in ninja costumes and on their album covers {{they had never been}} seen. For a long time TWOLOUD was suspected to be a joint project of the Dutch DJs Hardwell and Tiësto. Their anonymity was an advantage to lesser-known artists, who would often announce that they were TWOLOUD. However, in mid-2014, it was announced that TWOLOUD was a project of the two German DJs Manian and D-Style. This was due to pictures the duo was on {{and the fact that they}} were credited on their songs. However, the rumours about the variant of Hardwell and Tiësto did not stop. TWOLOUD were cautious of the response towards the releases, deciding to forgo mentioning their and personnel's real names and credited themselves as Manuel Reuter and Alex Castle, while the <b>releases</b> <b>sleeve</b> contain little information about the background of the project, furthering the mystery about the creators of the releases and leading to speculation whether TWOLOUD is a duo, or a trio.|$|R
5000|$|This CD is the 1994 Single Box Release, {{containing}} three separately sold cd singles. This {{one came}} with the box, with space to hold the other two, LCDBong24 and XLCDBong24, which were <b>released</b> on cardboard <b>sleeve.</b>|$|R
50|$|Toyota Motor Corporation's RC {{family is}} a family of 6-speed RWD/4WD {{transmission}}s. The RC transmission uses and output reduction method to achieve a compact construction. A double overdrive (5th and 6th gears) is used. A multi-cone synchromesh mechanism is used for 1st, 2nd, and 3rd gears to improve shift feel. Similar in some aspects to the older RA transmission, the RC features a separate clutch housing and uses a steel <b>release</b> bearing <b>sleeve</b> to improve serviceability and service life.|$|R
5000|$|... "Eminence Front" [...] was {{scheduled}} to be released as a single in the UK by Polydor Records in 1982; the catalog number was WHO 7 but the single was never <b>released.</b> The picture <b>sleeve,</b> by Richard Evans, depicted a 1930s Art Deco house in Miami.|$|R
6000|$|The Old Man {{might have}} been pardoned the supposition, for Dick's eyes were humid and his face flushed. He loitered and lounged back to the chimney, yawned, shook himself, buttoned up his coat and laughed. [...] "Liquor ain't so plenty as that, Old Man. Now don't you git up," [...] he continued, as the Old Man made a {{movement}} to <b>release</b> his <b>sleeve</b> from Johnny's hand. [...] "Don't you mind manners. Sit jest whar you be; I'm goin' in a jiffy. Thar, that's them now." ...|$|R
50|$|Fourteen of {{the fifteen}} tracks {{appeared}} {{on a series of}} coloured vinyl singles with picture <b>sleeves,</b> <b>released</b> in 1978 on the Deccagone label through Strawberry Fields Forever, Joe Pope's fanzine. The following year, all fifteen tracks appeared on the Circuit Records bootleg album The Decca Tapes.|$|R
5000|$|CD (card <b>sleeve)</b> <b>released</b> in February 2014 {{with the}} second cover’s replica of Françoise Hardy canta per voi in italiano. Contains 10 songs in the order written {{on the back of}} the 1963 cover + 12 bonus tracks, only {{realised}} on singles of 1963 to 1967.|$|R
5000|$|... (ASIN: B001OOKHCM. Most tracks {{recorded}} live in London 1963. Much {{information on}} back of <b>sleeve.</b> <b>Release</b> date unknown. Conductor: B. Aleksandrov. Included are: Moscow Thunder, Moonlight, Polyushko Pole, Kamarinskaya, Ukrainian Poem (1956), That Night, Annie Laurie, You Are Always Beautiful, Cossack dance, Kalinka. Soloists include E. Belyaev.) ...|$|R
500|$|Are You Experienced {{was first}} issued on the Compact Disc Digital Audio or CD format in 1985 by Polydor Records (Track's successor) in Europe and Reprise in the US. [...] These early CDs {{essentially}} copied the original LP record albums {{and used the}} same tracks, sequencing, and cover art as their 1967 counterparts. [...] Both were reissued with minor changes in 1989–1991 and the Reprise <b>release</b> CD <b>sleeve</b> included [...] "Digital re-mastering by Joe Gastwirt, assisted by Dave Mitson using the Sonic Solutions NoNoise System, {{under the supervision of}} Are You Experienced? Ltd." ...|$|R
50|$|As with {{previous}} <b>releases,</b> it featured <b>sleeve</b> notes by the groups publicist Tony Barrow. The parent LP (also called Beatles for Sale) was issued in December 1964. In {{the weeks before}} Christmas copies passed over the disc-store counters at such a remarkable rate that Beatles for Sale {{became one of the}} worlds fastest-selling albums.|$|R
5000|$|The CD <b>release</b> JAMS CD006 <b>sleeve</b> lists it as a 9-track CD, {{however the}} disc only has 8 tracks. Track 4 [...] "Church of the KLF" [...] {{is on the}} end of the track 3, moving all other tracks up a number. The sleeve also states the album is 45:05 long but in fact it is only 43:43 long.|$|R
