1|8350|Public
5000|$|Club Address: Hôtel de Ville, <b>rue</b> <b>de</b> <b>l</b> <b>Eglise,</b> 84460 Cheval Blanc ...|$|E
50|$|A {{roundabout}} in the 20th arrondissement of Paris {{was given}} the name Place Henri Krasucki in his honor on 23 June 2005. It {{is located at the}} intersection of <b>Rue</b> <b>des</b> Couronnes, <b>Rue</b> <b>de</b> la Mare, <b>Rue</b> <b>Des</b> Envierges and <b>Rue</b> <b>des</b> Cascades near Belleville. For a long time Krasucki lived just off the roundabout at 107 <b>Rue</b> <b>des</b> Couronnes.|$|R
5000|$|Left Bank: it is {{possible}} to see traces of the wall in the streets along its outer side. These are: <b>rue</b> <b>des</b> Fossés-Saint-Bernard, <b>rue</b> du Cardinal-Lemoine, <b>rue</b> Blainville, <b>rue</b> <b>de</b> l'Estrapade, <b>rue</b> <b>des</b> Fossés-Saint-Jacques, <b>rue</b> Malebranche, <b>rue</b> Monsieur-le-Prince, <b>rue</b> <b>de</b> l'Ancienne Comédie, <b>rue</b> Mazarine.|$|R
50|$|The section {{between the}} <b>rue</b> <b>de</b> la Lingerie and the <b>rue</b> <b>de</b> la Tonnellerie {{was named the}} <b>rue</b> <b>de</b> la Chausseterie from 1300 to the 17th century.|$|R
5000|$|Numerous streets {{disappeared}} {{as a result}} of the boulevard's creation, including the <b>rue</b> <b>des</b> Deux Portes Saint-André, the passage d'Harcourt, the <b>rue</b> <b>de</b> Mâcon, the <b>rue</b> Neuve <b>de</b> Richelieu, the <b>rue</b> Poupée, part of <b>rue</b> <b>de</b> la Harpe and of rue d'Enfer, part of the former place Saint-Michel and the <b>rue</b> <b>de</b> l'Est. The part of the boulevard Saint-Michel at the entrance of the rue Henri Barbusse and the <b>rue</b> <b>de</b> l'Abbé de l'Epée was previously known as the place Louis Marin.|$|R
50|$|These {{four basic}} freedoms are also {{reflected}} {{in the streets of}} Brussels. There are four streets that lead to the Place de la Liberté/Vrijheidsplein (Freedom Square): the <b>Rue</b> <b>des</b> Cultes/Eredienststraat (Religion Street), the <b>Rue</b> <b>de</b> l'Association/Verenigingsstraat (Association Street), the <b>Rue</b> <b>de</b> l'Enseignement/Onderrichtstraat (Education Street) and the <b>Rue</b> <b>de</b> la Presse/Drukpersstraat (Press Street).|$|R
50|$|Mahé owned a {{succession}} of stamp shops in Paris at <b>Rue</b> <b>de</b> Clichy, <b>Rue</b> <b>de</b> Chateaudon and <b>Rue</b> <b>de</b> Cannettes. One of his customers was Philipp von Ferrary who later employed Mahé as his private secretary and custodian of his stamp collection at his mansion in <b>Rue</b> <b>de</b> Varennes from 1874 until Mahé died in 1913.|$|R
50|$|The hôtel de Villeroy of the 1st {{arrondissement}} of Paris {{is located}} at 34 <b>rue</b> <b>des</b> Bourdonnais. It has a second entrance at 9 <b>rue</b> <b>des</b> Déchargeurs. At {{the time of its}} construction it bordered the <b>rue</b> <b>de</b> la Limace that was later razed {{to make way for the}} creation of the <b>rue</b> <b>des</b> Halles in 1868.|$|R
5000|$|<b>Rue</b> <b>des</b> Bas-Tillets between <b>Rue</b> Benoît Malon and the <b>Rue</b> <b>de</b> la Garenne ...|$|R
5000|$|Fontaine de <b>de</b> Basfroid, (1719), <b>rue</b> <b>de</b> Basfroid and <b>rue</b> <b>de</b> Charonne, 11th {{arrondissement}} ...|$|R
50|$|The section {{between the}} <b>rue</b> <b>de</b> l'Arbre Sec and the now defunct rue du Rempart {{was named the}} <b>rue</b> <b>de</b> la Croix du Trahoir, <b>rue</b> <b>de</b> la Croix du Tiroir or rue du Traihoir, du Traihouer, du Trayoir, du Trahoir, du Triouer, or du Trioir between the 13th and 14th centuries; and the <b>rue</b> <b>de</b> la chaussée Saint-Honoré from 1450.|$|R
50|$|Perhaps a {{workable}} definition might be: the Place Saint-Paul is any place where either the Saint-Paul-Saint-Louis church or an {{entrance to the}} Saint-Paul metro station is within sight. If so, then the portions of the streets closest to the Rivoli/Saint-Antoine intersection would be included: <b>Rue</b> Saint-Paul, <b>Rue</b> <b>de</b> Turenne, <b>Rue</b> <b>de</b> Sévigné, <b>Rue</b> Malher, <b>Rue</b> du Roi <b>de</b> Sicile, <b>Rue</b> Pavée, Rue Francois Miron, <b>Rue</b> <b>de</b> Fourcy, and <b>Rue</b> <b>de</b> Prévôt.|$|R
5000|$|<b>Rue</b> <b>de</b> l'Impératrice, then renamed <b>rue</b> <b>de</b> l'Hôtel de Ville {{and then}} rue du Président-Édouard-Herriot, between Place Bellecour and Place des Terreaux ...|$|R
5000|$|... #Caption: The {{beginning}} of the <b>Rue</b> <b>de</b> Rivoli, from its intersection with the <b>Rue</b> <b>de</b> Sévigné ...|$|R
5000|$|Episode 8 : Le Crime <b>de</b> la <b>rue</b> <b>des</b> Francs-Bourgeois - The <b>Rue</b> <b>des</b> Francs-Bourgeois Case ...|$|R
5000|$|The gallery has entrances {{from the}} <b>rue</b> <b>des</b> Petits-Champs, <b>rue</b> <b>de</b> la Banque and rue Vivienne.|$|R
5000|$|... 1967 : L'Affaire <b>de</b> la <b>rue</b> <b>de</b> Chantilly (Le Crime <b>de</b> la <b>rue</b> <b>de</b> Chantilly) (TV) ...|$|R
5000|$|... 3 Wayside Crosses (19th century), <b>Rue</b> <b>de</b> l'Église, <b>Rue</b> du Centre, and <b>Rue</b> <b>de</b> la Saône; ...|$|R
5000|$|The second section, {{between the}} <b>Rue</b> <b>de</b> Rocroy and the <b>Rue</b> <b>de</b> Maubeuge was opened {{because of an}} {{ordinance}} dated 3 August 1861, except for the portion between <b>Rue</b> <b>de</b> Rocroy and the Rue du Faubourg Poissonnière that opened in 1894.|$|R
5000|$|In some {{sections}} of the boulevard, a side of the former street was preserved and the buildings are much older than the Haussmannian facades that comprise {{most of the rest}} of the buildings on the boulevard. For example, the buildings on the north side of the boulevard between the <b>rue</b> <b>de</b> Buci and the <b>rue</b> <b>de</b> Seine are the original north side the former <b>rue</b> <b>des</b> Boucheries (renamed <b>rue</b> <b>de</b> l'Ecole de Médecine in 1846).|$|R
50|$|During the French Revolution {{and until}} 1815, the street bore the name <b>rue</b> <b>de</b> l'Union (Union Street). It then resumed its {{original}} name until 1830, {{when it became}} <b>rue</b> <b>de</b> la Charte (Street of the Charter). It then udertook a quick succession of names, becoming rue Lapeyrouse, rue d'Angoulême à nouveau (1852), <b>rue</b> <b>de</b> Morny (1863), <b>rue</b> <b>de</b> la Commune (1871), rue Mac-Mahon and finally rue Pierre-Charron in 1871. The area between the place Saint-Augustin and the place Chand-Goyon was called <b>rue</b> <b>de</b> la Pépinière until 1868, and then rue Abattucci.|$|R
5000|$|... #Caption: Boulevard Raspail {{crossing}} <b>Rue</b> <b>de</b> Sèvres and <b>Rue</b> <b>de</b> Babylone. Sèvres-Babylone Metro Station at {{the left}} ...|$|R
5000|$|... #Caption: Boulevard Raspail {{crossing}} <b>rue</b> <b>de</b> Sèvres and <b>rue</b> <b>de</b> Babylone. Sèvres-Babylone metro {{station at}} the left.|$|R
50|$|Its {{borders are}} the river Seine to the north, the Boulevard Saint-Michel to the west, <b>rue</b> Soufflot, <b>rue</b> <b>des</b> Fossés-Saint-Jacques and <b>rue</b> <b>de</b> l'Estrapade {{to the south}} and <b>rue</b> Descartes, <b>rue</b> <b>de</b> la Montagne-Sainte-Geneviève, <b>rue</b> Frédéric-Sauton and rue du Haut-Pavé to the east.|$|R
5000|$|... #Caption: Le Rouge-Puits, at {{the corner}} of the <b>rue</b> <b>de</b> la Coupe and the <b>rue</b> <b>de</b> la Chaussée.|$|R
5000|$|Project for the Abbey {{and church}} of Pentemont, <b>rue</b> <b>de</b> Bellechasse at <b>rue</b> <b>de</b> Grenelle, Paris (published 1769).|$|R
