1|181|Public
5000|$|... #Caption: A famille <b>rose</b> <b>plate,</b> around 1770, Musée des Arts Décoratifs, Paris ...|$|E
40|$|Abstract: A {{total of}} 1106 {{livestock}} sera from pastoral and agro-pastoral farming system were screened for antibodies for Brucella species using the <b>Rose</b> Bengal <b>Plate</b> Test. Brucella antibody was detected in all study districts and an overall herd seroprevalence of 11. 2 % were recorded {{from the study}} areas. Accordingly, in pastoral area the prevalence of brucellosis was 15. 2 % whereas in agro-pastoral 4. 1 %. The study revealed that pastoral animals were {{more than three times}} more likely of being exposed to Brucella infection compared to animals in the agro-pastoral farming systems. Cattle in pastoral farming system had significantly higher Brucella antibodies (P 2 years) whereas this parameter relatively remained low, 10. 2 %, in younger animals (2 years). This study therefore, showed that Brucella antibodies was present in both pastoral and agro pastoral area of East Showa Zone of Oromia Regional State thus calling for formulation of strategic control measures in order to reduce associated reproductive wastage and the public health risks. Key words:Pastoral Agro-pastoral Brucella antibody <b>Rose</b> Bengal <b>plate</b> test Public health risks Oromia Regional State INTRODUCTION last trimester or birth of unthrifty newborn in the femal...|$|R
40|$|The {{serological}} {{profiles of}} 33 female bovines, vaccinated at three {{to eight months}} of age with the B 19 standard strain of Brucella abortus, were studied {{over a period of}} 728 days, using the following agglutination procedures: plate agglutination, tube agglutination, <b>rose</b> bengal <b>plate</b> and mercaptoethanol test. Maximum levels of antibodies detected reached by the plate agglutination and tube agglutination tests were found between the 14 (th) and 42 (nd) day, and with mercaptoethanol test, between the 28 (th) and 42 (nd) day. Anti-Brucella antibodies decreased thereafter. At 182 days after vaccination, five suspected animals and one positive were detected by the plate agglutination test, while by the tube agglutination test, only one animal was suspected and another one was positive. During the same period, positive reactions were found in six animals by means of the mercaptoethanol test, and five positives by the rose bengal test. By means of tube agglutination and plate agglutination tests, the animals became serologically negative at 245 and 273 days, respectively, after the vaccination, based on the rules adopted for the vaccinated animals. Using the mercaptoethanol and <b>rose</b> bengal <b>plate</b> tests, all the animals were found to be negative at 308 days after vaccination...|$|R
40|$|One-hundred {{and twenty}} three (123) blood samples were {{collected}} from dogs in Klang Valley Malaysia to investigate the present of brucellosis. On culture, all blood samples were negative for Brucella sp. The serological tests carried out were <b>Rose</b> Bengal <b>Plate</b> test (RBPT) and 2 -mercaptoethanol tube agglutination test (ME-TAT). The RBPT found that all serum samples were negative for Brucella infection. However, ME-TAT shown six serum samples were positive to Brucella infection with a high antibody titer (1 / 200) ...|$|R
40|$|Aim: To {{assess the}} {{diagnostic}} {{value of the}} Immunochromatographic Assay (ICA) for serodiagnosis of bovine brucellosis and comparing results with those obtained from <b>Rose</b> Bengal <b>Plate</b> Test (RBPT) and Indirect Enzyme Linked Immunsorbent Assay (iELISA). Materials and Methods: In this study, 40 bovine sera were subjected to serological tests for bovine brucellosis using RBPT, iELISA and ICA using Anigen Rapid B. Brucella Ab test kit. Results: Out of the 40 bovine sera examined, antibody against Brucella were detected in 24 (60...|$|R
40|$|Aim: To {{study the}} {{seroprevalence}} of caprine bruellosis in Karnataka {{and compare the}} relative sensitivity and specificity among the different serological tests used. Materials and Methods: A total of 252 serum samples were collected from the goats of Karnataka and subjected to 5 different serological tests, i. e., <b>Rose</b> Bengal <b>Plate</b> Test (RBPT), Standard Tube Agglutination Test (STAT), 2 -mercaptoethanol test (2 -MET), Indirect ELISA (I-ELISA) and Dot-ELISA to detect the Brucella antibodies. Results: Test-wise, the seroprevalence in goats was 5. 15...|$|R
40|$|Brucella-specific {{antibodies}} {{of different}} immunoglobulin classes were quantitatively evaluated {{with respect to}} their efficiency in serological tests for bovine brucellosis. IgM reacted more efficiently than IgG 1 and IgG 2 in both the <b>Rose</b> Bengal <b>plate</b> test and serum agglutination test. The complement fixation test was found to be slightly more sensitive to IgM than to IgG 1 and did not react to IgG 2. IgM was, however, partly inactivated when heated at 60 degrees C. in the presence of serum...|$|R
50|$|The {{marble and}} {{alabaster}} iconostasis, with icons in mosaic, was done from 1952-59, following Ionescu-Berechet's plans and with contributions from artists Ion Dimitriu-Bârlad, Constantin Baraschi and Mihai Wagner. Between 1962-71, {{the walls and}} floors were covered in 3 m high white and <b>rose</b> marble <b>plates,</b> a balcony for the choir was installed, and large mosaic icons of Murano glass placed at eye level along the walls. Repairs were done in 2002-03, and the domes, formerly copper green, were painted bright green in 2008.|$|R
40|$|Objective: To {{identify}} sero-prevalence of brucellosis among blood donors in Ahvaz city, Southwest Iran. Methods: A {{total number}} of 1 450 serum samples from blood donation were collected and were screened {{for the presence of}} brucella antibody. <b>Rose</b> Bengal <b>Plate</b> Test, Standard Agglutination Test (SAT), and 2 -mercaptoethanol (2 ME) agglutination were tested in the sample. SAT dilution ≥ 1 / 80 and 2 ME agglutination ≥ 1 / 40 were considered positive. Results: Sero-prevalence of brucellosis among the blood donors was 0. 70...|$|R
6000|$|John ate slowly, {{his eyes}} fixed on his <b>plate.</b> <b>Rose</b> ate not at all and looked out of the window, with big tears rolling childishly down her cheeks. She didn't want to go at all now. Her home seemed all at once so {{comfortable}} and happy and safe! ...|$|R
40|$|A {{cross-sectional}} {{epidemiological study}} {{was carried out}} from September 2004 to March 2005 to determine the seroprevalence and identify risk factors for seropositivity of bovine brucellosis in the extensive cattle production systems of Tigray Region. The study populations comprised indigenous breed cattle in the region, and samples were selected by 2 -stage cluster sampling. Serum samples collected from 816 extensively managed cattle herds above 6 months of age were screened for Brucella antibodies by the <b>Rose</b> Bengal <b>Plate</b> Test and reactor sera were further tested by the Complemen...|$|R
40|$|Aim: The aim was {{to study}} the {{seroprevalence}} and efficacy of the different serological tests used for detection of antibody against Brucella species in small ruminants of Banaskantha district of North-Gujarat. Materials and Methods: Total 1000 serum samples comprising of 485 from sheep and 515 from goat tested for detection of antibodies against the Brucella species by three different serological tests viz., <b>Rose</b> bengal <b>plate</b> test (RBPT), Standard tube agglutination test (STAT), and Indirect Enzyme-linked immunosorbent assay (I-ELISA). Results: The seroprevalence of brucellosis in small ruminants was 11. 30...|$|R
40|$|Aim: A {{seroprevalence}} {{study of}} brucellosis in sheep was conducted from April 2010 to April 2012 from both organized and unorganized {{sectors of the}} Kashmir valley. Materials and Methods: A total of 6615 sera samples were tested by <b>Rose</b> Bengal <b>Plate</b> test (RBPT) and Standard Tube Agglutination Test (STAT). Results: The overall seropositivity revealed 6. 50 % of prevalence of brucellosis. Higher prevalence (14. 14 %) of brucellosis was recorded in unorganized sector as compared organized sector (3. 23 %). [Vet World 2013; 6 (8. 000) : 530 - 533...|$|R
40|$|This {{study is}} {{conducted}} {{to estimate the}} prevalence of brucellosis in different animals species in Kassala area, eastern Sudan during 2004 up to 2006. The study aimed to provide a documented information on the prevalence of the disease {{with a view to}} assisting veterinary authorities in diseases control policies and planning research priorities in the region. The serum samples were collected from sheep, goat, camels and cattle, then tested in by <b>Rose</b> Bengal <b>Plate</b> test. The study showed that the prevalence of brucellosis is increased during the last years among different animal species...|$|R
40|$|Sera were {{collected}} from female cattle in 118 commercial herds being subjected to a programme to eradicate brucellosis by test and slaughter, in {{an area in which}} vaccination of heifer calves with Brucella abortus strain 19 was compulsory. Of 4583 sera positive by the <b>Rose</b> Bengal <b>plate</b> test, the brucellosis radioimmunoassay was positive for 1524, the complement fixation test for 1363 and the indirect haemolysis test for 1141. These figures, and supporting evidence from the eradication programme, suggest that the radioimmunoassay may be a useful supplementary test in problem herds...|$|R
40|$|Purpose Nigeria is {{the largest}} cattle-rearing nation in Africa with most animals kept under {{traditional}} husbandry practices. While bovine brucellosis does not receive much attention, a relatively high seroprevalence is found in samples submitted for laboratory testing. The aim {{of the study was}} to provide serological evidence of brucellosis in cattle from some of the main cattle-rearing states of the country and to validate a simple and rapid field test for the serodiagnosis of bovine brucellosis. Method Serum samples collected in various states of Nigeria from cattle because of suspicion of brucellosis were investigated in the <b>Rose</b> Bengal <b>plate</b> test, and results were compared with a newly developed rapid field test for the detection of Brucella-specific antibodies. Results Serological evidence for the presence of brucellosis in cattle was obtained for all states included in the study and a high herd prevalence was observed. The seroprevalence was also high among trade and slaughter animals. Results of a rapid field test for the serodiagnosis of bovine brucellosis correlated well with the <b>Rose</b> Bengal <b>plate</b> test (agreement, 95. 7 %; kappa value, 0. 80). Conclusions The results indicate that bovine brucellosis is an important veterinarian problem in Nigeria. The easy-to-use and robust field test is most promising for field-based surveillance as it provides an immediate result allowing the prompt instigation of control measure...|$|R
60|$|The breakfast-table, {{sparkling}} {{with silver}} and glass, around a magnificent orchid in the centre, and a <b>rose</b> by every <b>plate,</b> was {{spread in the}} dining-room, sweet sounds and scents coming in through the widely-opened glass doors of the conservatory, while a bright wood fire, still pleasant to look at, shone in the grate.|$|R
40|$|A {{total of}} 1887 bovine sera {{positive}} to the <b>Rose</b> Bengal <b>plate</b> test {{were subjected to}} other serological tests for bovine brucellosis: the complement fixation test using warm fixation (CFTW),the serum agglutination test (SAT) and the radioimmunoassay (RIA). The SAT was generally much less sensitive than the CFTW. Many sera, however, gave positive reactions in the SAT but no reaction in the CFTW or the RIA. These SAT reactions were attributed to IgM antibody. Comparison between {{the results of the}} CFTW and the RIA led to the conclusion that 200 ng {{could be used as a}} minimum diagnostic reaction in the RIA...|$|R
40|$|We {{report a}} rare case of {{brucellosis}} with Parkinsonian-like tremor and simple partial motor seizure. This patient {{worked as a}} sheep butcher and the sheep were imported from brucellosis-endemic areas. He presented with classical manifestations of brucellosis; infection was confirmed using the <b>Rose</b> Bengal <b>Plate</b> and Standard Tube Agglutination tests. The patient also suffered from headache, partial seizures, changes of personality and static tremor of both upper limbs. After anti-infection therapy, but {{without the use of}} anti-Parkinson drugs, the patient fully recovered and remained free of Parkinsonian-like tremor. Brucellosis can present with atypical symptoms, clinicians should widen their diagnostic view of brucella infection...|$|R
40|$|Brucellar {{arthritis}} remains under diagnosed {{owing to}} non-specific clinical manifestations. Here, we report isolation of Brucella melitensis from synovial fluid of 5 th metatarsophalangeal joint of a 39 -year-old lady having unusually chronic asymmetric, additive, peripheral polyarthritis. This isolation {{was confirmed by}} Bruce-Ladder polymerase chain reaction (PCR). The patient {{had a history of}} contact with an aborted goat. <b>Rose</b> Bengal <b>Plate</b> Agglutination Test (RBPT) and Standard Tube Agglutination Test (SAT) were positive for Brucella-specific antibodies both for patient and in contact with sheep and goats. The patient was treated with doxycycline and rifampicin for 16 weeks and was recovered fully...|$|R
40|$|A sero-prevalence {{study was}} {{conducted}} in Kuku Dairy Scheme, Khartoum North, Sudan. The scheme was proved to be endemic with bovine brucellosis. Cross-reaction with other bacteria and the possibility of false positive reactor animals due to vaccination had justified the use of competitive ELISA test for serum detection as a confirmatory test. The number of cattle examined, throughout the study, was 574 out of 845 cows kept in Kuku Dairy Scheme. All the obtained sera were screened using <b>Rose</b> Bengal <b>Plate</b> Test (RBPT). Twenty eight out of the thirty herds of the sample had at least one positive reactor, resulting in 93. 3 % herd prevalence rate. All sera positive to <b>Rose</b> Bengal <b>Plate</b> Test (n = 178) were subjected to further confirmatory test using Competitive Enzyme-Linked Immunosorbent Assay (c-ELISA). 143 cows (80. 3 %) were confirmed positive by c-ELISA. Out of 28 positive herds, 27 (96 %) had at least one positive reactor. According to the confirmatory test, the herd prevalence rate was 90 %, individual animal prevalence rate was 24. 9 % and average within herd prevalence rate was 24. 5 % (± 15. 7, CI 4. 088 at 95 %). The number of seropositive aborter was found to be 17 cows out of 143 (12 %). It is concluded that bovine brucellosis was highly prevalent in Kuku Dairy Scheme. This fact justifies immediate adoption of an effective control policy for this zoonotic disease...|$|R
40|$|The {{reactivity}} of monoclonal antibody (MAb) 12 G 12 was analyzed {{in regard to}} the main biovars of Brucella species and some members of the families Enterobacteriaceae and Vibrionaceae which present serological cross-reactions with the smooth lipopolysaccharide (S-LPS) of Brucella species. This MAb was strictly directed against the common specific epitope of the Brucella S-LPS. It recognized all of the smooth Brucella strains and biovars except B. suis biovar 2. In order to improve the specificity of the serological diagnosis of brucellosis, a competitive enzyme-linked immunosorbent assay (cELISA) was developed with the horseradish peroxidase-conjugated MAbs 12 G 12 and S-LPS of B. melitensis Rev 1. The specificity of the cELISA was analyzed with 936 serum samples from healthy cattle. The assay was evaluated with sera from heifers (n = 18) experimentally infected with B. abortus 544. After infection, the performance of the cELISA was in agreement with those of the complement fixation test and the <b>rose</b> Bengal <b>plate</b> test. Finally, the specificity of the assay was also evaluated in regard to false-positive serological reactions by using sera from heifers experimentally infected with Yersinia enterocolitica 0 : 9 (n = 4) and with field sera presenting false-positive reactions (n = 74). The specificity of the cELISA was greater than the specificities of the complement fixation test and the <b>rose</b> Bengal <b>plate</b> test. Indeed, the new assay detected only 31 of the 101 false-positive serum samples detected by at least one serological test...|$|R
40|$|Aim: To {{determine}} the seroepidemiological patterns of bovine brucellosis in three senatorial zones of Bauchi State, Nigeria. Materials and Methods: Blood samples were aseptically {{collected from the}} anterior jugular vein of 336 slaughtered cattle, between September 2013 and March 2014 in three senatorial zones of Bauchi State, Nigeria. The sera obtained were screened for brucellosis using <b>rose</b> Bengal <b>plate</b> test (RBPT) and serum agglutination test (SAT) in parallel. The data generated was subjected to Chi-square and Fishers exact test analysis to establish {{whether there is a}} relationship between the breeds, sex, and location of the animals sampled. Results: Of the 336 cattle screened, 18 (5. 4...|$|R
40|$|Aim: A {{cross-sectional}} {{study was conducted}} to determine the seroprevalence of bovine brucellosis among cattle slaughtered at three municipal abattoirs of Gombe State, Nigeria. Materials and Methods: A total of 200 blood samples collected from slaughtered cattle of different breeds (Sokoto Gudali - 50, White Fulani - 102, Red bororo – 34, and Crossbreeds - 14), sex (males - 19 and females - 181), and from different locations (Billiri - 30, Yamaltu Deba – 50, and Gombe - 120) were screened for brucellosis using <b>rose</b> bengal <b>plate</b> test (RBPT), serum agglutination test (SAT), and microtiter agglutination test (MAT). Results: Of the 200 serum samples analyzed, 7 (3. 5...|$|R
