1|10000|Public
50|$|Jus curialitatis. In English law, the <b>right</b> <b>of</b> <b>curtesy.</b> Spelman.|$|E
5000|$|... #Subtitle level 3: Natural <b>right</b> <b>of</b> {{revolution}} versus <b>right</b> <b>of</b> secession ...|$|R
50|$|The Right to Make Transmittable is one <b>of</b> several <b>rights</b> {{granted to}} the creators of {{creative}} works by Japanese copyright law. The law defines copyright not as a single comprehensive right but as a bundle <b>of</b> various <b>rights</b> including <b>right</b> <b>of</b> reproduction, <b>right</b> <b>of</b> performance, <b>right</b> <b>of</b> screen presentation and <b>right</b> <b>of</b> public transmission.|$|R
50|$|Related rights {{include the}} <b>rights</b> <b>of</b> {{performers}} (ss. 17, 19), the <b>rights</b> <b>of</b> producers of sound recordings (ss. 18, 19) and the <b>rights</b> <b>of</b> broadcasting organisations (s. 20), {{each of them}} having a duration of 50 years (limitations: s. 21).|$|R
5000|$|While in England and Wales, highway {{authorities}} {{have a duty}} to maintain legally recognised maps <b>of</b> <b>rights</b> <b>of</b> way, in Scotland different legislation applies and there is no legally recognised record <b>of</b> <b>rights</b> <b>of</b> way. However, there is a National Catalogue <b>of</b> <b>Rights</b> <b>of</b> Way (CROW), compiled by the Scottish <b>Rights</b> <b>of</b> Way and Access Society (Scotways), in partnership with Scottish Natural Heritage, and the help of local authorities.There are three categories <b>of</b> <b>rights</b> <b>of</b> way in CROW: ...|$|R
5000|$|... #Subtitle level 2: Section 2: <b>Rights</b> <b>of</b> state citizens; <b>rights</b> <b>of</b> {{extradition}} ...|$|R
25|$|Early 1970s onwards, {{there was}} a renewed {{interest}} in <b>rights</b> <b>of</b> minorities, including language <b>rights</b> <b>of</b> minorities. e.g. UN Declaration on the <b>Rights</b> <b>of</b> Persons Belonging to National or Ethnic, Religious and Linguistic Minorities.|$|R
5000|$|The <b>Right</b> <b>of</b> Family Reunification - The Abolishment <b>of</b> the <b>Right</b> <b>of</b> Residency of Partners of non-Jewish Israeli Citizens (1992) ...|$|R
5000|$|... 5. Early 1970s onwards, {{there was}} a renewed {{interest}} in <b>rights</b> <b>of</b> minorities, including language <b>rights</b> <b>of</b> minorities. e.g. UN Declaration on the <b>Rights</b> <b>of</b> Persons Belonging to National or Ethnic, Religious and Linguistic Minorities.|$|R
40|$|The article {{presents}} the problem <b>of</b> the <b>right</b> <b>of</b> pre-emption of agricultural real property {{and attempt to}} answer the question whether it was justified for the legislator to introduce a right which limits an attribute of an owner, such as the <b>right</b> <b>of</b> asset disposal. The statutory <b>right</b> <b>of</b> pre-emption of agricultural property has been regulated in different legal acts and entitle to the lessee, the Agricultural Property Agency and the co-owner. The article also discusses issues concerning the exercise <b>of</b> the <b>right</b> <b>of</b> pre-emption and problems concerning the concurrence <b>of</b> the <b>right</b> <b>of</b> pre-emption from the Act on the establishment of the agrarian system with other cases <b>of</b> the statutory <b>right</b> <b>of</b> pre-emption. In Authors opinion the fact that the <b>right</b> <b>of</b> pre-emption of agricultural property to the lessee and co-owner has to be considered as positive, but some conditions should be change. It is also necessary to change the provisions of the Act of 11 April 2003 on the establishment of the agrarian system concerning the <b>right</b> <b>of</b> pre-emption of the Agricultural Property Agency The objective scope of the application <b>of</b> the <b>right</b> <b>of</b> pre-emption (re-demption) is too wide...|$|R
5000|$|In {{superior}} courts, generally only barristers or {{advocates have}} a <b>right</b> <b>of</b> audience. Depending on jurisdiction, solicitors {{may have a}} <b>right</b> <b>of</b> audience in Magistrates and County or District courts. [...] Further, a person appearing in court without legal representation has a <b>right</b> <b>of</b> audience but {{a person who is}} not a lawyer that assists a party to a legal matter in court does not have a <b>right</b> <b>of</b> audience. See D v S (<b>Rights</b> <b>of</b> Audience) 1997 2 FCR 217 ...|$|R
50|$|Common rights {{include the}} <b>right</b> <b>of</b> commoners to collect gorse for fuel. Grazing is {{currently}} the sole <b>right</b> <b>of</b> ‘habitants’ - residents living on or immediately adjacent to the Common. There is also <b>rights</b> <b>of</b> passage.|$|R
