1|116|Public
5000|$|... #Caption: A <b>punched</b> <b>ticket</b> {{issued by}} the Navi Mumbai Municipal Transport.|$|E
50|$|A {{young woman}} (Louise Rutter), who {{believes}} her fiancé (William Harrigan) may have committed a murder, asks Ashton Kirk {{to investigate the}} crime. The fiancé admits {{he went to the}} man's (Sheldon Lewis) home to retrieve plans for a submarine that was invented by his father, who is a scientist, and stolen by the murdered man, but the fiancé claims he left the home before retrieving the plans. Kirk uses a train conductor's <b>punch</b> <b>ticket</b> to discover the identity of the murderers, one of whom is a mute, and sets a trap to apprehend the suspects.|$|R
5000|$|... #Caption: Setright ticket machine, with {{built-in}} <b>ticket</b> <b>punch,</b> alongside the thumb ...|$|R
50|$|In general, {{conductors}} in Switzerland collect or <b>punch</b> <b>tickets,</b> fine {{people the}} first charge of 100 CHF {{for not having}} a valid fare, and make announcements on the public address system. They also may fine passengers if they take a longer trip than normal. For example, if one takes a train to Bern via Biel, having departed from Geneva, which is a longer trip than taking the InterCity via Lausanne, the conductor can fine the passenger a supplementary fare. They sound a warning when the train's doors are going to close. Many conductors, especially those on night shift and on isolated regional lines, are being trained in self-defence against would-be assailants.|$|R
5000|$|Fare {{validation}} requires substantial infrastructure (paid/unpaid areas), labour-intensive manual ticket examinations, {{and consequent}} speed-accuracy trade-offs. During the 2000s, TRA incrementally replaced older thermal ticket printers with {{automated fare collection}} (AFC) devices using magnetic-backed stock. Busy stations have faregates to speed up validation. Tickets can be inserted in any orientation. Gates align, check, and mechanically <b>punch</b> <b>tickets</b> prior to opening. Validations are fast and can be [...] "pipelined" [...] or [...] "stacked" [...] (i.e. following passenger can insert ticket while previouspassenger is proceeding through the gate). Passenger counting sensors quickly close gates when as many passengers entered as valid tickets processed. When exiting, faregates collect and cancel single trip tickets.|$|R
50|$|Some {{machines}} {{also included}} a <b>ticket</b> <b>punch</b> attached to the top corner of the case (illustrated).|$|R
60|$|The {{conductor}} {{took the}} shilling, <b>punched</b> two twopenny <b>tickets,</b> and then stood {{trying to think}} it out.|$|R
50|$|The Mocs won the SoCon tournament {{once again}} in 2009. Defeating the College of Charleston Cougars 80-69 in the {{championship}} game on their home court at the McKenzie Arena, the Mocs <b>punched</b> their <b>ticket</b> to the NCAA Tournament, their first since 2005.|$|R
50|$|The premium fare for the JFK Express was {{collected}} by train conductors on board, who <b>punched</b> the <b>tickets</b> that passengers had to purchase prior to boarding. In {{addition to the}} conductors, there were transit police officers aboard to provide protection for travelers.|$|R
60|$|My Latin quarter hat. God, {{we simply}} must dress the character. I want puce gloves. You were a student, weren't you? Of {{what in the}} other devil's name? Paysayenn. P. C. N., you know: physiques, chimiques et naturelles. Aha. Eating your groatsworth of mou en civet, fleshpots of Egypt, elbowed by belching cabmen. Just say in the most natural tone: when I was in Paris; boul' Mich', I used to. Yes, used to carry <b>punched</b> <b>tickets</b> to prove an alibi if they arrested you for murder somewhere. Justice. On {{the night of the}} seventeenth of February 1904 the {{prisoner}} was seen by two witnesses. Other fellow did it: other me. Hat, tie, overcoat, nose. Lui, c'est moi. You seem to have enjoyed yourself.|$|R
50|$|<b>Ticket</b> <b>punches</b> {{were widely}} used in orienteering but have been {{replaced}} by needle punches (see control point in Orienteering).|$|R
25|$|In November, {{agreement}} was {{given for the}} replacement of existing <b>ticket</b> <b>punches</b> by a type that would register more accurately.|$|R
5000|$|... #Caption: This ORC {{membership}} card for 1912 features a {{perforated serial number}} reminiscent of the train <b>tickets</b> <b>punched</b> by conductors.|$|R
25|$|A {{change in}} the {{supplier}} of tickets took place during April, following a request for quotations {{from a number of}} printers. The new contractors were the C.A.S. <b>Punch</b> and <b>Ticket</b> Company Limited of London and this firm supplied the bulk of the tickets for 20 years.|$|R
50|$|<b>Ticket</b> <b>punches</b> {{are widely}} used to mark railway {{passenger}} tickets, particularly if it is important when and where the <b>ticket</b> was <b>punched.</b>|$|R
5000|$|... #Caption: Railway {{passenger}} <b>ticket</b> <b>punched</b> multiple times, with {{at least}} 4 different die shapes: triangle, oval, and two sizes of tear drop ...|$|R
50|$|Friday July 31, 2015 Betsy <b>punched</b> her <b>ticket</b> to Beijing, China 10,000 meters 2015 World Championships in Athletics at Kenya {{national}} trials. Betsy placed 8th in 31:51.35 in China. Betsy's time qualifies her for Athletics at the 2016 Summer Olympics Athletics at the 2016 Summer Olympics - Qualification (if selected).|$|R
5000|$|... #Caption: A Scottish rail ticket {{from the}} 1970s. The hole <b>punched</b> through the <b>ticket</b> {{shows that it}} has been checked by a conductor.|$|R
2500|$|The Waterloo & City Railway {{opened to}} the public at 8 a.m. on Monday 8 August 1898, with a train leaving each {{terminal}} simultaneously at that time. The fares were 2d one class only, payable at a turnstile, but returns and season tickets, and add-ons to surface tickets were available. From 1900 the turnstiles were done away with and conductors travelled on the trains, carrying Bell <b>Punch</b> <b>ticket</b> machines. The daily average receipts in January 1899 were £86, and with steadily rising passenger usage and income the Company was able to pay a 3% dividend out of income following the annual general meeting of February 1902. Sunday services were not considered at this period, and in 1906 it was stated that [...] "it would cost £20 each Sunday to run the trains, and they would not get that back in receipts." ...|$|R
50|$|Arkansas {{became the}} first team to <b>punch</b> its <b>ticket</b> to Omaha. The Razorbacks played the Cal State Fullerton Titans, winners of the Fullerton Super Regional first. LSU beat Arkansas on June 15 after {{defeating}} Virginia. Arkansas next played the Cavaliers in a College World Series classic, a twelve-inning affair that resulted in Virginia's elimination.|$|R
5000|$|Redshirt year, Estrada ran a personal-best {{time in the}} 10K (27:32.90) at the Payton Jordan Invitational as an unattached {{athlete to}} <b>punch</b> his <b>ticket</b> to London ... Competed in front of 80,000 fans at London's Olympic Stadium on August 4 in the Athletics at the 2012 Summer Olympics, {{finishing}} 21st {{in a time of}} 28:36.19.|$|R
