1|10000|Public
50|$|<b>Periodic</b> <b>and</b> <b>Random</b> <b>Deviation.</b>|$|E
40|$|A large {{class of}} {{acoustic}} noise sources has an underlying periodic process that generates a <b>periodic</b> noise component, <b>and</b> thus their acoustic noise can in general be modeled as {{the sum of}} a <b>periodic</b> signal <b>and</b> a randomly fluctuating signal (usually a broadband background noise). Active control of periodic noise (i. e., for a mixture of sinusoids) {{is more effective than}} that of random noise. For mixtures of sinusoids in a background broadband random noise, conventional FXLMS-based single filter method does not reach the maximum achievable Noise Attenuation Level (NALmax⁡). In this paper, an alternative approach is taken and the idea of a parallel active noise control (ANC) architecture for cancelling mixtures of <b>periodic</b> <b>and</b> <b>random</b> signals is presented. The proposed ANC system separates the noise into <b>periodic</b> <b>and</b> <b>random</b> components <b>and</b> generates corresponding antinoises via separate noise cancelling filters, and tends to reach NALmax⁡ consistently. The derivation of NALmax⁡ is presented. Both the separation and noise cancellation are based on adaptive filtering. Experimental results verify the analytical development by showing superior performance of the proposed method, over the single-filter approach, for several cases of sinusoids in white noise...|$|R
40|$|We {{consider}} {{the existence of}} a dynamically stable soliton in the one-dimensional cubic-quintic nonlinear Schrödinger model with strong cubic nonlinearity management for <b>periodic</b> <b>and</b> <b>random</b> modulations. We show that the predictions of the averaged cubic-quintic NLS equation and modified variational approach for the arrest of collapse coincide. The analytical results are confirmed by numerical simulations of one-dimensional cubic-quintic NLS equation with rapidly and strongly varying cubic nonlinearity coefficient. Comment: 4 pages, 4 figure...|$|R
40|$|The {{nonlinear}} dynamic {{mechanisms of}} solid-phase formation with a phase transition region are studied under <b>periodic</b> <b>and</b> <b>random</b> fluctuations of the cooling-boundary temperature. It is theoretically {{shown that a}} mushy zone can form even at close liquid and cooling-boundary temperatures due to random temperature field fluctuations. The growth of a solid phase with the mushy zone is investigated {{as a function of}} the autocovariance characteristics of random noises. © 2013 Pleiades Publishing, Ltd...|$|R
40|$|The plasmon {{resonance}} of <b>periodic</b> <b>and</b> <b>random</b> arrays of Au-nanodiscs and nano-squares was investigated experimentally and numerically. By randomization, plasmon resonance spectra become broadened, however, the electro-magnetic field enhancement is augmented {{by a factor}} of 10 – 10 2 times at some specific wavelength as shown by the finite-element time-domain calculations. The spatial localization takes place at a fewer hot-spots. The randomized structures are promising for the applications in opto-electronics, sensing and light harvesting...|$|R
40|$|Seismicity {{affecting}} the low eastern flank of Mt. Etna shows clustering in time. We analysed {{a catalog of}} mi-croearthquakes recorded by the four stations of the Osservatorio Sismologico di Protezione Civile di Acireale during the period 1989 – 1994. In general a strong <b>deviation</b> from <b>periodic</b> <b>and</b> <b>random</b> distribution was found. The temporal clustering is scale invariant and a fractal dimension can be derived to characterize it. Fractal dimensions seem to be correlated to th...|$|R
5000|$|From {{the late}} 1930s until the 1960s, Phillips {{employed}} registered nurses as [...] "highway hostesses," [...] who made <b>periodic</b> <b>and</b> <b>random</b> visits to Phillips 66 stations within their regions. The women inspected station restroom facilities {{to ensure they}} were well cleaned and stocked. The highway hostesses also served as ambassadors for the company by directing motorists to suitable dining and lodging facilities. Union 76 employed similar hostesses, called the [...] "Sparkle Corps." ...|$|R
40|$|Abstract – In this paper, {{we propose}} {{a method for}} extracting the {{spectral}} information of a multi-gigahertz jittery signal. This method may utilize existing on-chip single-shot period measurement techniques to measure the multi-gigahertz signal periods for spectral analysis. This method does not require an external sampling clock, nor any additional measurement beyond existing techniques. Experimental results show that this analysis method can accurately estimate the amount <b>and</b> frequencies of <b>periodic</b> <b>and</b> <b>random</b> jitter of a multi-gigahertz signal. I...|$|R
40|$|In this paper, the {{phenomenon}} of band gaps and Anderson localization of water waves over one-dimensional <b>periodic</b> <b>and</b> <b>random</b> bottoms is investigated by the transfer matrix method. The {{results indicate that the}} range of localization in random bottoms can be coincident with the band gaps for the corresponding periodic bottoms. Inside the gap or localization regime, a collective behavior of water waves appears. The results are also compared with acoustic and optical situations. Comment: 3 pages, five figure...|$|R
40|$|This {{research}} project {{is based on}} previous work done by Dwight L. Jaggard and Aaron D. Jaggard on fractal ring arrays. We utilize fractals in the fabrication of a class of Cantor ring arrays. Fractal descriptors such as dimension, stage of growth, and lacunarity are applied in designing and characterizing these Cantor rings. Using the continuous arrays developed by Jaggard and Jaggard {{as a point of}} reference, we examine the design of analogous discrete arrays. We examine various ways of periodically and randomly thinning and building up these arrays azimuthally. The arrays are compared to their <b>periodic</b> <b>and</b> <b>random</b> counterparts as well as the continuous case to evaluate performance. Mainbeam quality, sidelobe level, and visible range are used to rate the arrays. The Cantor ring arrays and the corresponding array factors are simulated using programs developed in MATLAB. Our goals include developing fractal arrays that have low sidelobes comparable to those of periodic arrays while maintaining the robustness of random arrays. We aim for superior fractal performance at an equal number of elements as the <b>periodic</b> <b>and</b> <b>random</b> cases, as well as comparable performance using fewer elements...|$|R
40|$|AbstractThere {{has been}} {{considerable}} interest lately in the homogenization theory for first- and second-order partial differential equations in periodic/almost <b>periodic</b> <b>and</b> <b>random,</b> stationary, ergodic environments. Of special {{interest is the}} study of the averaged behavior of moving interfaces. In this note we revisit the last issue. We present several new results concerning interfaces moving by either oscillatory first-order or curvature dependent coupled with oscillatory forcing normal velocity in <b>periodic</b> environments <b>and</b> analyze in detail their behavior. Under sharp assumptions we show that such fronts may homogenize, get trapped or oscillate...|$|R
40|$|We report {{numerical}} {{simulations of}} magnetic flux patterns in asymmetric 45 ^∘ [001]-tilt grain boundaries in YBa_ 2 Cu_ 3 O_ 7 -x superconducting films. The grain boundaries {{are treated as}} Josephson junctions with the critical current density j_c(x) alternating along the junctions. We demonstrate the existence of Josephson vortices with fractional flux quanta for both <b>periodic</b> <b>and</b> <b>random</b> j_c(x). A method is proposed to extract fractional vortices from experimental flux patterns. Comment: 4 pages, 4 figures, ReVTeX, submitted to PR...|$|R
40|$|This {{research}} {{involves the}} overlaps of antenna theory, fractal geometry, and numerical calculations. Its {{goal is to}} investigate how random or periodic antenna array geometry can be improved {{through the use of}} fractals. Using a program we developed in Matlab, we plotted the radiation of linear/planar antenna arrays. We were able to correctly analyze radiation of three two-dimensional arrays. Another program whose purpose was to generate fractals was used to allow us to characterize the radiation properties of <b>periodic</b> <b>and</b> <b>random</b> arrays...|$|R
40|$|The {{adhesion}} process {{depends on}} the mechanical and chemical characteristics of surfaces, therefore the pretraitment of the bonding area has a great importance in industrial application of metal gluing. The study analyses the importance on the bond quality of the microgeometric parameters which describe the surfaces. Both <b>periodic</b> <b>and</b> <b>random</b> profiles are considered. Experimental data for the single lap geometry and aluminum adherends are reported and the dependence of shear strength on the roughness parameters is discussed. © 1989 CIRP...|$|R
40|$|Application of the {{transfer}} function approach to predict the resulting interior noise contribution requires gearbox vibration sources and paths to be characterized in the frequency domain. Tooth-face deviations from perfect involute surfaces were represented in terms of Legendre polynomials which may be directly interpreted in terms of tooth-spacing errors, mean <b>and</b> <b>random</b> <b>deviations</b> associated with involute slope and fullness, lead mismatch and crowning, and analogous higher-order components. The contributions of these components to the spectrum of the static transmission error is discussed and illustrated using a set of measurements made {{on a pair of}} helicopter spur gears. The general methodology presented is applicable to both spur and helical gears...|$|R
40|$|Metasurfaces are {{generally}} designed by placing scatterers in a periodic grid. We propose and discuss design rules for efficient <b>random</b> <b>and</b> functional metasurfaces with anisotropic elements. We investigate {{the impact of}} the elements density on the performance of metasurfaces in both <b>periodic</b> <b>and</b> <b>random</b> cases. Using numerical simulations, we apply our approach to the design of all-polarization random metalenses at near infrared frequencies. The results will open a new paradigm in the design of metamaterial and metasurface devices from lenses to solar energy concentrators. Comment: 8 pages, 5 figure...|$|R
40|$|This paper {{describes}} {{two methods}} for seamless enlargement of difficult colour textures containing both regular <b>periodic</b> <b>and</b> stochastic components. Such textures cannot be modelled using neither simple tiling nor using purely stochastic models. The first novel method automatically recognizes <b>and</b> separates <b>periodic</b> <b>and</b> <b>random</b> texture components. Each of this components is subsequently modelled using the coresponding optimal method. Both independently enlarged texture components are combined in the resulting synthetic near regular texture. The second method detects two main direction of periodicity in regular <b>periodic</b> component <b>and</b> generates several double-toroidal tiles {{of the same}} general shape, which can seamlesly enlarge given near-periodic texture without visible regularity...|$|R
40|$|In this paper, the {{propagation}} of water surface waves over one-dimensional <b>periodic</b> <b>and</b> <b>random</b> bottoms is investigated by the transfer matrix method. For the periodic bottoms, the band structure is calculated, {{and the results are}} compared to the transmission results. When the bottoms are randomized, the Anderson localization phenomenon is observed. The theory has been applied to an existing experiment (Belzons, et al., J. Fluid Mech. 186, 530 (1988)). In general, the results are compared favorably with the experimental observation. Comment: 15 pages, 7 figure...|$|R
40|$|We study {{diffusion}} in lattices with <b>periodic</b> <b>and</b> <b>random</b> {{arrangements of}} anisotropic scatterers. We show, using both analytical techniques based upon our previous work on asymptotic properties of multistate <b>random</b> walks <b>and</b> computer calculation, that the diffusion constant for the random arrangement of scatterers is bounded {{above and below}} at an arbitrary density p by the diffusion constant for an appropriately chosen periodic arrangement of scatterers at the same density. We also investigate he accuracy of the low-density expansion for the diffusion constant up to second order in the density for a lattice with randomly distributed anisotropic scatterers. Comparison of the analytical results with numerical calculations shows that {{the accuracy of the}} density expansion depends crucially on the degree of anisotropy of the scatterers. Finally, we discuss a monotonicity law for the diffusion constant with respect to variation of the transition rates, in analogy with the Rayleigh monotonicity law for the effective resistance of electric networks. As an immediate corollary we obtain that the diffusion constant, averaged over all realizations of the random arrangement of anisotropic scatterers atdensity p, is a monotone function of the density. KEY WORDS: <b>Random</b> walks on <b>periodic</b> <b>and</b> <b>random</b> lattices; anisotropic scatterers; bounds for the diffusion constants; density expansion; monotonicity law. 1...|$|R
40|$|Nonlinear {{oscillators}} can mutually synchronize {{when they}} are driven by common external impulses. Two important scenarios are (i) synchronization resulting from phase locking of each oscillator to regular <b>periodic</b> impulses <b>and</b> (ii) noise-induced synchronization caused by Poisson random impulses, but their difference has not been fully quantified. Here we analyze a pair of uncoupled oscillators subject to common random impulses with gamma-distributed intervals, which can be smoothly interpolated between regular <b>periodic</b> <b>and</b> <b>random</b> Poisson impulses. Their dynamics are charac- terized by phase distributions, frequency detuning, Lyapunov exponents, and information-theoretic measures, which clearly reveal {{the differences between the}} two synchronization scenarios. Comment: 18 page...|$|R
40|$|Many typos were corrected. The present {{paper is}} devoted to the study of {{resonances}} for one-dimensional quantum systems with a potential that is the restriction to some large box of an ergodic potential. For discrete models both on a half-line and on the whole line, we study the distributions of the resonances in the limit when the size of the box where the potential does not vanish goes to infinity. For <b>periodic</b> <b>and</b> <b>random</b> potentials, we analyze how the spectral theory of the limit operator influences the distribution of the resonances...|$|R
40|$|In {{this work}} we {{consider}} the oscillations and associated resonance of a 2 D Bose-Einstein condensate under <b>periodic</b> <b>and</b> <b>random</b> modulations of the atomic scattering length. For random oscillations of the trap potential and of the atomic scattering length {{we are able to}} calculate the mean growth rate for the width of the condensate. The results obtained from the reduced ODE's for oscillations of the width of condensate are compared with the numerical simulations of the full 2 D Gross-Pitaevskii equation with modulated in time coefficients. Comment: 18 pages, 8 figure...|$|R
40|$|Frictional {{phenomena}} of two-dimensional elastic lattices are studied numerically {{based on a}} two-dimensional Frenkel-Kontorova model with impurities. It is shown that impurities can assist the depinning. We also investigate anisotropic ordering and transverse pinning effects of sliding lattices, which are characteristic of the moving Bragg glass state and/or transverse glass state. Peculiar velocity dependence of the transverse pinning is observed {{in the presence of}} both <b>periodic</b> <b>and</b> <b>random</b> potentials <b>and</b> discussed in the relation with growing order and discommensurate structures. Comment: RevTeX, 4 pages, 5 figures. to appear in Phys. Rev. B Rapid Commu...|$|R
40|$|The {{qualitative}} {{dynamics of}} a discrete time {{version of a}} deterministic, continuous time, nonlinear macro model formulated by Haavelmo are fully characterized. Recently developed methods of symbolic dynamics and ergodic theory are shown to provide a simple, effective means of analyzing {{the behavior of the}} resulting one-parameter family of first-order, deterministic, nonlinear difference equations. A complex <b>periodic</b> <b>and</b> <b>random</b> “aperiodic” orbit structure dependent on a key structural parameter is present, which contrasts with the total absence of such complexity in Haavelmo’s continuous time version. Several implications for dynamic economic modelling are discussed. ...|$|R
40|$|The present {{paper is}} devoted to the study of {{resonances}} for one-dimensional quantum systems with a potential that is the restriction to some large box of an ergodic potential. For discrete models both on a half-line and on the whole line, we study the distributions of the resonances in the limit when the size of the box where the potential does not vanish goes to infinity. For <b>periodic</b> <b>and</b> <b>random</b> potentials, we analyze how the spectral theory of the limit operator influences the distribution of the resonances. Comment: Many typos were correcte...|$|R
