1|40|Public
5000|$|Lutjanus goldiei (W. J. Macleay, 1882) (<b>Papuan</b> <b>black</b> <b>snapper)</b> ...|$|E
50|$|The venom {{produced}} by the Collett's snake {{is similar to the}} <b>Papuan</b> <b>black</b> snake's and mulga snake's venom. The venom is cytotoxic and has haemolytic activity. Neurotoxins may also be found in its venom as well. Collett's produce around about 30 milligrams of venom in one strike. Black snake or tiger snake anti-venom can be administered. It is the world's nineteenth most venomous snake.|$|R
50|$|Slater was an {{experienced}} snake collector and snake milker. In his Papua New Guinea years he supplied the Commonwealth Serum Laboratories {{with their first}} samples of Papuan Taipan venom. He also provided all the <b>Papuan</b> <b>black</b> snake venom CSL used to develop and produce an antivenom for the species. This antivenom {{turned out to be}} effective for bites of the king brown snake as well. In 1955 CSL provided Slater, Worrell and Ram Chandra with some of the first doses of Taipan antivenom, in recognition of the dangers involved in their work.|$|R
40|$|It {{is thought}} that the {{incidence}} of snakebite in Australia is falling, with an estimated 1000 – 3000 snakebites each year. 1, 2 There has also been a dramatic fall in the incidence of antivenom use. 3 Reasons for the falling incidence of snakebite in Australia include both decreasing numbers of venomous and other snakes and decreasing human exposure to snakes because of lifestyle and demographic changes. 3 Proposed factors affecting snake populations include increasing urban development, especially in coastal regions, the spread of the introduced cane toad (Bufo marinus) whose poisonous secretions are thought to be in part responsible for the demise of frog-eating snakes, such as the red-bellied black snake in Queensland and the <b>Papuan</b> <b>black</b> snake in Papua New Guinea, an...|$|R
5000|$|The <b>black</b> {{and white}} <b>snapper</b> can reach a maximum length of 75 cm, though most do not exceed 35 cm. [...] Its fins and eyes {{are black and}} its body varies in color from light grey to black {{depending}} on age. Juveniles are typically striped, changing in complete black when adult. The <b>black</b> and white <b>snapper</b> is solitary when juvenile, but forms large schools as adults. They feed on crustaceans and small fishes. [...] It is sometimes confused with its congener, the midnight snapper, M. macularis.|$|R
50|$|The {{mangrove}} snapper can {{be confused}} with the Cubera <b>snapper</b> or <b>black</b> <b>snapper,</b> Lutjanus cyanopterus. Mangrove snapper are typically much smaller than Cubera, but when they are of similar size, the two species can only be distinguished by examining the tooth patch on the inside roof of the mouth. Many specimens caught in Florida, specifically Punta Gorda, are actually misidentified dogtooth or dog snapper, Lutjanus jocu. The best way to distinguish between the two species is dog snapper has a lighter triangle of color with a blue band under the eye and large, sharp fangs in the front (canines), hence its common name. These fangs can deliver a painful bite, even in a small fish. The mangrove snapper feeds mostly on small fishes and crustaceans. It was also observed as systematically waiting under maternal colony of Buffy flower bat for falling bats near the entrances of Lucayan cavern, Bahamas.|$|R
50|$|<b>Black</b> {{and white}} <b>snapper</b> are prized as food fish and are caught commercially, {{as well as}} recreationally. This species {{can also be found}} in the {{aquarium}} trade.|$|R
40|$|Among 335 {{patients}} presenting with snakebites in Central Province, Papua New Guinea, nine were proved by {{enzyme immunoassay}} {{to have been}} bitten by <b>Papuan</b> <b>black</b> snakes (Pseudechis papuanus). Seven showed clinical evidence of envenoming. Early symptoms included vomiting and tender local lymph nodes. Five patients had neurotoxic signs and one required mechanical ventilation. Spontaneous systemic bleeding occurred in two patients. Coagulation studies in four patients showed thrombocytopenia, prolongation of prothrombin time, mild defibrination and depletion of other clotting factors with elevated fibrin(ogen) degradation products and other evidence of fibrinolysis. One patient developed mild renal dysfunction. There {{was no evidence of}} intravascular haemolysis or rhabdomyolysis. These clinical observations, which do not distinguish victims of P. papuanus from those of taipans (Oxyuranus scutellatus canni), suggest that the venom contains neurotoxic, haemorrhagic and mild procoagulant activities. Only two other cases of proven envenoming by this species have been reported. There {{appears to have been a}} decline in the abundance of this species, and hence its medical importance, over the last 25 years...|$|R
2500|$|The {{species has}} {{also failed to}} become as a food fish and {{commercial}} resource for the islands, because of low market prices. [...] Since it competes with more commercially valuable fish, most fishers {{view it as a}} pest. Since 2008, Hawaii has conducted a series of spearfishing contests that targeted bluestripes, along with blue-spotted groupers and <b>black</b> tail <b>snappers</b> with the intent of removing these fish from Hawaiian waters.|$|R
50|$|The <b>black</b> {{and white}} <b>snapper,</b> Macolor niger, is {{a species of}} snapper native to the Indian Ocean and the western Pacific Ocean. It is an {{inhabitant}} of reefs, occurring in large schools along steeply sloping substrates at depths from 2 to 90 m.|$|R
60|$|These traders {{are all of}} the Malay race, or {{a mixture}} of which Malay is the chef ingredient, with the {{exception}} of a few Chinese. The natives of Aru, on the other hand, are, <b>Papuans,</b> with <b>black</b> or sooty brown skims, woolly or frizzly hair, thick-ridged prominent noses, and rather slender limbs. Most of them wear nothing but a waist-cloth, and a few of them may be seen all day long wandering about the half-deserted streets of Dobbo offering their little bit of merchandise for sale.|$|R
40|$|Abstract Fish {{use of a}} {{mangrove}} habitat was {{studied in}} a small mangrove forest on the West coast of Madagascar. A sand bar near the inlet retains water {{in parts of the}} channel (pools) at low tide. Fishes in four of these pools were examined daily at all phases of the tidal cycle for 3 weeks using underwater visual census. During week 1, fishes were diverse and abundant in all pools: the dominant species were cardinalfish (related to Apogon lateralis); monos, Monodactylus argenteus; <b>black</b> spotted <b>snappers,</b> Lutjanus ehrenbergi; double ba...|$|R
50|$|Fishing {{is another}} popular {{activity}} in the Halifax River. Fishing is allowed from boats, {{the banks of the}} river, or from any of the bridges crossing the waterway. Some of the species that can be found include: trout, catfish, flounder, sheepshead, tarpon, snook, <b>black</b> drum, mangrove <b>snapper</b> and red drum.|$|R
2500|$|Blue-water {{fishing is}} also {{available}} {{off the coast of}} Darwin; Spanish mackerel, <b>Black</b> Jewfish, queenfish, <b>snapper</b> and other varieties are all found in the area and accessible in a day trip from Darwin. Lake Alexander is a man-made swimming lake which is located at East Point Reserve. It is generally considered crocodile and jellyfish safe, however a freak outbreak of non-deadly jellyfish in 2003 caused its closure for a brief period of time.|$|R
50|$|The {{aquarium}} {{is home to}} two fully-grown nurse sharks, Thelma and Louise. A private collector illegally {{took the}} sharks out of the wild as young pups. When the animals outgrew their tank, the collector could no longer care for them and donated the animals to CMA. At the aquarium, they share an exhibit with hogfish, red drum, gag grouper, mangrove <b>snapper,</b> <b>black</b> sea bass, common snook, pinfish, red grouper, lookdown, and white grunt.|$|R
50|$|Moss Landing Harbor District berths over 600 boats: {{including}} 350 fishing boats, 200 pleasure craft, 30 research vessels, and a {{half dozen}} tour and charter boats. The harbor's commercial boats land dungeness crab, halibut, king salmon, albacore, rockfish, sablefish, anchovies, sardines, squid, <b>black</b> cod, red <b>snapper,</b> covina, prawns, mackrel, and others. Several maritime businesses support harbor users including a fuel dock. The harbor district also provides two public boat launches and a community park.|$|R
5000|$|Blue-water {{fishing is}} also {{available}} {{off the coast of}} Darwin; Spanish mackerel, <b>Black</b> Jewfish, queenfish, <b>snapper</b> and other varieties are all found in the area and accessible in a day trip from Darwin. Lake Alexander is a man-made swimming lake which is located at East Point Reserve. It is generally considered crocodile and jellyfish safe, however a freak outbreak of non-deadly jellyfish in 2003 caused its closure for a brief period of time.|$|R
40|$|The DNA “barcode”, {{the partial}} {{sequence}} of the mitochondrial gene cytochrome C oxidase subunit I (COI), was assessed for species identification within the genus Macolor. The Midnight Snapper, Macolor macularis Fowler 1931, is compared with its only congener, the <b>Black</b> and White <b>Snapper,</b> Macolor niger (Forsskål 1775), both collected from the south-west coast of India. The examination of fresh specimens of the two species showed diagnostic anatomical and coloration differences and the DNA barcoding showed a genetic divergence of 3. 51 % between the species. We provide a description and illustrations of DNA-barcoded specimens, assess the reliability of some key marking characters for the two species, and document the DNA barcodes for Indian specimen...|$|R
60|$|Dec. 22d.-The swell {{had gone}} down. We passed Boutong, a large island, high, woody, and populous, the native place {{of some of}} our crew. A small prau {{returning}} from Bali to the island of Goram overtook us. The nakoda (captain) was known to our owner. They had been two years away, but were full of people, with several <b>black</b> <b>Papuans</b> on board. At 6 P.M. we passed Wangiwangi, low but not flat, inhabited and subject to Boutong. We had now fairly entered the Molucca Sea. After dark it was a beautiful sight to look down on our rudders, from which rushed eddying streams of phosphoric light gemmed with whirling sparks of fire. It resembled (more nearly than anything else to which I can compare it) one of the large irregular nebulous star-clusters seen through a good telescope, with the additional attraction of ever-changing form and dancing motion.|$|R
60|$|Dag Daughtry, who {{had kept}} always footloose and never married, {{surveyed}} the boat-load of his responsibilities {{to which he}} was anchored--Kwaque, the <b>Black</b> <b>Papuan</b> monstrosity whom he had saved from the bellies of his fellows; Ah Moy, the little old sea-cook whose age was problematical only by decades; the Ancient Mariner, the dignified, the beloved, and the respected; gangly Big John, the youthful Scandinavian with the inches of a giant and the mind of a child; Killeny Boy, the wonder of dogs; Scraps, the outrageously silly and fat-rolling puppy; Cocky, the white-feathered mite of life, imperious as a steel-blade and wheedlingly seductive as a charming child; and even the forecastle cat, the lithe and tawny slayer of rats, sheltering between the legs of Ah Moy. And the Marquesas were two hundred miles distant full-hauled on the tradewind which had ceased but which was as sure to live again as the morning sun in the sky.|$|R
60|$|So sailed the Ship of Fools--Michael {{playing with}} Scraps, {{respecting}} Cocky and by Cocky being bullied and wheedled, singing with Steward and worshipping him; Daughtry drinking his six quarts of beer each day, collecting his wages {{the first of}} each month, and admiring Charles Stough Greenleaf as the finest man on board; Kwaque serving and loving his master and thickening and darkening and creasing his brow with the growing leprous infiltration; Ah Moy avoiding the <b>Black</b> <b>Papuan</b> as the very plague, washing himself continuously and boiling his blankets once a week; Captain Doane doing the navigating and worrying about his flat-building in San Francisco; Grimshaw resting his ham-hands on his colossal knees and girding at the pawnbroker to contribute {{as much to the}} adventure as he was contributing from his wheat-ranches; Simon Nishikanta wiping his sweaty neck with the greasy silk handkerchief and painting endless water-colours; the mate patiently stealing the ship's latitude and longitude with his duplicate key; and the Ancient Mariner, solacing himself with Scotch highballs, smoking fragrant three-for-a-dollar Havanas that were charged to the adventure, and for ever maundering about the hell of the longboat, the cross-bearings unnamable, and the treasure a fathom under the sand.|$|R
6000|$|And so did {{pass the}} brave bit of {{feathered}} {{life with the}} heart of pluck, called of men, and of himself, [...] "Cocky," [...] who had been birthed in the jungle roof of the island of Santo, in the New Hebrides, who had been netted by a two-legged black man-eater and sold for six sticks of tobacco and a shingle hatchet to a Scotch trader dying of malaria, and in turn had been traded from hand to hand, for four shillings to a blackbirder, for a turtle-shell comb made by an English coal-passer after an old Spanish design, for the appraised value of six shillings and sixpence in a poker game in the firemen's forecastle, for a second-hand accordion worth at least twenty shillings, and on for eighteen shillings cash to a little old withered Chinaman--so did pass Cocky, as mortal or as immortal as any brave sparkle {{of life on the}} planet, from the possession of one, Ah Moy, a sea-cock who, forty years before, had slain his young wife in Macao for cause and fled away to sea, to Kwaque, a leprous <b>Black</b> <b>Papuan</b> who was slave to one, Dag Daughtry, himself a servant of other men to whom he humbly admitted [...] "Yes, sir," [...] and [...] "No, sir," [...] and [...] "Thank you, sir." ...|$|R
40|$|This {{study was}} {{conducted}} to quantitatively determine the fatty acid contents of 20 species of marine fish and four species of shellfish from Straits of Malacca. Most samples contained fairly high amounts of polyunsaturated fatty acids (PUFAs), especially alpha-linolenic acid (ALA, C 18 : 3 n 3), eicosapentaenoic acid (EPA, C 20 : 5 n 3), and docosahexaenoic acid (DHA, C 22 : 6 n 3). Longtail shad, yellowstripe scad, and moonfish contained significantly higher (P< 0. 05) amounts of eicosapentaenoic acid (EPA), docosahexaenoic acid (DHA), and alpha-linolenic acid (ALA), respectively. Meanwhile, fringescale sardinella, malabar red <b>snapper,</b> <b>black</b> pomfret, Japanese threadfin bream, giant seaperch, and sixbar grouper showed considerably high content (537. 2 – 944. 1 [*]mg/ 100 g wet sample) of desirable omega- 3 fatty acids. The polyunsaturated-fatty-acids/saturated-fatty-acids (P/S) ratios for most samples were higher than that of Menhaden oil (P/S= 0. 58), a recommended PUFA supplement which may help to lower blood pressure. Yellowstripe scad (highest DHA, ω- 3 /ω- 6 = 6. 4, P/S= 1. 7), moonfish (highest ALA, ω- 3 /ω- 6 = 1. 9, P/S= 1. 0), and longtail shad (highest EPA, ω- 3 /ω- 6 = 0. 8, P/S= 0. 4) were the samples with an outstandingly desirable overall composition of fatty acids. Overall, the marine fish and shellfish from the area contained good composition of fatty acids which offer health benefits and may be used for nutraceutical purposes in the future...|$|R
6000|$|On the whole, we {{will repeat}} that this Religion of Mahomet's {{is a kind}} of Christianity; has a genuine element of what is spiritually highest looking through it, not to be hidden by all its imperfections. The Scandinavian God Wish, the god of all rude men,--this has been {{enlarged}} into a Heaven by Mahomet; but a Heaven symbolical of sacred Duty, and to be earned by faith and well-doing, by valiant action, and a divine patience which is still more valiant. It is Scandinavian Paganism, and a truly celestial element superadded to that. Call it not false; look not at the falsehood of it, look at the truth of it. For these twelve centuries, it has been the religion and life-guidance of the fifth part of the whole kindred of Mankind. Above all things, it has been a religion heartily believed. These Arabs believe their religion, and try to live by it! No Christians, since the early ages, or only perhaps the English Puritans in modern times, have ever stood by their Faith as the Moslem do by theirs,--believing it wholly, fronting Time with it, and Eternity with it. This night the watchman on the streets of Cairo when he cries, [...] "Who goes?" [...] will hear from the passenger, along with his answer, [...] "There is no God but God." [...] Allah akbar, Islam, sounds through the souls, and whole daily existence, of these dusky millions. Zealous missionaries preach it abroad among Malays, <b>black</b> <b>Papuans,</b> brutal Idolaters;--displacing what is worse, nothing that is better or good.|$|R
40|$|Utilization {{of fishing}} area in Banten Bay by various {{activities}} may cause multi sectors conflicts related to {{management of the}} bay. The integrated zone system in that area has not been established yet; therefore it is needed to be studied. The objectives {{of this study were}} to 1) determine fishing season and fishing ground; 2) determine indicators and criteria of fishing zone; 3) establish fishing zone. The study was conducted in four fish landing centers which are located in Karangantu, Terate, Wadas, and Kepuh from January to April 2010. Data were collected by surveying analyzed using the fishing season index analysis, relationship analysis between sea surface temperature, chlorophyll-a and fish abundance, and GIS analysis. Based on the results, it were revealed that 1) peak fishing season of pelagic fish was from November to January and demersal fish was from November to December; 2) the catches from fishing grounds surrounding Panjang island were anchovies, trevallies, squids, Indian mackerels, pony fishes, Fringescale sardinella; surrounding Pamujan besar island were threadfin bream, shrimps; and surrounding Tunda island were eastern little tuna, narrow barred king mackerels, <b>black</b> pomfret, red <b>snapper,</b> great trevally, scads, mullets, squids; 3) development indicators of fishing zone were (i) feasibility of fishing ground, (ii) compatibility of fishing gears with fishing grounds, (iii) possibility of conflicts, (iv) infrastructure, (v) carrying capacity of environment; 4) Banten bay water was divided into three fishing zones, they were (i) passive zone, (ii) passive and outboard motor zone, (iii) active and inboard motor zone...|$|R
