1|10000|Public
40|$|An Act to <b>provide</b> <b>for</b> <b>Advances</b> to Settlers on Crown Lands, and {{for other}} purposes. N. p., 1052 / 1911 s. 6; 1105 / 1912 S. 2, am., 1052 / 1911, s. 4 S. 13 (1) (c), ad., 994 / 1909, s. 3 S. 13 (4), r. s., 994 / 1909, s. 4 S. 13, r. s., 1052 / 1911, s. 5 am., 1105 / 1912, s. 8. S. 18 (1) and 18 (4), am., 1105 / 1912, s. 4 (1) S. 19, r. s., 1052 / 1911, s. 7 S. 20, r. s., 1052 / 1911, s. 8 S. 23 (2) (b), am., 1105 / 1912, s. 4 (2) S. 25, am., 1105 / 1912, s. 4 (3) W. rep., 1166 / 1914, s. ...|$|E
30|$|Application program {{interfaces}} (API): The APIs {{are used}} to <b>provide</b> interface functions <b>for</b> <b>advanced</b> applications and secondary development.|$|R
5000|$|Apart {{from the}} several hundred state universities, {{there is a}} network of {{research}} institutions that <b>provide</b> opportunities <b>for</b> <b>advanced</b> learning and research leading up to a PhD in branches of science, technology and agriculture. Several have won international recognition.|$|R
50|$|Take the Interview ("TTI") is a {{cloud and}} mobile {{technology}} platform designed {{to solve the}} challenges of the interviewing process. The software platform standardizes the hiring process and <b>provides</b> analytics <b>for</b> <b>advanced</b> decision making so that organizations can hire qualified candidates.|$|R
50|$|The {{base was}} {{reactivated}} on January 13, 1948, and its name changed to Enid Air Force Base, {{as one of}} the pilot training bases within the Air Training Command (ATC). Its mission was to <b>provide</b> training <b>for</b> <b>advanced</b> students in multi-engine aircraft.|$|R
50|$|EMT-I/85 is a {{level of}} EMT-I {{training}} formulated by the National Registry of Emergency Medical Technicians in 1985. This training level includes more invasive procedures than are covered at the EMT-Basic level, including IV therapy, the use of advanced airway devices, and <b>provides</b> <b>for</b> <b>advanced</b> assessment skills. The EMT-I/85 typically administered the same medications as an EMT-B (oxygen, oral glucose, activated charcoal, epinephrine auto-injectors (Epi-Pens), nitroglycerin, and metered-dose inhalers such as albuterol). However, in some states they were also allowed to administer Narcan, D50, glucagon. Like all other EMT levels, their scope of practice was governed by the State and/or their Medical Director.|$|R
40|$|Encyclopedia of Software Components (ESC) is information-retrieval {{system of}} {{computer}} {{hardware and software}} providing access to generic reusable software tools and parts. Core of ESC is central tool base, which is repository of reusable software. It receives queries and submissions from user through local browser subsystem and receives authorized updates from maintenance subsystem. Sends retrievals to local browser subsystem and user's submissions to maintenance subsystem. Future versions will <b>provide</b> <b>for</b> <b>advanced</b> media, including voice and video, and will link system to database-management system. Programmers will not only retrieve software, but also modify, execute, and cross-link with other software...|$|R
40|$|Decisions to {{withhold}} or withdraw medical hydration and nutrition are amongst {{the most difficult}} that confront patients and their families, medical and other health professionals all over the world. This article discusses two cases relating to lawful withdrawal and withholding of a percutaneous endoscopic gastrostomy tube (PEG) from incompetent patients with no hope of recovery. Victoria and Florida have statutory frameworks that <b>provide</b> <b>for</b> <b>advance</b> directives, however in both Gardner; Re BWV and Schindler v Schiavo; Re Scliiavo the respective patients did not leave documented instructions. The article analyses the two cases and their outcomes from legal, medical and ethical perspectives...|$|R
40|$|Aerospace {{technology}} that is being developed for space and aeronautical applications has great potential <b>for</b> <b>providing</b> technical <b>advances</b> <b>for</b> terrestrial power systems. Some recent accomplishments arising from activities being pursued at the National Aeronautics and Space Administration (NASA) Centers is described in this paper. Possible terrestrial applications of the new aerospace technology are also discussed...|$|R
50|$|Technology {{integration}} alongside standard {{education curriculum}} can <b>provide</b> tools <b>for</b> <b>advanced</b> learning among {{a broad range}} of topics. Integration of information and communication technology is often closely monitored and evaluated due to the current climate of accountability, outcome based education, and standardization in assessment.|$|R
5000|$|<b>Provide</b> {{employment}} <b>for</b> and <b>advance</b> {{the artistic}} practice of over 200 artists from Montreal {{and across the}} country, year-round ...|$|R
50|$|On 4 April 1963 the USAF and the Federal Republic of Germany signed {{contracts}} for a unique pilot training program. One agreement called for undergraduate pilot training for West German Air Force (GAF) and West German Navy (GN) students in Cessna T-37 Tweet and Northrop T-38 Talon jet aircraft at Williams AFB,Arizona. The second agreement <b>provided</b> <b>for</b> <b>advanced</b> fighter {{training in the}} Lockheed Lockheed F-104G Starfighter at Luke AFB. The two programs were interrelated. Graduates of the basic flight training at Williams were programmed <b>for</b> the <b>advanced</b> training at Luke, resulting in an almost two-year {{tour of duty in}} the United States for the young German pilots. The advanced training at Luke was the unique aspect of the program.|$|R
5000|$|In the {{northern}} part no military actions were taken up.In the southern part, actions were taken aimed to <b>provide</b> assistance <b>for</b> <b>advancing</b> soldiers of the 27th Wołyń Division of Armia Krajowa. In September, medical aid was <b>provided</b> <b>for</b> insurgents of the [...] "Kryska group", who succeeded in swimming across Wisła from the Czerniaków bridge-head to the Praga bank of Wisła river.|$|R
40|$|Asia {{boasts a}} wide variety of scripts, most of which are complex from the {{perspective}} of a computer scientist or engineer. This is true in the case of Indic scripts which are classified in the realm of complex scripts. All of the Indic scripts require a special process to transform from the a Unicode text to the actual glyph metrics for TEX to process. In this paper I will talk about the processing of Unicode text to produce high quality typeset material for Indic scripts using OpenType fonts. I will cover the OpenType standards for Indic scripts and other facilities OpenType <b>provides</b> <b>for</b> <b>advanced</b> typesetting...|$|R
50|$|The African University College of Communications is {{a private}} {{tertiary}} institution at Adabraka, Accra, Ghana, for the study and teaching of journalism, communication studies, information technology convergence, business, African Studies, <b>providing</b> opportunities <b>for</b> <b>advanced</b> learning, and practical and professional training for the rapid growth and development of Africa.|$|R
50|$|CommuniGate Pro {{provides}} {{web interface}} (with context-insensitive online help facilities) for configuration of its services. Since version 5 custom procedural CG/PL scripting language is <b>provided</b> <b>for</b> performing <b>advanced</b> configuration tasks, including modification of or integration with software's modules. Perl, Java and command line interface-based application programming interfaces are also available.|$|R
5000|$|Minnesota {{holds an}} annual Encampment at Camp Ripley. Encampment is a 7- to 10-day cadet {{training}} activity that typically consists of between 80-100 students and 40 cadet staff. Encampment {{is held in}} mid- to late-Summer and is targeted for new (typically, first-year) cadets in the program, as well as <b>providing</b> opportunities <b>for</b> <b>advanced</b> cadets seeking management training.|$|R
40|$|This paper {{evaluates the}} cases {{for and against}} plant closing legislation. In spite {{of the growth of}} {{legislative}} efforts in the area, there has been surprisingly little effort devoted to analyzing what the effects are of existing plant closing legislation, of provisions in privately negotiated collective bargaining agreements that <b>provide</b> <b>for</b> <b>advance</b> notice in case of plant shutdowns and/or layoffs, and of voluntary employer provision of advance notice. The paper summarizes the results of previous research, and our own empirical analyses that used the January 1984 Bureau of Labor Statistics Survey of Displaced Workers, on the effects of advance notice on displaced workers 2 ̆ 7 durations of nonemployment and post-displacement earnings. Based upon these findings, implications for public policy are drawn...|$|R
40|$|The Electronic Communications and Transactions Act 25 of 2002 (the ECT Act) {{came into}} {{operation}} on 30 August 2002. Chapter 3 of the Act recognizes electronic documents, which the ECT Act calls data messages, as {{the equivalent of}} hard-copy documents. This applies for ordinary use (s 11) and {{in cases where the}} law requires writing (s 12). The ECT Act also makes such records admissible as evidence (s 15). Section 13 <b>provides</b> <b>for</b> <b>advanced</b> electronic signatures as the equivalent of a written signature where the law requires this. (At present {{it is not possible to}} use an advanced electronic signature because the Director-General has yet to accredit products and services to support advanced electronic signatures as required by s 37. ...|$|R
50|$|The National Museum Institute of the History of Art, Conservation and Museology was {{established}} on 27 January 1989, under the Societies Registration Act by the Ministry of Culture, Government of India <b>for</b> <b>providing</b> facilities <b>for</b> <b>advanced</b> studies {{and research in}} the field of art and cultural heritage. The Institute was given the status of a deemed university by the Ministry of Human Resource Development on 28 April 1989.|$|R
50|$|Headquartered in Leesburg, Virginia, {{the society}} publishes a monthly peer-reviewed journal: American Journal of Roentgenology (previously American Journal of Radiology), <b>providing</b> a forum <b>for</b> <b>advances</b> in {{radiology}} and related fields. It provides scholarships, and presents awards.|$|R
40|$|The Air Force has {{numerous}} on-going {{manufacturing and}} integration development programs (machine tools, composites, metals, assembly, and electronics) which are instrumental in improving productivity in the aerospace industry, but more importantly, have identified strategies and technologies {{required for the}} integration of advanced processing equipment. An introduction to four current Air Force Manufacturing Technology Directorate (ManTech) manufacturing areas is provided. Research is being {{carried out in the}} following areas: (1) machining initiatives for aerospace subcontractors which <b>provide</b> <b>for</b> <b>advanced</b> technology and innovative manufacturing strategies to increase the capabilities of small shops; (2) innovative approaches to advance machine tool products and manufacturing processes; (3) innovative approaches to <b>advance</b> sensors <b>for</b> process control in machine tools; and (4) efforts currently underway to develop, with the support of industry, the Next Generation Workstation/Machine Controller (Low-End Controller Task) ...|$|R
50|$|The Jindal Journal of Business Research is a {{peer-reviewed journal}} {{that aims to}} address the {{fundamental}} problems of business management in a multidisciplinary framework. It <b>provides</b> a platform <b>for</b> <b>advancing</b> the understanding of management in a global context.|$|R
2500|$|The 2010 Patient Protection and Affordable Care Act {{includes}} more strategies for funding and retention. The act <b>provides</b> funding <b>for</b> <b>advanced</b> education nursing grants, diversity grants, {{and offers a}} nurse education loan repayment program. The program repays {{over half of the}} student loans if the nursing student signs a contract stating that they will work for two years at a medical facility that has a nursing shortage.|$|R
5000|$|The Formation's motto, [...] "Advance and Overcome" [...] {{is derived}} from the Combat Engineers' {{fundamental}} role in <b>providing</b> mobility <b>for</b> <b>advancing</b> troops by overcoming all obstacles. The Combat Engineers believe they are advancing in terms of technology and techniques, overcoming adversities along the way - all part of their efforts to better fulfill missions of providing mobility, counter-mobility and ensuring survivability for the Army.|$|R
40|$|The goal of {{the present}} study was to develop a {{computer}} based three-dimensional (3 D) anatomical and geometrical model of neurosurgical approaches. Such model can be employed for teaching surgical anatomy, developing surgical guidelines and <b>provide</b> <b>for</b> an <b>advanced</b> preoperative rehearsal system where surgeons try surgical procedure on a Computed Tomography (CT-scan) and Magnetic Resonance Imaging (MRI) -based imaging system...|$|R
