1|203|Public
50|$|Bogner’s {{most current}} novel is 99 Sycamore <b>Place</b> (<b>Brick</b> Tower, New York, 2009).|$|E
5000|$|In {{the seventeenth}} century, Sir Simon de Canterville (Charles Laughton) is {{forced by the}} Code of Chivalry {{to engage in a}} duel on behalf of his brother, but flees to the family castle when his {{opponent}} is substituted for by a giant (played by an uncredited Tor Johnson). His proud father, Lord Canterville (Reginald Owen), refuses to acknowledge that his son has disgraced the family name, even when shown in front of witnesses where Simon is cowering. The father has the only entrance to his son's hiding <b>place</b> <b>bricked</b> over as proof that Simon is not there, ignoring Simon's pleas for mercy. Lord Canterville then curses his doomed cowardly son to find no rest until [...] "a kinsman shall perform an act of bravery" [...] in his name.|$|R
5000|$|A Christian {{cemetery}} used {{to exist}} on the hill, serving as the burial ground for early Europeans in Singapore. Later the cemetery was moved further down the hill. A Gothic gateways built by Captain Charles Edward Faber in 1846, two classical monuments, and some headstones <b>placed</b> along <b>brick</b> walls remain at the site.|$|R
50|$|Construction work on {{it began}} in 1951, with {{completion}} and formal opening on 4 October 1957. It was of 240 MW generating capacity, comprising four 60 MW British Thomson-Houston turbo alternators. These were initially rated at 65 MW, but later at 60 MW. Steam was provided by four Babcock & Wilcox boilers. These fed steam at 515,000 lbs per hour, with a steam temperature of 1,065 °F (566 °C) and 1,500 psi operating pressure. The station {{was built on the}} 'unit' or 'set' principle where one boiler fed one turbo alternator. It had one centrally <b>placed,</b> <b>brick</b> built chimney, which stood at 408 ft tall. System water was cooled by three 250 ft tall cooling towers. The station was of brick cladding construction over a steel frame, which supported the four boilers from the roof. Its design efficiency was 31.41%.|$|R
5000|$|... #Caption: A {{block of}} <b>bricks</b> <b>placed</b> {{in the main}} {{drainage}} canal with four holes, from which the net to filter out solid waste was installed ...|$|R
50|$|In 2006 she instigated and co-curated {{the first}} show of artists from the Saatchi Yourgallery website, Lost and Found: this took <b>place</b> at the <b>Brick</b> Lane Gallery inEast London.|$|R
25|$|The {{building}} itself is constructed of brick laid in Flemish bond, {{except for the}} portion {{on the front of}} the main block, laid in common bond. In some <b>places</b> the <b>bricks</b> are three and a half rows deep. The church is six bays wide and two stories high. The east (front) facade is topped on either side by identical three-stage towers.|$|R
25|$|The first {{memorial}} to the Maine dead was constructed {{in the first six}} months of 1900. Near the field of the Maine dead a concrete base was poured. Two Spanish mortars — taken by Admiral George Dewey from Cavite Arsenal in Manila, The Philippines, at the end of the Spanish–American War—were <b>placed</b> on <b>brick</b> piers on either side of this base.|$|R
40|$|In this activity, {{students}} observe {{what happens}} to filled land when an earthquake shakes it up. They will fill a pan with sand, add water and <b>place</b> a <b>brick</b> in it to simulate a building, then tap the pan with a mallet and see what happens. A materials list, instructions, and background information are included. Educational levels: Middle school, High school...|$|R
50|$|The {{building}} itself is constructed of brick laid in Flemish bond, {{except for the}} portion {{on the front of}} the main block, laid in common bond. In some <b>places</b> the <b>bricks</b> are three and a half rows deep. The church is six bays wide and two stories high. The east (front) facade is topped on either side by identical three-stage towers.|$|R
50|$|The first {{memorial}} to the Maine dead was constructed {{in the first six}} months of 1900. Near the field of the Maine dead a concrete base was poured. Two Spanish mortars — taken by Admiral George Dewey from Cavite Arsenal in Manila, The Philippines, at the end of the Spanish-American War—were <b>placed</b> on <b>brick</b> piers on either side of this base.|$|R
25|$|Thirteen steel columns, {{arranged}} in a circle {{in the center of}} the building, support the dome overhead. The columns are irregularly spaced to accommodate building's site and avoid blocking entrances. Horizontal steel beams run outward from these columns to the outer walls, supporting the upper floors. Each of the columns was coated in a thick layer of plaster, with vertical conduits and air ducts embedded and hidden in the plaster. On the first floor, the plaster-coasted columns were clad in marble, but merely painted on the second and third floors. Each of the upper floors was constructed with a concrete base, on top of which were <b>placed</b> <b>brick</b> and red tile arched supports. A wood floor was constructed atop the arched supports, and in parts of the second floor marble tile was laid atop the wood flooring. Intricate embossed bronze brackets supported the second-floor balcony. The first floor ceiling, formed by the second floor balcony, was decorated with highly detailed bronze coffers.|$|R
5000|$|On 1 July a {{peaceful}} gathering started in Sukhbaatar Square {{organized by the}} leaders {{of some of the}} smaller parties that took part in the election. Eventually a large crowd gathered, mainly of young men, surrounding the adjacent MPRP office. The group started throwing rocks at the building and began advancing on it. Police responded with tear gas and non-lethal weapons. In the evening fires were started and looting began. [...] Both the MPRP headquarters and the Central Cultural Palace Building (which houses the National Art Gallery of Mongolia) were set fire by the crowd, estimated to be in the thousands. Art from the gallery (more than 1,000 pieces) were either [...] "destroyed, damaged or looted". [...] In search for weapons a police station was attacked. Looting continued through the night, despite a 10:00 pm - 8:00 am curfew being set in <b>place.</b> <b>Bricks</b> were thrown at a fire engine, and violence in the streets erupted.|$|R
5000|$|Throughout the game, {{the player}} can unlock various brick sets and {{character}} pieces by completing certain tasks, such as coming {{first in a}} Circuit Race. The game's [...] "Build Menu" [...] allows the player to build custom cars, minifigures and driving licenses of their own design using unlocked bricks and character parts. Minifigures can be customized with different hat, hair, head, body and leg parts, and given a name entered by the player on the minifigure's driving license. A picture of the player's minifigure is also placed on their driving license, and their facial expression can be changed by the player. The player can create a custom car {{using a combination of}} different chassis and car sets. The player can rotate, move and <b>place</b> <b>bricks</b> from these sets directly on to the chassis. Placement of the bricks changes the car's balance and weight, which affects its overall performance. The [...] "Mix" [...] and [...] "Quick Build" [...] option creates minifigures and cars from randomly selected parts, respectively.|$|R
50|$|The John McMahon House is a Federal style mansion {{located in}} Courtland, Alabama. It is {{listed on the}} National Register of Historic <b>Places.</b> The two-story <b>brick</b> I-house was built in 1828.|$|R
