1|1842|Public
5000|$|Virgil Bogue (1846-1916), <b>municipal</b> <b>planning</b> <b>director</b> of Seattle ...|$|E
5000|$|The area {{occupied}} by the Sete Fontes is located in an area designated for urban expansion within the <b>municipal</b> <b>plan.</b> Many of the parcels were purchased by real estate companies and/or developers, without submitting plans for the system's preservation and rehabilitation. Although, the municipal authorities had indicated their desire to preserve the Sete Fontes as a National monument and transform the area into a municipal park, the area continued to be identified for construction and road redevelopment, in the <b>municipal</b> <b>plan.</b> In the 1999-2000 <b>municipal</b> <b>plan,</b> three of the upper minas fell within an area classified as [...] "public utility" [...] and were zoned {{for the construction of}} a hospital in 2002. Yet, theses lands were also classified for use by the Portuguese armed forces.|$|R
50|$|Urban Climatology impacts {{decision-making}} for <b>municipal</b> <b>planning</b> {{and policy}} {{in regards to}} pollution, extreme heat events, and stormwater modeling.|$|R
50|$|The town annexed {{approximately}} 165 acre in 1991, significantly {{changing the}} town's boundary since the general <b>municipal</b> <b>plan</b> of 1980.|$|R
40|$|This thesis {{deals with}} the topic of town and country {{planning}} as an instrument of spatial development. During its formation proces and its validity, the <b>municipal</b> <b>plan</b> is being substantially influenced by requirements of the specific area users for its utilization, either ditectly or through elected representatives, with concurrent influence of external socieoeconomic, political, physical geographical factors. The <b>municipal</b> <b>plan</b> represents a long term conception of spatial development and its segments, yet in the course of its validity, it is being completed and put into practice in the context of effect of those factors. The most significant socioeconomic change to affect the progress of {{town and country planning}} in the Czech Republic in last twenty years was the transformation of a socialist central planning-conception into a democratic conceptiton. The thesis deals with analysis of two documents - the current <b>Municipal</b> <b>plan</b> of Jablonec nad Nisou, issued 1998, including valid alterations, and new formation of <b>municipal</b> <b>plan</b> Jablonec nad Nisou in the stage of authorized concept. The aim of the thesis is mainly an attempt to identify the dominant internal and external reasons which lead the change of the development priorities, or rather implementation/non-implementation of the original documents. Key [...] ...|$|R
50|$|McFarland {{was also}} {{involved}} {{with a number of}} municipal and agricultural committees, including the <b>Municipal</b> <b>Planning</b> Commission and the Carmangay Seed Cleaning Plant Association.|$|R
50|$|On 23 April 2008, the Shenzhen <b>Municipal</b> <b>Planning</b> Bureau renamed Shenzhen Metro Line 1 to 'Luobao Line'. The {{renaming}} {{was later}} reverted in 2013.|$|R
50|$|The Planning & Environment Act 1987 {{includes}} {{provisions for}} protecting heritage through Local Planning Policies, and listing {{places on the}} <b>Municipal</b> <b>Planning</b> Scheme Heritage Overlay.|$|R
50|$|Like most Afghan cities, {{there is}} little <b>municipal</b> <b>planning</b> or services. Electricity is {{provided}} by diesel generators, and wells are {{the primary source of}} drinking water.|$|R
5000|$|The Government of Ontario first {{asserted}} {{its role}} in <b>municipal</b> land use <b>planning</b> through enactment of the City and Suburban Plan Act in 1912. [...] In the Post-World War II period, considerable urban and suburban growth pressures demanded increased provincial intervention in <b>municipal</b> <b>planning</b> through official plan and zoning by-law requirements, and specialized administrative bodies. The Ontario Municipal Board, an independent administrative board, acts as an adjudicative tribunal on all applications and appeals regarding <b>municipal</b> and <b>planning</b> disputes in the province. A legislative structure consisting of provincial statutes and policies, <b>municipal</b> official <b>plans,</b> and land use control instruments (e.g., subdivision control, zoning by-laws) exists in the province today.|$|R
40|$|Web-based Public Participation Geographic Information Systems (PPGIS) are {{increasingly}} used for surveying place values and informing <b>municipal</b> <b>planning</b> in contexts of urban densification. However, research is lagging behind the rapid deployment of PPGIS applications. Some {{of the main}} opportunities and challenges for the uptake and implementation of web-based PPGIS are derived from a literature review and two case studies dealing with <b>municipal</b> <b>planning</b> for urban densification in the Stockholm region, Sweden. A simple clustering analysis identified three interconnected themes that together determine the performance of PPGIS: (i) tool design and affordances; (ii) organisational capacity; and (iii) governance. The results of the case studies augment existing literature regarding the connections between the different socio-technical dimensions for the design, implementation and evaluation of PPGIS applications in <b>municipal</b> <b>planning.</b> A cyborg approach to PPGIS is then proposed to improve the theoretical basis for addressing these dimensions together...|$|R
40|$|The Saudi {{government}} has made some efforts in incorporating the principles of sustainable development into the planning process by establishing a framework for considering environmental consequences of development activities. The framework is guided by the General Environmental Code. The Ministerial Committee on the Environment (MCE) coordinates the environmental assessment of plans, policies and programmes prior to approval. However, the framework tends to focus on plans and programmes {{at the national level}} with little or no explicit provision for ensuring the assessment of <b>municipal</b> <b>plans,</b> policies and programmes. This paper evaluates the integration of environmental assessment into the <b>municipal</b> <b>planning</b> process and the plan documents. The findings indicate that the implementation of environmental assessment at the <b>municipal</b> <b>planning</b> level is minimal. Inadequate institutional framework and lack of effective environment assessment legislation are the main barriers to the implementation. Overall, the assessment shows that there is the need to improve sustainability planning practice in the Kingdom. Strategic environmental assessment, master plan, sustainable planning, sustainability indicators, Saudi Arabia...|$|R
50|$|The Commission {{appoints}} the Executive Director, General Counsel, and Secretary-Treasurer. In Prince George's County, the Parks and Recreation <b>Director</b> and <b>Planning</b> <b>Director</b> {{are appointed}} by the County Planning Board. In Montgomery County, the Planning Board appoints a Director of Parks and a <b>Planning</b> <b>Director.</b>|$|R
40|$|This thesis {{studies the}} debate {{regarding}} {{the national interest}} for cultural heritage management which is an instrument of urban planning in Sweden. The thesis also makes a comparison between three areas that have been assigned as national interests for cultural heritage conservation. The areas are Mölndals Kvarnby in Mölndal, Jonsered in Partille and Rydboholm in Borås. In the comparison, the general <b>municipal</b> <b>plan,</b> <b>municipal</b> detailed <b>plans</b> and programs for heritage planning are studied. The results show that {{there are differences in}} how the areas are treated in <b>municipal</b> <b>planning.</b> Mölndals Kvarnby who has evolved most since industry closures in the area has the most protected regulations in detailed plans. Jonsered has partial protection in detailed plans and local area plans. Rydboholm is the area that has undergone the least change and has the least protection. The study also shows the correlation between how areas are reported in the general <b>municipal</b> <b>plan</b> and the actual work in the areas. Clear reporting and viewpoint in the general <b>municipal</b> <b>plan</b> provides the conditions for continued work on areas of planning. The debate surrounding the instrument and the case study suggests that more antiquarian expertise on a local level or more knowledge at a government level to case work of national interest for cultural heritage conservation. More antiquarian competence at the municipal level would increase the prerequisites for discussion on development in areas of national interest for cultural heritage conservation. Uppsats för avläggande av filosofie kandidatexamen i Kulturvård, Bebyggelseantikvariskt program 15 hp Institutionen för kulturvård Göteborgs universitet 2013 :...|$|R
50|$|Built in 1961, Borgenhus, at No. 20, is {{the only}} {{building}} in Inner Vesterbro under City <b>Plan</b> West, a <b>municipal</b> <b>plan</b> from 1958 for condemnations and urban renewal in the area.|$|R
50|$|Water {{resource}} management - Conservation authorities {{carry out research}} and activities to manage Ontario's water resources on a watershed basis, maintain secure supplies of clean water, and contribute to <b>municipal</b> <b>planning</b> processes.|$|R
5000|$|... #Subtitle level 3: <b>Planning</b> <b>Director</b> Scott Chesney Controversy ...|$|R
5000|$|Ha Dong-seon (하동선), <b>Planning</b> <b>Director</b> of International Cooperation Committee ...|$|R
50|$|The Census Bureau's Participant Statistical Areas Program (PSAP) allows {{designated}} {{participants to}} review and suggest modifications to the boundaries for CDPs. The PSAP was to be offered to county and <b>municipal</b> <b>planning</b> agencies during 2008.|$|R
40|$|The {{issue of}} land take is {{characterized}} by analytical complexity and legislative effectiveness. So, in dealing with this question, several aspects have to be evaluated. This project aims at a quantitative assessment of the <b>municipal</b> urban <b>planning</b> in terms of land take, {{in the context of}} the Campania region. To make this, the Master Plans of many municipalities are examined. Therefore, the housing needs outlined in the <b>municipal</b> <b>Plans</b> are compared with the trends in population growth. Through this analysis, the municipalities are classified into three groups: virtuous municipalities, growing municipalities e uncontrolled municipalities. Moreover, a quantitative analysis of urban planning standards is taken into account. Then, by describing the obtained results, this work tries to define a synoptic view of <b>municipal</b> <b>planning</b> in Campania region, its critical points and the contrasting actions that can be implemented in regional and national legislations...|$|R
50|$|<b>Planning</b> <b>director</b> of the {{investigation}} team and Lee Hyun's adoptive mother.|$|R
50|$|The Boston Planning and Development Agency (BPDA), {{formerly}} the Boston Redevelopment Authority (BRA), is a Massachusetts public agency {{that serves as}} the <b>municipal</b> <b>planning</b> and development agency for Boston, working on both housing and commercial developments.|$|R
50|$|The <b>municipal</b> <b>plan</b> {{expects the}} {{expansion}} {{to a total}} of 950 meters. The expansion, however, is hindered by the residents, because the building recently regulated that allowed the construction of residential buildings almost on the runway.|$|R
50|$|Prior to {{his time}} in Raleigh, he held roles as a policy and <b>planning</b> <b>director</b> for the Manhattan Borough President’s office, a city planner for the New York City’s Department of Planning, a {{principal}} of a New York City-based planning firm, a town manager in New Jersey, and deputy <b>planning</b> <b>director</b> in Washington, DC.|$|R
50|$|In 1911, Virgil Bogue {{produced}} a civic master <b>plan</b> for Seattle’s <b>Municipal</b> <b>Plans</b> Commission {{in which he}} promoted the idea of Lake Union as an industrial area: “The fact that (Lake Union) {{is located in the}} very heart of the city indicates that if properly developed it will become a most important factor in the commercial and business activities of the city.” (Seattle <b>Municipal</b> <b>Plans</b> Commission 1911, p. 78) Completion of the Lake Washington Ship Canal and Ballard Locks in 1917 guaranteed the success of shipping and shipbuilding industries on Lake Union and thus of the Bogue vision, despite the fact that his plan was defeated by voters.|$|R
5000|$|... 1990 Im Westen alles nach <b>Plan,</b> <b>director</b> Hans Peter Clahsen, Michael F. Huse.|$|R
