1|40|Public
5000|$|... #Caption: Typical TO-3 <b>mounting</b> <b>profile,</b> with {{insulator}} from chassis ...|$|E
5000|$|Dragons Lair Névé (...) is a névé {{of about}} 25 sq mi in the Hays Mountains, bounded by Mount Griffith, Mount Pulitzer, Taylor Ridge, and Vaughan Glacier. The feature was mapped by the United States Geological Survey from surveys and U.S. Navy aerial photographs, 1960-64. During November 1987, the névé was the camp {{site of the}} United States Antarctic Research Program - Arizona State University {{geological}} party, which suggested the name. The name derives from the setting, surrounded by peaks, and from the appearance of <b>Mount</b> Pulitzer, the <b>profile</b> of which is remindful of a dragon.|$|R
40|$|Abstract. Modern villas in East and West Valleys of Mount Lu have {{witnessed}} the importance of Mount Lu in Chinese modern history, their unique design and elegant environment have high historical value and artistic value,and they are iconic landscapes in Mount Lu scenic area. In this paper, Mount Lu villas are the main research object, types of construction material and key use were analyzed. "Stone villas give Mount Lu personality", the author revealed unique building materials and obvious construction features of Mount Lu villas, which offered a systematic theoretical basis for protection, restoration and reconstruction of modern villas in <b>Mount</b> Lu. <b>Profile</b> of <b>Mount</b> Lu villas In 1886, the British missionary Li Deli opened up the resort in Mount Lu, and carried out planning and development on the Changchong valley, {{which led to the}} first climax of modern architecture construction in Mount Lu. By {{the beginning of the twentieth}} Century, the US and UK, Russia...|$|R
40|$|This paper {{argues that}} {{globalisation}} {{is a force}} of inequality and marginalisation. The reason is it exploits the world's developing economies. This threatens entrepreneurial development and human security. The paper seek to, through dependency paradigm, concretise the view that despite the excitement generated by globalisation as invitation to {{a world that is}} increasingly interconnected and borderless Nigeria (like other African countries) comes out at a disadvantage. Rather than gain from globalisation considering her enormous contributions to the global economy via her rich human and material endowments, Nigeria still faces its retrenching side effects such as <b>mounting</b> debt <b>profile,</b> capital flight, local industry collapse, over-dependence on imported goods and services, mono-product economy, etc. Hence, the Western allies encourage Nigeria to open her economy for rape with little or no access to other economies for her lack of the competitive advantage derivable from local capacity utilisation and functional entrepreneurial development. globalisation; exploitation; inequality; marginalisation; developing economies; developed economies; human endowment; competitive advantage; local capacity; entrepreneurial development; Nigeria; entrepreneurship; Africa. ...|$|R
50|$|Civil Twilight {{spent several}} years {{practicing}} in local church halls and garages before graduating to the local club scene, where they steadily became a well-respected act. Having finished their education, the bandmates then relocated to Los Angeles in August 2005; shortly thereafter, they signed with the indie label One October and co-produced their debut record, Human. The album arrived in 2007 and received an extra boost when several songs were featured in prime-time television shows, including One Tree Hill, House, Star-Crossed and Terminator: The Sarah Connor Chronicles. As their <b>profile</b> <b>mounted,</b> the musicians relocated to Nashville.|$|R
5000|$|The [...] "CS500" [...] dish {{concentrator}} PV unit {{design has}} 112 curved reflecting mirrors, which track the sun throughout the day. The combination of mirror <b>profile,</b> <b>mounting</b> framework, and solar receiver will deliver concentrated solar energy to each PV module. The tracking mechanism allows electricity {{to be produced}} during the day whenever the sun is more than 5° above the horizon. Direct current electricity from the receivers is passed through a solar inverter that produces grid-quality alternating current. Transformers step up the voltage to the requirement of the local network {{at the point of}} connection. Advantages claimed for this design include: ...|$|R
50|$|Today the station, {{which is}} {{level with the}} hamlet {{of the same name}} and not far from the eponymous castle, is the only {{intermediate}} stop where trains are able to pass one another. Such train crossings are rare, however, usually only taking place when there are special services. As a result, Erfenstein currently has an island platform. The western track acts as a crossing or passing loop, but was originally purely a loading siding open accessible only in the direction of Lambrecht. Following its conversion to a passing station, it was given another turnout, number 102. This has a Länderbahnen rail <b>profile,</b> <b>mounted</b> on steel sleepers.|$|R
5000|$|Compared with {{passenger}} locomotives made {{later by}} EMD, the noses of the E3, E4, E5, and E6 cab units had pronounced slants {{when viewed from}} the side. Therefore, these four models have been nicknamed [...] "slant nose" [...] units. Later E models had the [...] "bulldog nose" [...] of the F series. E3 demonstrator 822 was built with a nose identical to earlier EA and E1A units, but later locomotives in the series featured an elevated headlamp mounted in a nacelle, distinct from the flush <b>profile</b> <b>mounting</b> of the earlier units. 822 was modified {{in a similar fashion}} prior to delivery to the Kansas City Southern ...|$|R
40|$|This paper {{argues that}} the {{embedded}} neo-colonialist exploits of globalization retrenches the Nigerian economy rather than strengthening it – thereby creating new threats to human security and development. Specifically, pre and post- $ 18 billion (USD) debt cancellation Nigeria reels in economic strangulation engendered by global capital. Globalization, viewed as a force of inequality and marginalization constitutes a dividing factor between the developed and developing countries. We seek to concretize the view that despite the excitement generated by globalization as invitation to {{a world that is}} increasingly interconnected and borderless, Nigeria (like other African countries) comes out at a disadvantage. Whereas Nigeria has made and is making enormous contributions to the global economy, yet, it remains at the receiving end of the side effects rather than through the gains of globalization with <b>mounting</b> debt <b>profile,</b> capital flight, local industry collapse, galloping inflation, weak currency, over-dependence on imported goods and services, mono-product economy, etc. Hence, the Western allies encourage Nigeria to open the economy for rape, although she has insignificant access to other economies because she lacks the competitive advantage; due in part to bad leadership engendered wittingly or unwittingly by developed world partners...|$|R
40|$|The design {{allows for}} the low-stress {{mounting}} of fragile objects, like thin walled glass, by using particular ways of compensating, isolating, or releasing the {{coefficient of thermal expansion}} (CTE) differences between the mounted object and the mount itself. This <b>mount</b> <b>profile</b> is lower than true full kinematic mounting. Also, this approach enables accurate positioning of the component for electrical and optical interfaces. It avoids the higher and unpredictable stress issues that often result from potting the object. The mount has been built and tested to space-flight specifications, and has been used for fiber-optic, optical, and electrical interfaces for a spaceflight mission. This mount design is often metal and is slightly larger than the object to be mounted. The objects are optical or optical/electrical, and optical and/or electrical interfaces are required from the top and bottom. This requires the mount to be open at both ends, and for the object s position to be controlled. Thin inside inserts at the top and bottom contact the housing at defined lips, or edges, and hold the fragile object in the mount. The inserts can be customized to mimic the outer surface of the object, which further reduces stress. The inserts have the opposite CTE of the housing material, partially compensating for the CTE difference that causes thermal stress. A spring washer is inserted at one end to compensate for more CTE difference and to hold the object against the location edge of the mount for any optical position requirements. The spring also ensures that any fiber-optic or optic interface, which often requires some pressure to ensure a good interface, does not overstress the fragile object. The insert thickness, material, and spring washer size can be traded against each other to optimize the mount and stresses for various thermal and vibration load ranges and other mounting requirements. The alternate design uses two separate, unique features to reduce stress and hold the object. A release agent is applied to the inside surface of the mount just before the binding potting material is injected in the mount. This prevents the potting material from bonding to the mount, and thus prevents stress from being applied, at very low temperatures, to the fragile object being mounted. The potting material mixing and curing is temperature- and humidity-controlled. The mount has radial grooves cut in it that the potting material fills, thus controlling the vertical position of the mounted object. The design can easily be used for long and thin objects, short and wide objects, and any shape in between. The design s advantages are amplified for long and thin fragile objects. The general testing range was 45 to + 45 C, but multiple mounts were successfully tested down to 60 and up to 50 C and the design can be adjusted for larger ranges...|$|R
40|$|International audienceThe {{boundary}} {{integral equation}} method (BIM) {{was one of}} the first methods in grating theory. It has been used for the investigation of diffraction gratings of extremely different kinds as well as for photonic crystal diffraction gratings. Besides an overview of three of the most important BIMs for in-plane diffraction, we present a new BIM for gratings in a conical <b>mounting</b> with one <b>profile</b> as well as for separated multilayer gratings with photonics inclusions using a common description for both approaches. In numerical examples, (1) blazing in conical mounting is demonstrated at a photonic crystal diffraction grating, (2) the excellent conical efficiency convergence for a plasmonic structure of two stacked silver rod gratings is shown, and (3) the transmission for conical incidence is studied at a blazed grating with large period-to-wavelength ratio...|$|R
40|$|The <b>Mount</b> Gambier wind <b>profiling</b> radar was {{installed}} in September 1997 and has operated almost continuously {{since the beginning of}} 1998. The site is at the Australian Commonwealth Bureau of Meteorology Mount Gambier Meteorological Office, close to the Mount Gambier airport. The radar was developed as a prototype operational profiler by the Atmospheric Physics Group at the University of Adelaide, in collaboration with the Australian Commonwealth Bureau of Meteorology. It was designed to operate as a spaced antenna radar, as a Doppler beam swinging radar, and as a hybrid Doppler interferometer. Here we present a summary of the operation of the system and a comparison with radiosonde observations concentrating on operation in the spaced antenna mode. The utility of the system and recommendations for the further development of similar systems are addressed. Reid, I. M., D. A. Holdsworth, S. Kovalam, R. A. Vincent, and J. Sticklan...|$|R
40|$|A one-week {{experiment}} {{was conducted on}} the south shore of Oahu, Hawaii, in September 2005 over a coral reef pavement. One of the goals {{of this study is to}} characterize the spatial structure of the boundary flow over a wave orbital excursion. These field observations have been carried out within the Kilo Nalu Nearshore Reef Observatory that provides power and realtime data communication to a suite of instruments via a shore cable connection. The underwater profiler is composed of a support structure, an instruments <b>mount</b> and a <b>profiling</b> axis. The deployment used a downward-looking ADCP to obtain the phase-averaged flow field along the profiler axis. Each component of the velocity field is sampled separately along individual ADCP beams at each profiler position. The 2 -D flow field is then reconstructed as a function of wave phase using data from all instrument positions. Characteristics of the phase averaged velocity field as well as turbulent kinetic energy are presented here...|$|R
40|$|An {{experimental}} and numerical study {{was performed to}} investigate and compare {{the behavior of a}} counter-rotating vortex pair and a single vortex in the vicinity of a wall. This analysis is motivated by the theoretical equivalence, in the inviscid limit, between these two configurations. A wind tunnel with two NACA 0012 <b>profiles</b> <b>mounted</b> vertically with an optional splitter plate in the center and a stereoscopic particle image velocimetry system was used to experimentally study these interactions. Many {{significant differences were found between}} the two configurations, including the growth of the Crow instability in the two vortex configuration, but not in the one vortex/wall configuration. The numerical results re-enforced the experimental results, and emphasized the fundamental physical differences between the two configurations. While modeling a vortex wall system with an image vortex may give correct integral results for loads experienced by blades, this model does not accurately describe the downstream dynamics of the vortex system...|$|R
40|$|Experience-dependent {{modifications}} of neural circuits provide the cellular basis for functional adaptation and learning, while presenting significant {{challenges to the}} stability of neural networks. The nervous system copes with these perturbations {{through a variety of}} compensatory mechanisms with distinct spatial and temporal <b>profiles.</b> <b>Mounting</b> evidence suggests that structural plasticity, through {{modifications of}} the number and structure of synapses, or changes in local and long-range connectivity, might contribute to the stabilization of network activity and serve as {{an important component of the}} homeostatic regulation of the nervous system. Conceptually similar to the homeostatic regulation of synaptic strength and efficacy, homeostatic structural plasticity has a profound and lasting impact on the intrinsic excitability of the neuron and circuit properties, yet remains largely unexplored. In this review, we examine recent reports describing structural modifications associated with functional compensation in both developing and adult nervous systems, and discuss the potential role for structural homeostasis in maintaining network stability and its implications in physiological and pathological conditions of the nervous systems...|$|R
50|$|In 1956 Australia adopted decimal/metric {{scales for}} mapping, largely for {{military}} interoperability with major allies {{and the global}} trend. After the '1 mile' military maps were discontinued in 1959, and although Defence preferred 1:50,000 maps for tactical operations, it recognised the resources needed for such a programme over large regional areas of Australia and accepted the 1:100,000 map as a practical substitute with 1:50,000 maps over specific areas of interest and military training areas. Then in 1983 Defence endorsed a program for more than 2600 scale 1:50,000 maps in Defence priority areas in north and north-west Australia, its territories and the main land communication routes. By 1996 the Corps had completed more than 1900 of these maps by - field surveys using mainly US TRANSIT and GPS satellite positioning systems and aircraft <b>mounted</b> laser terrain <b>profiling,</b> new coverage aerial photography, aerotriangulation, compilation and cartographic completion on computer assisted mapping systems and produced both digital and printed topographic products.|$|R
40|$|There {{exists a}} paucity of {{information}} regarding work {{carried out in the}} Lxjwer reaches of the Tamar Estuary. This project describes the hydrodynamics of the confluence of the Tamar and Lynher Rivers, in the Lower reaches of the Tamar Estuary. This is facilitated by interpretation of Vessel <b>Mounted</b> Acoustic Doppler <b>Profiling</b> derived velocity vector plots, dye tracing studies and water temperature and salinity profile and transect data. Particular attention is concentrated on the front that is generated on the ebb tides of neap and spring tides. A conceptual model of the generation of the front is proposed, and the effects that it has on water circulations in the region are suggested. Additionally, suggestions for the application of this study to estuarine front modelling are proposed. The main conclusions are that the front forms across the mouth of the River Lynher on neap tides, and an axial front is formed during the later stages of the spring ebb tide; frontal formation is initiated at, and maintained to a better degree in the northern region of the mouth of the Lynher...|$|R
40|$|A modern general {{circulation}} {{model of the}} Southern Ocean with one-sixth of a degree resolution is optimized to the observed ocean in a weighted least squares sense. Convergence to the state estimate solution is carried out by systematically adjusting the control variables (atmospheric state and initial conditions) using the adjoint model. A cost function compares the model state to in situ observations (Argo float profiles, CTD synoptic sections, SEaOS instrument <b>mounted</b> seal <b>profiles,</b> and XBTs), altimetric observations (ENVISAT, GEOSAT, Jason, TOPEX/Poseidon), and other data sets (e. g. infrared and microwave radiometer observed sea surface temperature and NSIDC sea-ice concentration). Costs attributed to control variable perturbations ensure a physically realistic solution. The state estimate {{is found to be}} largely consistent with the individual observations, as well as with integrated fluxes inferred from previous static inverse models. The transformed Eulerian mean formulation is an elegant way to theorize about the Southern Ocean. Current researchers utilizing this framework, however, have been making assumptions that render their theories largely irrelevant to the actual ocean. It is shown that theories of the overturning circulation must include the effect of pressure forcing. This is true in the most buoyant waters, where pressure forcing overcomes eddy and wind forcing to balance a poleward geostrophic transport and allows the buoyancy budget to be closed. Pressure forcing is also lowest order at depth. Indeed, the Southern Ocean's characteristic multiple cell overturning is primarily in geostrophic balance. Several other aspects of the Southern Ocean circulation are also investigated in the thesis, including an analysis of the magnitude and variability of heat, salt, and volume inter-basin transports. by Matthew R. Mazloff. Thesis (Ph. D.) [...] Joint Program in Physical Oceanography (Massachusetts Institute of Technology, Dept. of Earth, Atmospheric, and Planetary Sciences; and the Woods Hole Oceanographic Institution), 2008. Includes bibliographical references (p. 115 - 127) ...|$|R
40|$|The {{exponential}} {{growth in the}} number of transistors on very large scale integration (VLSI) integrated circuits (ICs), coupled with increasing device interface bandwidth and new surface <b>mount</b> and low <b>profile</b> packaging technologies, have made testing of ICs increasingly difficult and costly at all levels of the testing process. Field programmable gate arrays (FPGAs) pose a particularly difficult problem for test engineers due to their programmable nature, overall size and complexity, limited number of inputs/outputs (I/O), and large number and variety of embedded cores. In addition to manufacturing defects, “soft ” errors due to single event upsets (SEUs) have become a serious problem because of the increasing size of the configuration memory in FPGAs and shrinking design rules, even in fault-tolerant systems operating at ground level. Building on previous work, this thesis uses built-in self-test (BIST) as a solution to the testing problem for Xilinx Virtex- 5 FPGAs. BIST configurations are presented for the configurable logic blocks (CLBs), I/O Tiles, and SEU detection/correction cores in Xilinx Virtex- 5 FPGAs. In addition, this thesis presents a novel approach to BIST that uses a soft-core processor configured in the fabric of the device under test to perform reconfiguration of th...|$|R
40|$|The {{interaction}} between rotor blades and non-rotating stator blades {{is the most}} significant blade excitation mechanism in turbomachines. It is well documented in various numerical and experimental investigations for turbine cascades. Like turbine blades, also compressor blades are excited as well by potential fields of the following stator, the downstream flowfield of the stator of the previous stage or struts and incoming flow distortions. In this paper, experimental investigations of the excitation of a transonic compressor cascade due to gust generating struts upstream are presented. The experiments were performed in the test facility of non-rotating annular cascades at EPFL using a compressor cascade, which consists of 20 blades (NACA 3506 <b>profile)</b> <b>mounted</b> on elastic spring suspensions for torsional motions at the midchord. For the non-rotating annular cascade, relative flow conditions similar to those present in a rotating cascade are generating by swirling the flow in front of the test test section. The struts are rotating {{in order to create a}} periodic excitation upstream of the cascade. The so generated pressure dristribution on the cascade’s profiles as well as the measured vibration response of the blades are presented and compared for a pure subsonic and a transonic flow case...|$|R
40|$|A {{prerequisite}} for aeroelastic stability investigations on vibrating compressor cascades {{is the detailed}} knowledge of the unsteady aerodynamic loads acting on the blades. In order to obtain precise insight into the aerodynamic damping of a vibrating blade assembly, a basic experiment was performed where unsteady pressure distributions were measured for subsonic and transonic flow conditions. The experiments were performed on a non-rotating, two-dimensional section of a compressor cascade in an annular test facility. The cascade consists of 20 blades (NACA 3506 <b>profile)</b> <b>mounted</b> on elastic spring suspensions. In order to measure the unsteady pressure distribution, the cascade was set to tuned pitching oscillations (travelling wave modes). Each blade was driven to controlled harmonic torsional motions around midchord by a magnetic excitation system and by inductive displacement probes which measure the feedback signal of the motion. Steady and unsteady pressures were measured by steady pressure taps and piezo-electric pressure transducers, respectively. The measurement of the unsteady aerodynamic response to a shock vibrating on the suction side of the blades was enabled by a dense spacing of transducers in this region The global aeordynamic stability is assessed by a damping coefficient evaluated from the out-of-phase parts of the unsteady moment coefficients and by the contributions from the local work coefficient, using the measured pressure data...|$|R
40|$|Due to {{the trend}} of {{increasing}} power and reducing weight, the fan and compressor bladings of turbomachinery might {{be more sensitive to}} flutter, which must strictly be avoided already in the design process. In order to increase our understanding of the flutter phenomena for fan and compressor cascades, aeroelastic investigations are essential. This paper presents the achievements and results of experimental flutter investigations with a compressor cascade in the test facility of non-rotating annular cascades at EPFL. Flow conditions such as those that occur in rotating cascades are simulated by generating a spiral flow in the upstream. The construction of the cascade which takes into account the structural properties necessary to perform flutter experiments is described. For the simulation of elastic torsional vibrations of a two-dimensional blade section, the cascade consists of 20 blades (NACA 3506 <b>profile)</b> <b>mounted</b> on elastic spring suspensions which allows for torsional motion about the midchord. In order to investigate the influence of the reduced frequency on the global stability of the cascade and its local contributions, experiments were performed for two different reduced frequencies. At the higher reduced frequency the cascade remains aerodynamically stable, however, at the lower reduced frequency and transonic flow conditions, some of the interblade phase angles appear to be aerodynamically unstable...|$|R
40|$|Malaria is a {{major and}} growing threat to {{economic}} development and public health in developing countries. There are about 2. 7 million malaria deaths annually. Plasmodium knowlesi, the fifth human malaria parasite, is an attractive model for malaria research and is also phylogenetically close to human malaria parasite P. vivax. It shares many vaccine candidate molecules with P. vivax. This study was carried out to determine immunological <b>profiles</b> <b>mounted</b> by Olive baboons during experimental infection with P. knowlesi H strain. Six Olive baboons (Papio Anubis) were infected with 1 × 10 6 P. knowlesi blood stage parasites. The infected baboons developed either severe (acute) or mild (chronic) infection. High IgM titres were observed during primary infection in the baboons. Anti-IgG antibodies were raised {{after two weeks of}} chronic infection. Circulating IFNg from serum rose fifty fold in acutely infected animals during the first two weeks post infection compared to a tenfold increase in chronically infected baboons. Recall proliferative responses were two fold higher in chronically infected animals by day 14 post infection. The highest stimulation index (10. 06 + 2. 74) was observed in chronic animals at day 42 post infection. These results demonstrated that baboons infected with P. knowlesi mount an immune response that is characterized by antibody and cytokine responses involving IgG, IgM and IFNr. These studies are important in validation of the P. knowlesi - baboon model for malaria drug and vaccine development. </p...|$|R
50|$|Williamsons Symphony No. 1 - Elevamini {{was written}} in 1956 and {{the early part of}} 1957, when he was barely 25 years of age. Considering this, the work has {{remarkable}} technical and structural assurance, and a profound emotional core which is quite astonishing coming from young composer so early on in his career. Sir Adrian Boult saw the score of the symphony soon after its completion in 1957, and these traits were clearly evident to him as the symphony made such an impression upon the great conductor that he decided to give the work a private performance later that year with the London Philharmonic Orchestra in St. Pancras Town Hall, London. This concert also included the first performance of Williamsons sparkling concert overtrue Santiago de Espada with the same forces. The symphony was officially premièred in Melbourne, Australia in November 1963 by the Melbourne Symphony Orchestra conducted by Sir Bernard Heinze (in 1982, Williamson wrote the orchestral work In Thanksgiving - Sir Bernard Heinze, which was written shortly after hearing of Heinzes death. It was premièred in Sydney later that year). After this performance, the symphony was rarely heard until 1977 when Sir Charles Groves performed and recorded the piece with the Royal Liverpool Philharmonic Orchestra. Although the symphony has since had few performances, they are gradually <b>mounting</b> as the <b>profile</b> of both the symphony and the composer begins to gain height.|$|R
40|$|Open “Aerodium” type {{wind tunnels}} with free {{vertical}} jet with diameter exceeding 3 m and air velocity in initial {{section of the}} jet 60 - 70 m/s, is {{being used as a}} devices for free flight of human and training of sky divers. In a developed and investigated computer model air jet has been created by five propellers with five blades (diameter of 1. 8 m). Their horizontal axes are symmetrically located on the circle along its radii. Each propeller is <b>mounted</b> on the <b>profiled</b> ring, which behind the propeller transforms into 3 D shaped channel of complex L-type form for smooth and no shedding rotation of the flow at 90 ° along the vertical axis of the device. After turning all five channels are combined into one axis-symmetrical free jet forming nozzle with diameter ~ 3. 6 m. The purpose of this work is to develop methods of computer simulation and optimisation of geometric and aerodynamic parameters of the “Aerodium” type devices with low noise level fans for the formation of large diameter free jet. Computer simulation and engineering analysis performed using CAD/CAE software SolidWorks/CFdesign. Geometric modelling enabled solution of complex joining problems of sections of air channels and pairing of multiple channels, taking into account the restrictions for corners narrowing and widening, smooth transitions and turns of channels. Aerodynamic part is described by the unsteady Navies-Stokes equations and numerically solved using adaptive mobile mesh taking into account rotation of the propeller, geometry of air channels, and weak compressibility of the ambient, turbulences of the flow, shedding zones and return flows. On the basis of optimised geometric and aerodynamic results was developed design of the aerodynamic device ”Aerodium“ with five propellers with five blades. Device (“Aerodium”) was manufactured, assembled and experimentally examined in town Jelgava (Latvia). Results of field experiments satisfactorily confirmed data of numerical calculations...|$|R
40|$|An {{investigation}} into a three-dimensional, curved shock wave interacting with a three-dimensional, curved boundary {{layer on a}} slender body is presented. Three different nose <b>profiles</b> <b>mounted</b> on a cylindrical body were tested in a supersonic wind tunnel and numerically simulated by solving the Navier-Stokes equations. The conical and hemispherical nose profiles tested were found to generate shock waves of sufficient strength to separate the boundary layer on the cylinder, while the shock wave generated by the ogival profile did not separate the boundary layer. For the separated flow, separation was found to occur predominantly on the windward side of the cylinder with the lee-side remaining shielded from the direct impact of the incident shock wave. A thickening of the boundary layer on the lee-side of all the profiles was observed. In the conical and hemispherical cases {{this leads to the}} re-formation of the incident shock wave some distance away {{from the surface of the}} cylinder. A complex reflection pattern off the shock wave/boundary layer interaction (SWBLI) was also identified for the separated flow cases. For comparative purposes an inviscid simulation was performed using the hemispherical profile. Significant differences between the viscous and inviscid results were noted including the absence of the boundary layer leading to a simplified shock wave reflection pattern forming. The behaviour of the incident shock wave on the lee-side of the cylinder was also affected with the shock wave amalgamating on the surface of the cylinder instead of away from the surface as per the viscous case. Test data from the wind tunnel identified two separation lines present on the cylindrical surface of the hemispherical SWBLI generator. The pair of lines were not explicitly evident in the original CFD simulations run, but were later identified in a high resolution simulation...|$|R
