1|48|Public
5000|$|TIMM, or Toshiba Integrated <b>Multimedia</b> <b>Monitor,</b> {{manufactured}} by Toshiba ...|$|E
30|$|Jeung, et al. [42] {{present an}} {{automated}} metadata generation approach {{that includes a}} probabilistic measure of data quality. In [43] Hossain, et al. dynamically assess three quality attributes for the detection and identification of human presence in <b>multimedia</b> <b>monitoring</b> systems, where-as Rodríguez and Riveill [44] present data quality in relation to e-Health monitoring systems. Crowd-sourced citizen science [45] and volunteered geographic information [46 – 48] efforts attract data quality research for obvious reasons. When the public assists in collecting data, the benefits of public collection must be weighed against the potential for poor quality submissions. These efforts do indicate {{that the benefits of}} public participation outweigh the drawbacks while leaving open paths for further research. In [45], Kelling, et al. tackle the problem of quality with analysis both of data submission and subsequent observer variation. Goodchild, et al. call upon existing data quality standards such as the US Spatial Data Transfer Standard [49] and the Content Standard for Digital GeoSpatial Metadata [50] while demonstrating the open-ended nature of quality assurance for volunteered geographic information. Barron, et al. [47] reference the ISO 19113 [51], ISO 19114 [52] and ISO 19157 [53] standards while pointing out that data quality for volunteered geographic information projects such as OpenStreetMap (OSM) [54] depends on the user’s purpose. In turn they present a framework tailored to “fitness for purpose” with six different categories of purpose and 25 measures within those categories, all specific to OSM. Ballatore, et al. [48] investigate “conceptual quality” using OSM, and indicate wider applicability than that of [47].|$|R
40|$|Wireless {{multimedia}} {{sensor network}} (WMSN) consists of sensors that can <b>monitor</b> <b>multimedia</b> data from its surrounding, such as capturing image, video and audio. To transmit multimedia information, large energy is required which decreases {{the lifetime of}} the network. In this paper we present a clustering approach based on spectral graph partitioning (SGP) for WMSN that increases the lifetime of the network. The efficient strategies for cluster head selection and rotation are also proposed. </p...|$|R
40|$|Video copy {{detection}} {{techniques are}} essential {{for a number of}} applications including discovering copyright infringement of <b>multimedia</b> content, <b>monitoring</b> commercial air time, and querying videos by example. Over the last decade, video copy detection has received rapidly growing attention from the multimedia research community. To encourage more innovative technology and benchmark {{the state of the art}} approaches in this field, the TRECVID conference series, sponsored by the NIST, initiated an evaluation task on content based copy detection in 2008. In this paper, we describe the content-based video copy detection framework developed at AT&T Labs – Research. We employed local visual features to match the video content, and adopted hashing techniques to maintain the scalability and the robustness of our approach. Experimental results on TRECVID 2008 data show that our approach is effective and efficient...|$|R
40|$|In {{this paper}} an outline is given of the {{development}} of a self-authored multimedia package for enhancing lectures in an introductory-undergraduate fluid mechanics course. The self-authored approach provides a flexible environment in which the software can be developed over a relatively long time frame. This enables an academic with limited resources to develop and implement an effective software package in a series of steps. The motivation for introducing the multimedia tools is based on a set of educational initiatives which can most effectively be implemented through the use of <b>multimedia.</b> A <b>monitoring</b> program has been implemented to help to define future educational initiatives and to indicate the effectiveness of those initiatives that are being implemented. Examples of how some of the initiatives are being introduced into the lectures are also given...|$|R
30|$|Satellite {{communication}} (SATCOM) {{systems have}} attracted great attention from academic and industrial communities in recent years, {{which have been}} widely used for many military and civil services, e.g., weather forecast, environment <b>monitoring,</b> <b>multimedia</b> service, positioning system, and emergency rescue [1 – 4]. In comparison to terrestrial communication, SATCOM systems have the advantages of larger bandwidth and wider coverage, for providing the huge amount of data services in the emerging fifth generation (5 G) networks, such as hybrid satellite-terrestrial communication systems [5, 6].|$|R
40|$|Abstract. Liquid {{crystal display}} (LCD) {{is one of}} the most dynamic {{electronic}} products in this century. It has been recognized as a key component of media era, since it has many characteristics, such as a low operating voltage, light volume, and excellent performance of full color display, and suitable for LSI drive and the like. In order to break the limitations of LCD, improve its animation display performance as <b>multimedia</b> television <b>monitor,</b> and strongly simplify the manufacturing to ensure the competitiveness on price, we designed a LCD module with the liquid crystal cell of TD-EDA experimental system based on FPGA, and achieved the control of LCD with hardware description language VHDL in this paper. The validation results of compiled program downloaded on programmable logic devices after compiling and simulating show that the LCD we designed can run correctly and relatively perfectly...|$|R
40|$|The {{requirements}} of <b>multimedia</b> underwater <b>monitoring</b> applica-tions with heterogeneous traffic demands {{in terms of}} bandwidth and end-to-end reliability are considered in this article. To address these requirements, a new medium access control protocol named UMIMO-MAC is proposed. UMIMO-MAC is designed to i) adap-tively leverage the tradeoff between multiplexing and diversity gain according to channel conditions and application requirements, ii) select suitable transmit power to reduce energy consumption, and iii) efficiently exploit the UW channel, minimizing {{the impact of the}} long propagation delay on the channel utilization efficiency. To achieve the objectives above, UMIMO-MAC is based on a two-way handshake protocol. Multiple access by simultaneous and co-located transmissions is achieved by using different pseudo or-thogonal spreading codes. Extensive simulation results show that UMIMO-MAC increases network throughput, decreases channel access delay, and decrease energy consumption compared with ex-isting Aloha-like MAC protocols for UW-ASNs...|$|R
40|$|The advancements in {{distributed}} computing have driven {{the emergence of}} Service Oriented infrastructures that allow for on-demand provision of ICT assets. Taking into consideration the complexity of distributed environments, significant challenges exist in providing and managing the offered on-demand resources with the required level of Quality of Service (QoS), especially for real-time interactive <b>multimedia</b> applications. <b>Monitoring</b> mechanisms are a fundamental part in service-based platforms that support realtime QoS guarantees by providing coherent and consistent real-time attributes at various levels of the infrastructure (application, network, storage, processing). In this paper we present an architectural design and implementation of a complete monitoring framework for measuring QoS at both application and infrastructure levels targeting trigger events for runtime adaptability of resource provisioning estimation and decision-making. We also demonstrate {{the operation of the}} implemented mechanism and evaluate its effectiveness using an application scenario, namely Film Postproduction...|$|R
40|$|Abstract: The nodes of {{wireless}} sensor network are mainly responsible for the collection and processing of the information and send to neighboring nodes. The paper presents design and development of <b>multimedia</b> video <b>monitoring</b> system based on {{wireless sensor network}}. Video monitoring system is designed to analysis and judgment of target behavior in the scene, so that let the computer correctly understanding of the target behavior analysis and the classification of the target. The wireless sensor network self-organization protocol is analyzed and studied. This paper designs a real-time transmission system of adaptive network video monitoring. FISCO can not only guarantee {{the arrival of a}} new node quickly joins, but caused only local changes in network communication structure. The results show that different structures may have different maintenance methods and energy consumption, global and local structure is better than pure global structure type. Copyright © 2013 IFSA...|$|R
40|$|Two recent {{projects}} at ORA {{have used a}} blackboard framework during system design. 1 DANA is a <b>multimedia</b> network <b>monitoring</b> system, while MARRS is a real-time passive radar system. Both projects {{have benefited from the}} AI principles captured in a blackboard design: hierarchically ordered data structures, independent knowledge sources, and intelligent opportunistic control. DANA has profited most by using the knowledge sources to implement a policy of guaranteed update consistency. MARRS has used the independence of knowledge sources and the flexibility of opportunistic control to support quick and easy experimentation with new system designs. This paper presents a new way of incrementally adding opportunistic control to an existing system, and describes several lessons that we learned about the benefits and difficulties of designing and implementing blackboard systems. INTRODUCTION A blackboard architecture [EM 88, Nii 86 a, Nii 86 b, Nii 89] consists of three main components: 1. A collecti [...] ...|$|R
30|$|Increasing {{number of}} {{vehicles}} on the road has brought focus on improving road safety as well as in-vehicle entertainment. In tune with this demand, we are witnessing a rise in development of new applications and services for vehicular environments. Some common examples include applications for collision avoidance, safety and traffic <b>monitoring,</b> <b>multimedia</b> streaming, data collection for smart cities in synergy with wireless sensor networks [1], vehicle-to-vehicle communication (V 2 V), etc. Consequently, vehicular ad hoc network (VANET) {{has emerged as a}} new technology that can support such emerging vehicular applications.|$|R
30|$|Wireless {{multimedia}} sensor networks (WMSNs) are {{an emerging}} type of sensor networks that contain {{a certain number}} of camera sensors in conjunction with a large number of scalar sensors and can collect and process multimedia data [1] under a limited supply of resources in computation, energy, bandwidth, and storage. Generally, scalar sensors are responsible for event detection, and camera sensors are used for event capturing in the form of pictures or video. A typical application of such networks is <b>multimedia</b> event <b>monitoring.</b> It is worth noting that the status (including region size and position) of many real-world events often changes over time, such as migration, traffic and crowd movement, and sudden hot spots. We refer to these events as complex events. The dynamic event characteristics lead to considerable computation cost, control message overhead, and data redundancy, resulting in significant performance degradation in both energy efficiency and monitoring quality. Many existing solutions are not scalable and not robust enough to adapt to complex event monitoring.|$|R
40|$|The aim of {{the project}} 'Personalized Plan-Based Presenter' (PPP) is to explore and develop {{innovative}} presentation techniques for future intelligent user interfaces. The central issues of the project are: Planning Multimedia Presentation Acts, Interactive <b>Multimedia</b> Presentations, <b>Monitoring</b> the Effectiveness of a Presentation, Providing a Firm Representational Foundation. Presentation design {{can be viewed as}} a relatively unexplored area of common-sense reasoning. Unlike most research on common-sense reasoning to date, the PPP project does not deal with metadomain research on general design principles, but focuses on formal methods capturing some of the reasoning in the design space of presentations for specific and realistic domains. The development of an interactive, multimedia presentation system requires efforts from various research areas such as planning, knowledge representation, constraint processing, natural language, and knowledge-based graphics generation. (orig.) SIGLEAvailable from TIB Hannover: F 97 B 1353 +a / FIZ - Fachinformationszzentrum Karlsruhe / TIB - Technische InformationsbibliothekBundesministerium fuer Bildung, Wissenschaft, Forschung und Technologie, Bonn (Germany) DEGerman...|$|R
30|$|The {{knowledge}} {{about the impact of}} network performance on user experience is crucial, as it determines the success, degradation or failure of a service. User experience assessment has attracted a lot of attention. In early works, there was no differentiation between user experience and network QoS. User experience was then measured in terms of network parameters (e.g. bandwidth, packet loss rate, delay, jitter), and application parameters, such as bitrate for <b>multimedia</b> services. While <b>monitoring</b> and controlling QoS parameters is essential for delivering high service quality, it is more crucial, especially for service providers, to evaluate service quality from the user’s perspective.|$|R
40|$|Future-generation {{multimedia}} {{applications are}} expected to be highly scalable {{to a wide variety of}} heterogeneous devices, and highly available across wide-area distributed environments. This demands multiple stages of run-time support in QoS-aware middleware architectures, particularly, probing the performance of QoS parameters, instantiating the initial component configurations, and adapting to on-the-fly variations. In this paper, we review past experiences and lessons learned in our existing architectures with respect to run-time support, and present a novel approach to unify these stages into an integrated run-time middleware architecture, so that <b>multimedia</b> applications are <b>monitored</b> and configured in a coherent fashion. 1...|$|R
40|$|As {{the rapid}} growth of economy and population, the wild animals’ habitat is badly damaged by the {{development}} and utilization of wild animals living environment by people. To carry out the research on wildlife monitoring technology is of great significance. Along {{with the advent of the}} era of 3 G, 3 G transmission technology is more and more advanced, and the Android operating system is currently the most popular operating system. The advantages and disadvantages of the existing monitoring technology are summed up, then wireless <b>multimedia</b> sensor network <b>monitoring</b> technology solutions which is a collection of 3 G technology, Android platform and Zigbee short-range wireless communication technology is put forward in this paper. </p...|$|R
40|$|Broader use {{of virtual}} reality environments and {{sophisticated}} animations spawn a need for spatial sound. Until now, spatial sound design has been based very much on experience and trial and error. Most effects are hand-crafted, because good design tools for spatial sound do not exist. This paper discusses spatial sound authoring and its applications, including shared virtual reality environments based on VRML. New utilities introduced by this research are an inspector for sound sources, an interactive resource manager, and a visual soundscape manipulator. The tools {{are part of a}} sound spatialization framework and allow a designer/author of <b>multimedia</b> content to <b>monitor</b> and debug sound events. Resource constraints like limited sound spatialization channels can also be simulated...|$|R
40|$|In this paper, {{we address}} the {{exploitation}} of computervision techniques to develop <b>multimedia</b> services andautomatic <b>monitoring</b> systems related to the securityand the privacy in public areas. The research is part ofa two-year ltalian project called LAICA, intended toprovide advanced services for citizens and publicofficers. Citizens want fast and friendly web access topublic places, to see the environment in real-timewithout violating the privacy laws. Public officers andpolicy centres want a fast and reactive monitoringsystem, capable to automatically detect dangeroussituations, given the huge amount of cameras that cannot be monitored simultaneously by human operators. In this work, we describe the project and the definedmethodologies in multi-camera video mosaicing,people tracking and consistent labelling, and access toprocessed data with face obscuration...|$|R
40|$|Abstract—The {{requirements}} of <b>multimedia</b> underwater <b>monitoring</b> applications with heterogeneous traffic demands {{in terms of}} bandwidth and end-to-end reliability are considered in this article. To address these requirements, a new medium access control protocol named UMIMO-MAC is proposed. UMIMO-MAC is designed to i) adaptively leverage the tradeoff between multiplexing and diversity gain according to channel conditions and application requirements, ii) select suitable transmit power to reduce energy consumption, and iii) efficiently exploit the UW channel, minimizing {{the impact of the}} long propagation delay on the channel utilization efficiency. To achieve the objectives above, UMIMO-MAC is based on a two-way handshake protocol. Multiple access by simultaneous and co-located transmissions is achieved by using different pseudo-orthogonal spreading codes. An algorithm is proposed that, in a cross-layer fashion, jointly selects optimal transmit power and transmission mode through the cooperation of transmitter and receiver to achieve the desired level of reliability and data rate according to application needs and channel condition. Extensive simulation results show that UMIMO-MAC increases network throughput, decreases channel access delay, and decrease energy consumption compared with existing MAC protocols for UW-ASNs. Index Terms—Underwater acoustic sensor networks, Medium access control, Multiple input multiple output...|$|R
40|$|Research and {{commercial}} interest toward 3 D virtual worlds are recently growing because they probably represent the new {{direction for the}} next generation of web applications. Although these environments present several features that are useful for informal collaboration, structured collaboration is required to effectively use them in a working or in a didactical setting. This paper presents a system supporting synchronous collaborative learning by naturally enriching Learning Management System services with meeting management and <b>multimedia</b> features. <b>Monitoring</b> and moderation of discussions are also managed at a single group and at the teaching level. The Second Life (SL) environment has been integrated with two ad hoc developed Moodle plug-ins and SL objects have been designed, modeled, and programmed to support synchronous role-based collaborative activities. We also enriched SL with tools to support the capturing and displaying of textual information during collaborative sessions for successive retrieval. In addition, the multimedia support has been enhanced with functionalities for navigating multimedia contents. We also report on an empirical study aiming at evaluating the use of the proposed SL collaborative learning as compared with face-to-face group collaboration. Results show that the two approaches are statistically undistinguishable in terms of performance, comfort with communication, and overall satisfaction...|$|R
40|$|We {{propose a}} two-stream {{approach}} for adaptive rate control in <b>multimedia</b> applications. By <b>monitoring</b> a low-rate monitoring stream, we {{keep track of}} the available bandwidth of the network path and dynamically adjust the sending rate of the traffic stream close to the optimal rate. The proposed two-stream approach perfectly meets the requirements of the current besteffort Internet and fits well in multimedia applications. For example, there is no bandwidth overhead for the monitoring stream in peer-to-peer video conferencing, because the monitoring stream is the audio stream. We show in our experiments that both the network and the application can benefit from this approach. The proposed two-stream approach is applicable to monitor the sending rate of the traffic stream over UDP as well as over TCP. Keywords Adaptive rate control, TCP friendly congestion control, audio and video streaming, video conferencing, video telephone. 1...|$|R
40|$|The {{convergence}} {{in access}} networks brings forth {{the challenge of}} resource allocation for applications with varying utilities over networks with time-varying and heterogeneous characteristics. Owing to an ever increasing demand and popularity, multimedia applications have been a key {{driving force behind the}} efforts targeted towards architectures, industrial standards, and polices for convergence. Multimedia applications use protocols and transport dynamics that constrain the manner in which these applications can utilize access networks. In this work, we propose middleware architecture and policies that target optimal rate allocation for <b>multimedia</b> applications by <b>monitoring</b> and stochastically modeling the variation in characteristics of the access networks, using the utilities of the media application when known, and accounting for the constraints imposed by application specific transport mechanisms. The proposed measures leverage our optimal rate allocation, rate control, and interface assignment techniques [17, 6, 24] to achieve enhanced multimedia performance and efficient utilization of the access networks...|$|R
30|$|First of all, {{the applied}} {{estimation}} methods bear uncertainties which {{may result in}} false positive or false negative compounds. False positive means, for example, that a compound {{is assumed to be}} a borderline chemical although, in reality, it is not. This example would be taken into closed consideration to be a SVHC, meaning that further investigations could clarify the actual characteristics. False negative, in contrast, includes, e.g. a compound which is excluded to be a borderline substance although it is one. This means that a possible substance of very high concern due to its LRTP and its short failure of only one of the vPvB and PBT criteria is not identified by the screening procedure. This is, of course, the case which should be excluded. Therefore, we propose to combine different methods, i.e. half-life criteria, <b>multimedia</b> modelling and <b>monitoring</b> data, to identify borderline chemicals as potential high-priority chemicals for further analysis to reduce the uncertainty resulting from each of the classification methods.|$|R
40|$|Most <b>multimedia</b> {{surveillance}} and <b>monitoring</b> systems nowadays utilize multiple types of sensors to detect events of interest as {{and when they}} occur in the environment. However, due to the asynchrony among and diversity of sensors, information assimilation- how to combine the information obtained from asynchronous and multifarious sources is an important and challenging research problem. In this paper, we propose a framework for information assimilation that addresses the issues- “when”, “what ” and “how ” to assimilate the information obtained from different media sources in order to detect events in multimedia surveillance systems. The proposed framework adopts a hierarchical probabilistic assimilation approach to detect atomic and compound events. To detect an event, our framework uses not only the media streams available at the current instant but it also utilizes their two important properties- first, accumulated past history of whether they have been providing concurring or contradictory evidences, and- second, the system designer’s confidence in them. The experimental results show {{the utility of the}} proposed framework...|$|R
40|$|In this paper, {{we propose}} a two-stream {{approach}} for adaptive rate control in <b>multimedia</b> applications. By <b>monitoring</b> a low-rate monitoring stream, we {{keep track of}} the available bandwidth (AB) of the network path and dynamically adjust the sending rate of the traffic stream close to the optimal rate. We also assure the higher priority of the monitoring stream in that the traffic stream is not allowed to affect the transmission of the monitoring stream. The proposed two-stream approach perfectly meets the requirements of the current best-effort Internet and fits well in multimedia applications. For example, there is no bandwidth overhead for the monitoring stream in peer-topeer video conferencing, because the monitoring stream is the audio stream. We show in our experiments that both the network and the application can benefit from this approach. The proposed two-stream approach is applicable to monitor the sending rate of the traffic stream over UDP as well as over TCP...|$|R
