1|10000|Public
40|$|A ferroelec. and ferroelastic <b>monodomain</b> <b>single</b> <b>crystal</b> of BiFeO 3 at {{space group}} R 3 c is rhombohedral, with a 5. 57874 (16), c 13. 8688 (3). ANG.; arh 5. 6343. ANG., arh 59. 348 Deg; d. (calcd.) = 8. 337 for Z = 6. Final R = 2. 4, Rw = 1. 9 % for 422 reflections. The {{structure}} {{can be described}} as a rhombohedrally distorted simple cubic perovskite cell. The O octahedron is distorted with min. and max. O-O distances of 2. 710 (7) and 3. 015 (9). ANG., resp., and rotated by about +- a = 13. 8 (3) Deg around the 3 -fold axis. The Fe atom is shifted away {{from the center of the}} deformed octahedron by. apprx. 0. 134 (7). ANG. along the 3 -fold axis. The Bi atom is shifted with respect to 2 neighboring octahedron centers by. apprx. 0. 540 (7). ANG. along the 3 -fold axis. The ferroelec. poling mechanism was analyzed: atom displacements were calcd. for 60, 120 and 180 Deg switching of Ps and found to be 0. 44, 0. 62 and 0. 82. ANG. for Fe. Av. oxygen displacements for +a (-a) rotated octahedra were 0. 87 (0. 89) 1. 13 (1. 24) and 1. 34 (1. 53). ANG [...] Av. Bi shifts wer...|$|E
40|$|The {{growth of}} WSe 2 <b>single</b> <b>crystals,</b> using TeCl 4 as {{transport}} agent was performed successfully from slowly cooled polycrystalline powders as precursors. The resulting <b>single</b> <b>crystals</b> {{were characterized by}} X-ray diffraction (XRD) and their surfaces examined by scanning electron microscopy (SEM) presented fewer defects than <b>single</b> <b>crystals</b> prepared from air-quenched polycrystalline powders. Energy Dispersive X-ray microanalysis (EDX), inductively coupled plasma (ICP) spectroscopy and X-ray photoelectron spectroscopy (XPS) revealed that the <b>single</b> <b>crystals</b> are homogeneous and stoichiometric. Electrical conductivity and photocurrent measurements have confirmed the semiconducting character of the <b>single</b> <b>crystals</b> and a photocurrent of 75 mA cm^(- 2) has been reached. In addition, <b>single</b> <b>crystals</b> with areas in the 25 - 100 mm 2 range can be obtained under the reported growth conditions. SCOPUS: ar. jinfo:eu-repo/semantics/publishe...|$|R
30|$|In {{the realm}} of semiconductive polymers, large <b>single</b> {{rectangular}} <b>crystals</b> of 3 -hexyl thiophene (3 HT) 8 [35, 36], nanowires of conjugated poly(p-phenylene ethynylene) derivatives [37], poly(3 -hexyl thiophene) (P 3 HT) nano-whiskers [38], one-dimensional (1 D) microwire P 3 HT <b>single</b> <b>crystals</b> [39], and self-organized two-dimensional (2 D) P 3 HT supramolecules [40, 41] were reported. Nascent lateral habits of solution-grown <b>single</b> <b>crystals</b> [42], surface-patterned <b>single</b> <b>crystals</b> [43, 44, 45, 46, 47], and conductive–dielectric–conductive <b>single</b> <b>crystals</b> [48, 49, 50] have also been reported.|$|R
30|$|The {{current work}} with the {{objective}} of comparing the features of crystalline structures for semiconductive rigid and dielectric coily polymers was divided into three distinct sections. First, the fibrillar P 3 HT semiconductive <b>single</b> <b>crystals</b> were developed from three different solvents, i.e., toluene, xylene, and anisole using the self-seeding method. Second, the dielectric rectangular poly(ethylene glycol) (PEG) <b>single</b> <b>crystals</b> were grown by the same methodology but from amyl acetate. Afterward, the hexagonal melt-grown PEG <b>single</b> <b>crystals</b> were prepared from thin polymer films, and their growth prisms and lateral habit were compared with the corresponding solution-grown PEG <b>single</b> <b>crystals.</b> Third, the effect of amorphous blocks on the thickness of crystalline substrate was investigated through growing the single-co-crystals of PEG-b-PS/PEG and PEG-b-poly(methyl methacrylate) (PMMA)/PEG. The novelty of this work was constructing the high-quality fibrillar P 3 HT <b>single</b> <b>crystals</b> using the self-seeding procedure, and also comparing the structural characteristics of semiconductive <b>single</b> <b>crystals</b> with the dielectric <b>single</b> <b>crystals.</b>|$|R
40|$|F-substituted ROBiS 2 (R = La, Ce, Nd) superconducting <b>single</b> <b>crystals</b> with {{different}} F concentration were grown successfully using CsCl/KCl flux. All the obtained <b>single</b> <b>crystals</b> had a plate-like shape with a well-developed ab-plane of 1 - 2 mm in size. The flux components of Cs, K, and Cl were not {{detected in the}} obtained <b>single</b> <b>crystals</b> by electron probe microanalysis. The grown <b>single</b> <b>crystals</b> of F-substituted LaOBiS 2 and CeOBiS 2 showed superconducting at about 3 K while the Tc of the F-substituted NdOBiS 2 exhibited approximately 5 K. The superconducting anisotropy of the <b>single</b> <b>crystals</b> of F-substituted LaOBiS 2 and NdOBiS 2 {{was estimated to be}} 30 - 45 according to the effective mass model whereas those values were 13 - 21 for the F-substituted CeOBiS 2 <b>single</b> <b>crystals.</b> The F-substituted CeOBiS 2 <b>single</b> <b>crystals</b> exhibited magnetic order at about 7 K that apparently coexisted with superconductivity below around 3 K...|$|R
40|$|Lead-free (K 0. 5 Na 0. 5) NbO 3 -LiNbO 3 (KNN-LN) and (K 0. 5 Na 0. 5) NbO 3 -LiTaO 3 (KNN-LT) {{ferroelectric}} <b>single</b> <b>crystals,</b> {{with the}} dimensions of 11 ´ 11 ´ 5 mm 3 and 5 ´ 5 ´ 3 mm 3, were grown successfully using the top-seeded solution growth (TSSG) method, respectively. The crystal structures were analyzed by means of X-ray diffraction, showing orthorhombic symmetry for KNN-LN <b>single</b> <b>crystals</b> and coexistence of orthorhombic and tetragonal symmetry for KNN-LT <b>single</b> <b>crystals</b> at room temperature. The orthorhombic-tetragonal (TO-T) and tetragonal-cubic (TC) phase transition temperatures are 195 °C and 420 °C for the KNN-LN <b>single</b> <b>crystals,</b> and 130 °C and 280 °C for KNN-LT <b>single</b> <b>crystals,</b> respectively. The remnant polarization (Pr) is 27. 8 μC/cm 2 with a coercive ﬁeld (Ec) of 17 kV/cm for KNN-LT <b>single</b> <b>crystals.</b> The two <b>single</b> <b>crystals</b> showed 90 ° domains with layers in (parallel) straight lines, while KNN-LT <b>single</b> <b>crystals</b> have a larger domain region. The actual stoichiometry deviates easily from the original composition {{in the process of}} crystal growth, thus, an appropriate nominal composition and optimized crystal growth method is desired to get high-quality crystals in the future...|$|R
40|$|<b>Single</b> <b>crystals</b> of poly(3 -hexylthiophene) (P 3 HT) and poly(3 -octylthiophene) (P 3 OT) {{have been}} {{prepared}} by tetrahydrofuran vapor annealing and controlling solvent evaporation, respectively. The morphology {{and structure of the}} <b>single</b> <b>crystals</b> are characterized using optical microscopy, scanning electron microscopy, atomic force microscopy, transmission electron microscopy, and wide-angle X-ray diffraction. It is observed that in P 3 HT <b>single</b> <b>crystals,</b> the molecules are packed with pi-pi stacking direction perpendicular to the length axis of the crystals and main chains parallel to the substrate, whereas in P 3 OT <b>single</b> <b>crystals,</b> the molecules are packed with pi-pi stacking direction parallel to the length axis of the crystal and main chains parallel to the substrate. In the field effect transistors, the current flow is parallel to the length axis of the <b>single</b> <b>crystals,</b> and the mobility is 1. 57 x 10 (- 3) cm(2) /Vs for a P 3 HT <b>single</b> <b>crystal</b> and 0. 62 cm(2) /Vs for a P 3 OT <b>single</b> <b>crystal.</b> The <b>single</b> <b>crystals</b> of P 3 HT and P 3 OT showed high anisotropic electrical properties. The influences of molecular conformation and alkyl chain length on the electrical properties of P 3 ATs are discussed...|$|R
40|$|Centimeter-sized <b>single</b> <b>crystals</b> of Sr_ 1. 5 La_ 0. 5 RhO_ 4 {{were grown}} by the {{floating}} zone method at oxygen pressures of 20 bar. The {{quality of our}} <b>single</b> <b>crystals</b> was confirmed by X-ray Laue, powder and <b>single</b> <b>crystal</b> X-ray diffraction, neutron and X-ray absorbtion spectroscopy measurements. At ∼ 50...|$|R
40|$|Purpose: Research and Development Laboratory for Aerospace Materials in Rzeszow University of Technology is {{the place}} where {{production}} of <b>single</b> <b>crystal</b> nickel base superalloys has been proved technically feasible. This paper presents the method of manufacturing the <b>single</b> <b>crystal</b> superalloys turbine blades and the prospective developments of the enterprise. Design/methodology/approach: Turbine blades were produced in the vacuum induction melting furnace ALD for investment casting of equiaxed, directionally solidified and <b>single</b> <b>crystal</b> materials. The CMSX- 6 nickel based superalloy is used for production of turbine blades. Findings: The ceramic moulds production process was formulated. All main parameters of <b>single</b> <b>crystal</b> production was accordanted. Research limitations/implications: EBSD analysis clearly revealed that the casted turbine blades are <b>single</b> <b>crystals</b> and possessed [001] crystal orientation. Originality/value: The paper gives a general review of the technology of production <b>single</b> <b>crystals</b> turbine blades...|$|R
40|$|The {{production}} of <b>single</b> <b>crystal</b> diamond thin films of large area {{would be a}} technological breakthrough {{for a variety of}} electronic and optical applications. In terms of the objectives of this contract, <b>single</b> <b>crystal</b> films would produce high quality doped regions and thus better barriers for energy conversion in the vacuum ultraviolet. To date, diamond <b>single</b> <b>crystal</b> films have been made homo-epitaxially on natural or synthetic diamond <b>single</b> <b>crystals.</b> As large <b>single</b> <b>crystal</b> diamond is prohibitively expensive, {{there is a need to}} find matching substrates for diamond heteropolarities. Cubic boron nitride has the diamond lattice structure and matches nearly perfectly the cell dimensions. However, large area cubic BN <b>single</b> <b>crystal</b> substrates are not available, as c-BN is stable, just like diamond, at high pressures and high temperatures only. The widely used Si substrates have a large lattice constant mismatch with diamond...|$|R
40|$|Graduation date: 1999 Materials {{which can}} be changed in shape and size when exposed to a {{magnetic}} field are called magnetostrictive materials. The magnetostrictive material was developed {{for use in the}} many actuator industries. A <b>single</b> <b>crystal</b> of magnetostrictive material is used to maximize its magnetostrictive response. It can be produced by the crystal growth method. However, a <b>single</b> <b>crystal</b> from this method is limited in size and shape. The growth direction of a <b>single</b> <b>crystal,</b> sometimes, is different from its magnetostrictive axis. Capacitor discharge welding (CDW) is a high power density welding process at 10 ⁵- 10 ⁶ Kelvin/second. The fusion zone of CDW is very small and the heat affected zone of CDW is rarely detectable. The amount of material affected by heat in the welding process is very small. The objective {{of this study is to}} use capacitor discharge welding (CDW) to join <b>single</b> <b>crystal</b> copper and determine the effect of CDW on the microstructure of the <b>single</b> <b>crystal</b> copper. To minimize the cost of using <b>single</b> <b>crystal</b> copper, low oxygen copper C 101 (polycrystalline) is used as a replacement. By maximizing the weld strength, Response Surface Methodology (RSM) is used to find the optimum condition of <b>single</b> <b>crystal</b> copper. The <b>single</b> <b>crystal</b> copper was cut at different orientations and welded together with the one that had same orientation to compare the results. The metallography was used to study voids, fusion zone and dislocations of the <b>single</b> <b>crystal</b> copper after welding. After analyzing the effect of the CDW process on the <b>single</b> <b>crystal,</b> the effect of crystal orientation upon void formation was found statistically inconclusive. Small fusion zone as 0. 09154 mm was found. No heat affected zone of <b>single</b> <b>crystal</b> was detected. Also, no microstructural damage was found along the fusion zone. Dislocation density before and after CDW were not different because there was no statistically significant difference between the etch pit density in the fusion zone and that outside the fusion zone. In summary, regardless of voids, CDW may be a useful method for welding <b>single</b> <b>crystal</b> metals...|$|R
40|$|<b>Single</b> <b>{{crystals}}</b> in the (Na 1 / 2 Bi 1 / 2) TiO 3 -CaTiO 3 {{system have}} been grown {{for the first}} time using the solid state crystal growth method. Seed crystals of SrTiO 3 were buried in 0. 96 (Na 1 / 2 Bi 1 / 2) TiO 3 - 0. 04 CaTiO 3 (NBT- 4 CT) powder which was then pressed into pellets. Pellets were sintered and <b>single</b> <b>crystals</b> of NBT- 4 CT grew on the seeds. Electron probe micro analysis shows that the chemical composition of the <b>single</b> <b>crystal</b> is close to the nominal composition. X-ray diffraction and micro-Raman scattering analysis shows that the <b>single</b> <b>crystal</b> has the rhombohedral (Na 1 / 2 Bi 1 / 2) TiO 3 structure. <b>Single</b> <b>crystals</b> were also grown by bonding a seed crystal to a pre-sintered NBT- 4 CT pellet and annealing. The <b>single</b> <b>crystal</b> shows dielectric behavior similar to that of NBT- 4 CT ceramics and other (Na 1 / 2 Bi 1 / 2) TiO 3 -based ceramics and <b>single</b> <b>crystals.</b> Characteristic dielectric transitions can be related to the rhombohedral-tetragonal and tetragonal-cubic phase transitions. The NBT- 4 CT <b>single</b> <b>crystal</b> has improved ferroelectric and piezoelectric properties compared to the bulk polycrystalline ceramic...|$|R
25|$|Crystalline {{material}} may {{be divided}} into <b>single</b> <b>crystals,</b> twin crystals, polycrystals, and crystal powder. In a <b>single</b> <b>crystal,</b> the arrangement of atoms, ions, or molecules is defined by a <b>single</b> <b>crystal</b> structure in one orientation. Twin crystals, on the other hand, consist of single-crystalline twin domains, which are aligned by twin laws and separated by domain walls.|$|R
40|$|A viscoplastic {{constitutive}} model for <b>single</b> <b>crystal</b> superalloys is developed from crystallographic slip theory. The model {{is applied to}} the tension and torsion deformation behavior of the <b>single</b> <b>crystal</b> superalloy PWA 1480 at 871 C (1600 F). Both octahedral and cube slip behavior are needed to model the deformation behavior of <b>single</b> <b>crystal</b> superalloys at elevated temperature...|$|R
50|$|Crystalline {{material}} may {{be divided}} into <b>single</b> <b>crystals,</b> twin crystals, polycrystals, and crystal powder. In a <b>single</b> <b>crystal,</b> the arrangement of atoms, ions, or molecules is defined by a <b>single</b> <b>crystal</b> structure in one orientation. Twin crystals, on the other hand, consist of single-crystalline twin domains, which are aligned by twin laws and separated by domain walls.|$|R
40|$|<b>Single</b> <b>crystals</b> of tetragonal beta-Fe 1. 00 Se {{were grown}} from {{polycrystalline}} material by chemical vapor transport reaction at temperatures below 723 K using AlCl 3 as transport additive. The plate-shaped <b>single</b> <b>crystals</b> have edge lengths up to 4 mm. The <b>single</b> <b>crystals</b> display complete diamagnetic shielding 4 pi chi approximate to - 1 below the super-conducting transition...|$|R
40|$|Abstract. <b>Single</b> <b>crystals</b> of Magnesium alloys such as Mg- 1 Zn- 0. 5 Y, Mg- 0. 1 Y, and Mg- 0. 1 Ce alloys were {{fabricated}} in {{this study}} by employing the modified Bridgman method. To determine the exact orientation of crystals, pole figure measurement using X-ray diffraction was carried out on each <b>single</b> <b>crystal.</b> Hardness and compression tests were conducted followed by subsequent recrystallization annealing. Recrystallization behavior of Mg alloy <b>single</b> <b>crystals</b> has also been investigated. Fabricated <b>single</b> <b>crystals</b> were deformed in compression mode by 30 % reduction. Annealing treatment has been conducted on these samples at temperatures of 300 oC for various times from 1 to 20 mins. The microstructure observation and hardness measurement conducted on the recrystallized specimens revealed that static recrystallization of ternary alloy <b>single</b> <b>crystal</b> was very slow, while recrystallization behavior of binary alloy <b>single</b> <b>crystals</b> appeared to be very fast...|$|R
40|$|In {{this paper}} low voltage <b>single</b> <b>crystal</b> {{actuators}} were investigated using thin PMN-PT plates for applications requiring low voltage, large strain, low profile and/or actuation at cryogenic temperatures. Firstly, <b>single</b> <b>crystal</b> thickness effect on piezoelectric properties was studied by investigating {{the relationship between}} electromechanical coupling coefficient of PMN-PT crystals and the crystal thickness. It was found that electromechanical coupling coefficient (kt) of 50 µm, 75 µm and 100 µm PMN-PT <b>single</b> <b>crystal</b> thin plates are 0. 5, 0. 51, and 0. 55, respectively, which are slightly {{lower than that of}} bulk <b>single</b> <b>crystal</b> (0. 6). A couple of <b>single</b> <b>crystal</b> actuators were then assembled using crystal plates with thickness of 150 - 200 µm. These actuators were characterized by measuring strain vs. electric field at room temperature and cryogenic temperatures. A 3 mm x 3 mm x 19 mm <b>single</b> <b>crystal</b> stack actuator showed a 21 µm stroke at roo...|$|R
30|$|The {{effect of}} self-seeding {{temperature}} on <b>single</b> <b>crystal</b> lateral size {{was investigated in}} the frame of several experiments. For solution-grown <b>single</b> <b>crystals</b> of homo-PEG 5000 (in amyl acetate) when self-seeding temperature changed from 39 to 41 °C, the lateral size varied from 4.38 to 6.54  μm. This indicated that proportional to elevation of self-seeding temperature, the lateral size of <b>single</b> <b>crystals</b> increased while their population in the system decreased. More details are reported elsewhere [56]. The crystallization temperature had the same effect on the thickness of developed <b>single</b> <b>crystals.</b>|$|R
40|$|Basic {{methods of}} <b>single</b> <b>crystals</b> growth {{have been studied}} in this {{bachelor}} thesis. The preparation of anatase and ruby <b>single</b> <b>crystals</b> has been realized by floating zone method in different compositions of the surrounding atmosphere. Crystallinity of prepared materials has been verified by Laue method. The same method {{has been used for}} orientation of the prepared <b>single</b> <b>crystals</b> along the principal crystallographic axes. The tetragonal structure of TiO 2 has been proved by powder X-ray diffraction. The floating zone method has been found as a very suitable and effective method to grow anatase <b>single</b> <b>crystals...</b>|$|R
30|$|The fibrillar P 3 HT <b>single</b> <b>crystals</b> from dilute {{solutions}} in toluene, xylene, and anisole (0.01  wt%), the rectangular PEG <b>single</b> <b>crystals</b> from dilute {{solutions in}} amyl acetate, and the hexagonal PEG <b>single</b> <b>crystals</b> from the molten polymer thin films were prepared {{by means of}} the self-seeding technique. Furthermore, by co-crystallization the density of grafted chains on the substrate decreased without altering the molecular weights and crystallization temperatures. The total thickness of random single-co-crystals was higher than that of the corresponding homo-brush <b>single</b> <b>crystals,</b> and it was employed to verify the random structures. The 2 D SAXS patterns demonstrated a good ordering in the arrangement of <b>single</b> <b>crystals</b> within stacked mats, and 1 D correlation function showed that the samples had ideal lamellar morphologies.|$|R
40|$|We {{synthesized}} hexagonal-disc-shaped MgB 2 <b>single</b> <b>crystals</b> under high-pressure {{conditions and}} analyzed the microstructure and pinning properties. The lattice constants and the Laue {{pattern of the}} crystals from x-ray micro-diffraction showed the crystal symmetry of MgB 2. A thorough crystallographic mapping within a <b>single</b> <b>crystal</b> showed that the edge and c axis of hexagonal-disc shape exactly matched the [10 - 10] and the [0001] directions of the MgB 2 phase. Thus, these well-shaped <b>single</b> <b>crystals</b> {{may be the best}} candidates for studying the direction dependences of the physical properties. The magnetization curve and the magnetic hysteresis curve for these <b>single</b> <b>crystals</b> showed the existence of a wide reversible region and weak pinning properties, which supported our <b>single</b> <b>crystals</b> being very clean...|$|R
40|$|Abstract. <b>Single</b> <b>crystals</b> of propyl-p-hydroxybenzoate {{have been}} grown by slow {{evaporation}} solution technique. The {{structure of the}} compound was confirmed by FT–IR, FT–Raman spectroscopy and <b>single</b> <b>crystal</b> X-ray diffraction studies. The crystalline perfection of the grown <b>single</b> <b>crystals</b> has been analysed by high resolution X-ray diffraction measurements. Optical properties of the grown <b>single</b> <b>crystals</b> were studied by UV–Vis NIR spectrum. The luminescence behaviour of the <b>single</b> <b>crystal</b> has been analysed by photolumines-cence analysis and found maximum luminescence in the lower wavelength region. A simple interferometric technique was used for measuring birefringence of the crystal. The laser damage threshold of the crystal is 1 ⋅ 3 GW/cm 2. The mechanical strength of the grown crystal is measured using Vickers microhardness tester. The dielectric properties have been investigated...|$|R
40|$|Introduction. The {{technologies}} of semiconductor <b>single</b> <b>crystal</b> growing on ground and in space are a perspective application of magnetic fields. The {{examples of such}} application are given in our works: in [1] for the most widespread ground technology of silicon (Si) <b>single</b> <b>crystal</b> growing by the Czochralski (CZ) method and in [2] for the space technology of semiconductor <b>single</b> <b>crystal</b> growing by th...|$|R
40|$|An {{analytical}} description of volume reflection of charged ultrarelativistic particles in bent <b>single</b> <b>crystals</b> is considered. The relation describing {{the angle of}} volume reflection {{as a function of}} the transversal energy is obtained. Different angle distributions of the scattered protons in <b>single</b> <b>crystals</b> are found. Results of calculations for 400  GeV protons scattered by the silicon <b>single</b> <b>crystal</b> are presented...|$|R
40|$|High-purity <b>single</b> <b>crystals</b> of Nb and Ta {{could be}} {{prepared}} free of hydrogen by a Pd-coating technique. Low-frequency torsion pendulum measurements are reported on such <b>single</b> <b>crystals</b> showing the intrinsic α and γ relaxation. The dislocation-internal friction spectra of Nb and Ta are compared with new results on W <b>single</b> <b>crystals.</b> The activation {{parameters of the}} α and γ processes are reported...|$|R
