1|2173|Public
5000|$|... 1008 [...] "Merry Christmas Baby" [...] (A-1113-63) b/w [...] "Christmas Finds Me <b>Oh</b> <b>So</b> <b>Sad</b> (Please Come Home for Christmas)" [...] (A-1114-63), 1961, {{released}} 1963 ...|$|E
5000|$|<b>So</b> <b>Sad</b> (To Watch Good Love Go Bad) (7" [...] single) Septophilia Records 1997 ...|$|R
5000|$|<b>So</b> <b>Sad</b> (To Watch Good Love Go Bad). Sung with Lois Johnson - 2:50 ...|$|R
5000|$|Trickery (4:21) / Land Of Dreams (6:47) // Sparkle (3:39) / <b>So</b> <b>Sad</b> (4:13) ...|$|R
60|$|THE ELDER MISS WETHERELL. It is <b>so</b> <b>sad</b> when {{relations}} don't get on together.|$|R
60|$|It {{does not}} do to dwell on these things; it makes one <b>so</b> <b>sad.</b>|$|R
50|$|As of May 2017, the <b>So</b> <b>Sad</b> Today Twitter account {{had more}} than 450,000 followers.|$|R
5000|$|Oh Dad, Poor Dad, Momma's Hung You In the Closet and I'm Feelin' <b>So</b> <b>Sad</b> ...|$|R
60|$|Rho. There {{shall be}} nothing wanting in me, madam, to prevent <b>so</b> <b>sad</b> a consequence.|$|R
2500|$|... 1967: Oh Dad, Poor Dad, Mamma's Hung You in the Closet and I'm Feelin' <b>So</b> <b>Sad</b> ...|$|R
5000|$|... 1967: Oh Dad, Poor Dad, Mamma's Hung You in the Closet and I'm Feelin' <b>So</b> <b>Sad</b> ...|$|R
5000|$|Why Does Love Got To Be <b>So</b> <b>Sad</b> - The Allman Brothers Band with Eric Clapton ...|$|R
60|$|That quite won me, Mina, {{for it was}} {{brave and}} sweet of him, and noble too, to a rival, wasn't it? And he <b>so</b> <b>sad,</b> <b>so</b> I leant over and kissed him.|$|R
5000|$|... "Så Synd" [...] - 2:36 (<b>So</b> <b>Sad</b> (To Watch Good Love Go Bad)) (The Everly Brothers Cover) ...|$|R
5000|$|... #Article: Oh Dad, Poor Dad, Mamma's Hung You in the Closet and I'm Feelin' <b>So</b> <b>Sad</b> (film) ...|$|R
5000|$|Izzy and Betty Kirshenbaum Foundation Award for Yiddish: Grunia Slutsky-Khon, Don't Look <b>So</b> <b>Sad</b> in the Window ...|$|R
50|$|I Was <b>So</b> <b>Sad</b> is {{the fourth}} {{full-length}} studio album by Seirom, independently released on July 8, 2016.|$|R
50|$|It {{turns out}} that {{especially}} the remaining years of his 43 years living in exile were <b>so</b> <b>sad.</b>|$|R
5000|$|Harry Styles wrote [...] "Awful awful {{news from}} Peshawar in Pakistan. It's <b>so</b> <b>sad,</b> {{thinking}} of everyone there." ...|$|R
5000|$|Oh Dad, Poor Dad, Mama's Hung You in the Closet and I'm Feelin' <b>So</b> <b>Sad</b> by Arthur Kopit ...|$|R
5000|$|Oh Dad, Poor Dad, Mamma's Hung You in the Closet and I'm Feelin' <b>So</b> <b>Sad</b> (1967) - Hawkins ...|$|R
60|$|He looked <b>so</b> <b>sad,</b> and yet withal so comical, that I {{held out}} my hand to him, laughing.|$|R
60|$|So {{there was}} great rejoicing amongst all those poor {{people who had been}} <b>so</b> <b>sad</b> and sorrowful before.|$|R
50|$|<b>Oh</b> <b>So</b> Sharp {{was sent}} into {{training}} at Henry Cecil's Warren Place stables in Newmarket, Suffolk. She was ridden {{in all of}} her races as a three-year-old by the American jockey Steve Cauthen. Lester Piggott had ridden <b>Oh</b> <b>So</b> Sharp during 1984, his last season as stable jockey at Warren Place.|$|R
5000|$|Leading jockey (6 wins):* Lester Piggott - March Past (1952), Pindari (1958), Speed of Sound (1966), Remand (1967), The Fort (1982), <b>Oh</b> <b>So</b> Sharp (1984)Leading trainer (6 wins):* Henry Cecil - Lyphard's Wish (1978), The Fort (1982), <b>Oh</b> <b>So</b> Sharp (1984), Sanquirico (1987), High Estate (1988), Be My Chief (1989) ...|$|R
5000|$|Oh Dad, Poor Dad, Mama's Hung You in the Closet and I'm Feelin' <b>So</b> <b>Sad</b> - by Arthur Kopit ...|$|R
