1|522|Public
5000|$|... #Caption: A {{strap wrench}} variant (one form of <b>oil</b> <b>filter</b> <b>wrench).</b>|$|E
50|$|High {{efficiency}} <b>oil</b> <b>filters</b> are {{a type of}} {{bypass filter}} that are claimed to allow extended oil drain intervals. HE <b>oil</b> <b>filters</b> typically have pore sizes of 3 micrometres, which studies have shown reduce engine wear. Some fleets {{have been able to}} increase their drain intervals up to 5-10 times.|$|R
5000|$|External {{oil cooler}} {{integrated}} into base of <b>oil</b> <b>filter</b> (heat exchanger) ...|$|R
5000|$|The [...] "Kimaf-STZ" [...] <b>oil</b> <b>filter</b> was {{installed}} {{on a separate}} bracket; ...|$|R
40|$|Work {{objective}} is to do an experiment and to determine lube oil quality changes when vehicle are operate {{a certain amount of}} kilometres. I chose five different vehicles, which have the same internal combustion engine and operation conditions are similar. In the experiment I chose the same specific lube oil {{and in the middle of}} interval <b>oil</b> <b>filter</b> was changed. The purpose of the experiment is to determine, maybe lube oil pollution in the end of interval is lower when <b>oil</b> <b>filter</b> was changed in the middle of interval then lube oil in the end of interval when <b>oil</b> <b>filter</b> is not changed all interval...|$|R
50|$|Even {{after passing}} through the oil pickup screen and the <b>oil</b> <b>filter,</b> debris can remain in the oil. It is very {{important}} to change the <b>oil</b> and <b>oil</b> <b>filter</b> to minimize the amount of debris flowing through your engine. This harmful debris along with normal engine wear in high mileage engines causes an increase in clearances between bearings and other moving parts.|$|R
5000|$|Synthetic [...] - [...] (Available in Canada only) 16,000 km <b>oil</b> <b>filter</b> {{for longer}} change intervals.|$|R
5000|$|... 1918: Mack {{becomes the}} first {{manufacturer}} to apply air cleaners and <b>oil</b> <b>filters</b> to their trucks.|$|R
50|$|Common {{examples}} of impingement filters are air filters, fuel <b>filters</b> and <b>oil</b> <b>filters</b> used in cars, trucks etc.|$|R
5000|$|Specialty {{products}} {{not under}} the Gusmer brand; fryer <b>oil</b> <b>filters,</b> laboratory animal bedding, absorbent pads, and pharmaceutical grade filters ...|$|R
5000|$|This was an {{adaption}} of the [...]912 to the T1 chassis. It had {{a downward}} facing <b>oil</b> <b>filter</b> housing.|$|R
5000|$|Automotive - air <b>filters,</b> <b>oil</b> <b>filters,</b> {{silencer}} tubes, radiator grilles, running boards, flooring, motorcycle silencers, ventilation grids, tractor engine ventilation, etc.|$|R
5000|$|The Series [...] "B" [...] {{incorporated}} {{an inline}} felt <b>oil</b> <b>filter</b> {{instead of the}} metal gauze of the Series [...] "A".|$|R
50|$|Some of the 096 {{parts were}} held {{over for the}} 01M transmission, such as <b>oil</b> <b>filter,</b> <b>oil</b> pan, filler tube, gaskets, {{speedometer}} gears, skid plate, etc. These transmissions have different torque converters and other internal parts that are not interchangeable.|$|R
40|$|Photograph {{of tanks}} of {{lubricant}} at Kemp's in Eagle Rock, Southern California, 1931. "Richlube, 100 % Pure Pennsylvania; [ilg]g; AC <b>Oil</b> <b>Filters,</b> [ilg] renew your <b>oil</b> <b>filter</b> cartrdige [ilg] 10, 000 miles [ilg]; Valvoline Motor Oil" [...] on building. "Specialized lubrication chart" [...] on chart. "Approximately 36 points {{on your car}} need lubrication; Kemp's Specialized Pennzoil Lubrication Service; At least 6 different lubricants are required" [...] on sign. "Safe lubrication, Pennzoil, lubricants; Supreme quality" [...] on tanks...|$|R
5000|$|Alberta Used Oil Management Association (AUOMA) {{manages the}} [...] "Alberta province-wide Recycling Program for Used <b>Oil,</b> Used <b>Oil</b> <b>Filters</b> and Plastic <b>Oil</b> Containers." ...|$|R
5000|$|K&N has {{designed}} their <b>oil</b> <b>filters</b> so that removal and installation {{can be done}} with a 3/4" [...] or 19mm socket or wrench.|$|R
50|$|First project - speed {{equipment}} kits for Renault, Simca, Peugeot, DKW etc. Kits {{consisted of}} dual throat carburetors, intake manifolds, high-performance cams, <b>oil</b> <b>filters</b> etc.|$|R
5000|$|Specs of the OM616 {{used in the}} Trax SUV:Model OM - 616(D-98)* Type 4 Cylinder, 4 Stroke, IDI Bore/Stroke (mm.) 90.9 X 92.4 Displacement (cc.) 2399 Compression Ratio 21:1 Max.Output 43.5 kW (ISO) at 4000 RPM Max. Torque 130 Nm @ 1800-2000 RPM Air <b>filter</b> <b>Oil</b> Bath Type <b>Oil</b> <b>filter</b> Bye pass flow type {{paper filter}} Fuel <b>filter</b> Dual <b>filter</b> <b>Oil</b> sump {{capacity}} (Lts) 6.5 ...|$|R
5000|$|... #Caption: Chain-type {{oil-filter}} wrench. The {{chain is}} {{wrapped around a}} spin-on <b>oil</b> <b>filter,</b> and the hexagonal bar is turned anticlockwise to grip and unscrew the filter.|$|R
50|$|In engines, {{there is}} some {{exposure}} of the oil to products of internal combustion, and microscopic coke particles from black soot accumulate in the oil during operation. Also the rubbing of metal engine parts produces some microscopic metallic particles from the wearing of the surfaces. Such particles could circulate in the oil and grind against the part surfaces causing wear. The <b>oil</b> <b>filter</b> removes many of the particles and sludge, but eventually the <b>oil</b> <b>filter</b> can become clogged, if used for extremely long periods.|$|R
50|$|MotoMaster is the {{in-house}} line {{of automotive}} products sold exclusively at Canadian Tire stores. MotoMaster products ranged from <b>oil</b> <b>filters</b> and air filters, to MotoMaster branded tires.|$|R
50|$|Mobil 1 {{engine oil}} was {{introduced}} in 1974. The brand range now includes a variety of engine <b>oils,</b> <b>oil</b> <b>filters,</b> chassis grease, transmission fluids, and gear lubricants.|$|R
40|$|Photograph of oil cans in garage, 420 South Glendale Boulevard, Los Angeles, CA, 1931. "Right greasing-right here, Pennzoil greases, safe {{lubrication}} pays-all ways" [...] on signage. "AC <b>oil</b> <b>filters,</b> {{tested and}} installed here" [...] on signage. "AC <b>oil</b> <b>filters,</b> reduce wear-save <b>oil,</b> renew your <b>oil</b> <b>filter</b> cartridge every 10, 000 miles, oil AC filters" [...] on signage. "Pennzoil, Master lubrication guide, for all current makes and models of automobiles, Pennzoil automobile 'safe lubricants' last longer - lubricate better" [...] on signage. "safe lubrication, Pennsoil, greases" [...] on tank. "Safe lubrication, Pennzoil, Gear lubricant, No. [ilg]; Gear case-heavy, No. [ilg]; Pressure lubricant, No. [ilg]; Wheel bearing lubricant, No. [ilg]; Universal joint lubricant, No [ilg]; Rust preventive, No. [ilg]" [...] on cans. "The Pennzoid Company, 100 % pure Pennsylvania, Pennzoil, safe lubrication, Extra medium-S. A. E. - 40, Gua[ilg] 100 [ilg] Pen[ilg], 35 c a quart, Refinery oil city. PA" [...] on barrel. "Delco shock absorber oil, Delco Lovejoy shock absorbers [ilg]" [...] on container...|$|R
50|$|Early engine <b>oil</b> <b>filters</b> were of {{cartridge}} (or replaceable element) construction, {{in which}} a permanent housing contains a replaceable filter element or cartridge. The housing is mounted either directly on the engine or remotely with supply and return pipes connecting it to the engine. In the mid-1950s, the spin-on <b>oil</b> <b>filter</b> design was introduced: a self-contained housing and element assembly {{which was to be}} unscrewed from its mount, discarded, and replaced with a new one. This made filter changes more convenient and potentially less messy, and quickly came to be the dominant type of <b>oil</b> <b>filter</b> installed by the world's automakers. Conversion kits were offered for vehicles originally equipped with cartridge-type filters. In the 1990s, European and Asian automakers in particular began to shift back in favor of replaceable-element filter construction, because it generates less waste with each filter change. American automakers have likewise begun to shift to replaceable-cartridge filters, and retrofit kits to convert from spin-on to cartridge-type filters are offered for popular applications. Commercially available automotive <b>oil</b> <b>filters</b> vary in their design, materials, and construction details. Ones that are made from completely synthetic material excepting the metal drain cylinders contained within are far superior and longer lasting than the traditional cardboard/cellulose/paper type that still predominate. These variables affect the efficacy, durability, and cost of the filter.|$|R
5000|$|... 1967 - The <b>oil</b> <b>filter</b> {{mounting}} now {{came from}} the factory with an adapter and machining to allow the use of spin-on filters; canister mounting was possible by removing the adapter.|$|R
